file_path,Apps,BBB web,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\example\SimpleHangupPipelineFactory.java,0.14806367329188755,1.2832554408482142,0.02885857309613909,0.0,0.0,BBB web,1.2832554408482142
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingEndedConstraint.java,0.6609801701136998,2.5846625191824777,0.25887437547956194,0.26505295889718195,0.40338164738246374,BBB web,2.5846625191824777
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\Enter.java,0.5622533525739397,2.5503991263253347,0.235162353515625,0.11495203290666853,0.1269688742501395,BBB web,2.5503991263253347
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,0.1992239134652274,1.29481691632952,0.03998854841504778,0.011163808618273053,0.04165029185158866,BBB web,1.29481691632952
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,0.1257293701171875,1.3117517743791853,0.02883725847516741,0.12443453924996513,0.16653619493756974,BBB web,1.3117517743791853
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\list\NotEmptyList.java,0.446546745300293,2.491280909946987,0.2230015618460519,0.11918901715959822,0.2092385700770787,BBB web,2.491280909946987
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\RecordChapterBreak.java,0.5446457999093192,2.3207715715680806,0.10512978690011161,0.1387544631958008,0.3455107280186244,BBB web,2.3207715715680806
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,0.548549325125558,2.3214898245675224,0.10534604617527553,0.1397265842982701,0.34815256936209543,BBB web,2.3214898245675224
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\MeetingInfo.java,0.5687893458775112,2.51171395438058,0.23373538425990514,0.12564167295183454,0.1371601104736328,BBB web,2.51171395438058
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\service\ServiceUtils.java,0.8836952209472656,2.6263992309570314,0.32934447697230745,0.14959496089390345,0.2927494866507394,BBB web,2.6263992309570314
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\IStorageService.java,0.4271460669381278,2.5659925188337054,0.16157643454415457,0.08032575334821429,0.18096523284912108,BBB web,2.5659925188337054
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\FreeswitchApplication.java,0.5201700483049665,1.3669942583356585,0.11621110098702567,0.19858076913016184,0.34228545597621374,BBB web,1.3669942583356585
