file_path,app,backends,bin,concurrency,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
celery\celery\backends\gcs.py,75.84992218017578,149.55218505859375,64.70693969726562,14.79440689086914,15.42297077178955,14.731419563293457,15.75556755065918,16.278139114379883,19.626441955566406,19.30095100402832,backends,149.55218505859375
celery\celery\worker\pidbox.py,61.95608139038086,9.089548110961914,28.945947647094727,11.800196647644043,132.65406799316406,0.6077502965927124,9.012090682983398,5.489104270935059,13.263001441955566,73.27911376953125,events,132.65406799316406
celery\celery\app\defaults.py,91.4470443725586,90.74435424804688,79.74771881103516,87.22962188720703,136.98095703125,10.492098808288574,22.869115829467773,143.1007537841797,29.071622848510742,104.99369049072266,security,143.1007537841797
celery\celery\security\key.py,7.976676940917969,49.515174865722656,12.283994674682617,4.513035297393799,1.9456349611282349,1.9456349611282349,2.193887233734131,151.2590789794922,9.402949333190918,2.189033031463623,security,151.2590789794922
celery\celery\utils\debug.py,51.289390563964844,3.453032970428467,35.297607421875,4.525693893432617,11.629441261291504,3.65608549118042,5.5225653648376465,2.231358289718628,116.19312286376953,4.688040733337402,utils,116.19312286376953
celery\celery\worker\heartbeat.py,10.175686836242676,3.6154773235321045,21.120540618896484,4.52642822265625,91.36386108398438,1.6343028545379639,8.03083610534668,1.0201340913772583,9.30152416229248,81.44866943359375,events,91.36386108398438
celery\celery\concurrency\base.py,84.715087890625,20.942991256713867,40.360023498535156,125.81605529785156,51.66650390625,6.757927417755127,18.3487548828125,7.743776321411133,22.615171432495117,62.37864685058594,concurrency,125.81605529785156
celery\celery\app\control.py,86.06301879882812,24.565690994262695,72.46209716796875,22.205690383911133,94.78990936279297,4.2191081047058105,62.30912780761719,8.937437057495117,21.8730411529541,25.565248489379883,events,94.78990936279297
celery\celery\utils\term.py,23.96324920654297,10.582469940185547,25.952640533447266,12.14440631866455,3.9048218727111816,5.695062160491943,3.0548107624053955,5.943631172180176,84.9669189453125,4.353788375854492,utils,84.9669189453125
celery\celery\events\event.py,10.136137008666992,6.813272476196289,9.634845733642578,2.975217342376709,137.70428466796875,3.1641862392425537,3.488640069961548,5.429173946380615,9.293207168579102,3.723538875579834,events,137.70428466796875
celery\celery\concurrency\eventlet.py,76.02979278564453,11.205263137817383,49.54207992553711,124.72539520263672,12.205343246459961,6.772533416748047,16.02829933166504,8.747065544128418,22.18512535095215,14.757320404052734,concurrency,124.72539520263672
celery\celery\backends\cosmosdbsql.py,52.741519927978516,125.50654602050781,25.247722625732422,2.6624016761779785,3.159369468688965,1.2716755867004395,5.245326042175293,2.800520420074463,8.171586990356445,3.262627124786377,backends,125.50654602050781
celery\celery\backends\base.py,103.43216705322266,157.75894165039062,83.55621337890625,27.32253074645996,31.003189086914062,16.852767944335938,59.457916259765625,66.45242309570312,37.70602798461914,90.49170684814453,backends,157.75894165039062
celery\celery\apps\multi.py,86.02490234375,38.59907531738281,100.46527099609375,5.3140106201171875,13.556035041809082,5.124088764190674,35.95768737792969,4.400932312011719,46.247161865234375,91.2322998046875,bin,100.46527099609375
