file_path,Apps,BBB web,FSESL,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\example\SimpleHangupPipelineFactory.java,0.12929424558367048,1.037608664376395,3157.0637130737305,0.0,0.0,0.1854621750967843,FSESL,3157.0637130737305
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingEndedConstraint.java,0.38880440848214287,2.135173034667969,0.04658564840044294,0.0,0.05242470673152379,0.1016941751752581,BBB web,2.135173034667969
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\Enter.java,0.34373038155691965,2.133161926269531,0.0056669967515128,0.0,0.04391629695892334,0.036088180541992185,BBB web,2.133161926269531
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,0.2752648217337472,1.1076090131487166,2569.1218185424805,0.0,0.0,0.12812042236328125,FSESL,2569.1218185424805
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\list\NotEmptyList.java,0.41310550144740515,2.133431788853237,0.022449346951075963,0.0,0.0,0.053021597862243655,BBB web,2.133431788853237
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,0.31054352351597375,1.067465100969587,2667.2292709350586,0.0,0.0,0.19419230052403041,FSESL,2667.2292709350586
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\MeetingInfo.java,0.35979131971086775,2.1340358189174107,0.00583761419568743,0.0,0.052315262385777064,0.03631448745727539,BBB web,2.1340358189174107
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\RecordChapterBreak.java,0.445874377659389,2.1342625209263395,0.09436061041695731,0.0,0.052630553926740375,0.21305193219866073,BBB web,2.1342625209263395
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,0.44956035614013673,2.1346158708844865,0.0952531269618443,0.0,0.052775607790265765,0.21479054859706334,BBB web,2.1346158708844865
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\service\ServiceUtils.java,0.6001833779471261,2.2068771362304687,0.005305199112210955,0.024046111106872558,0.08607138225010463,0.09774906294686454,BBB web,2.2068771362304687
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\IStorageService.java,0.173107419695173,2.1366851806640623,0.0,0.0,0.051754324776785716,0.03062084402356829,BBB web,2.1366851806640623
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\FreeswitchApplication.java,0.5062838963099888,1.091007559640067,2026.0075187683105,0.0318687983921596,0.06180518014090402,0.37714274270193915,FSESL,2026.0075187683105
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\MuteUserCommand.java,0.3118547167096819,1.067465100969587,2630.7509994506836,0.0,0.0,0.13049259185791015,FSESL,2630.7509994506836
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectAllUsersCommand.java,0.30733917781284875,1.0679762704031808,2698.938674926758,0.0,0.0,0.13307134083339145,FSESL,2698.938674926758
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,0.6376228877476283,1.0681583949497768,2815.264434814453,0.0,0.0912001473563058,0.20904654094151087,FSESL,2815.264434814453
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\EndMeeting.java,0.3400963647024972,2.1324146815708707,0.005403768164770944,0.0,0.05204082216535296,0.03573903015681675,BBB web,2.1324146815708707
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,0.6426036834716797,1.0683469499860492,2841.3859939575195,0.0,0.09188728332519532,0.2106810978480748,FSESL,2841.3859939575195
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\Util.java,0.293165397644043,2.1458653041294644,0.004288308961050851,2.1730422973632812,0.05227971076965332,0.03425947598048619,Presentation Conversion,2.1730422973632812
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\StopSoundCommand.java,0.33395320347377233,1.067629895891462,2652.701301574707,0.0,0.0,0.13132776532854354,FSESL,2652.701301574707
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\AbstractOutboundPipelineFactory.java,0.1234241213117327,1.0367117745535714,2992.7579498291016,0.0,0.0,0.2517117091587612,FSESL,2992.7579498291016
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\validator\PostChecksumValidator.java,0.31661837441580637,2.130119105747768,0.005403768164770944,0.02431018352508545,0.0,0.09886022976466588,BBB web,2.130119105747768
bigbluebutton\bbb-recording-imex\src\test\java\org\bigbluebutton\RecordingImportHandlerTest.java,0.16427877971104213,1.0997887747628348,0.007992144141878401,0.0,0.036512838091169085,0.03841332708086286,BBB web,1.0997887747628348
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingDestroyed.java,0.44956035614013673,2.1346158708844865,0.0952531269618443,0.0,0.052775607790265765,0.21479054859706334,BBB web,2.1346158708844865
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\LearningDashboard.java,0.442272104535784,2.1339215959821427,0.09349322319030762,0.0,0.05248723370688302,0.21136255264282228,BBB web,2.1339215959821427
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\UserCleanupTimerTask.java,0.11371179989406041,2.1359266008649556,0.0,0.0,0.02857142857142857,0.03055656296866281,BBB web,2.1359266008649556
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\MessagingService.java,0.3821822575160435,2.134176199776786,0.006278691973005022,0.0,0.05023864677974156,0.036899535996573314,BBB web,2.134176199776786
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\UploadFileTooLargeMessage.java,0.17454155513218472,2.1355013166155135,0.06314709527151925,2.358088902064732,0.05189669132232666,0.15681007930210658,Presentation Conversion,2.358088902064732
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\UserLeftVoice.java,0.445874377659389,2.1342625209263395,0.09436061041695731,0.0,0.052630553926740375,0.21305193219866073,BBB web,2.1342625209263395
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchHeartbeatEvent.java,0.66261841910226,1.0680665152413504,2802.5511932373047,0.0,0.09086213793073382,0.20824624470302036,FSESL,2802.5511932373047
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\MimeTypeUtils.java,0.35262039729527067,2.2852794102260043,0.005633535129683358,2.136922345842634,0.0,0.035818869726998465,BBB web,2.2852794102260043
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\DocumentConversionServiceImp.java,0.27710982731410433,2.206622532435826,0.04283899579729353,5.137559727260045,0.04579567568642753,0.3656057902744838,Presentation Conversion,5.137559727260045
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\PlaySoundCommand.java,0.3143803187779018,1.067465100969587,2630.7509994506836,0.0,0.0,0.13049259185791015,FSESL,2630.7509994506836
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DeafUserCommand.java,0.3118547167096819,1.067465100969587,2630.7509994506836,0.0,0.0,0.13049259185791015,FSESL,2630.7509994506836
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\Office2PdfPageConverter.java,0.2618832996913365,2.2660147530691965,0.054131569181169785,5.603792898995536,0.044512762342180524,0.38456581660679406,Presentation Conversion,5.603792898995536
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\SupportedDocumentFilter.java,0.13826374326433455,2.1314335414341516,0.02702986342566354,3.2954561505998883,0.0,0.2178546633039202,Presentation Conversion,3.2954561505998883
bigbluebutton\akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPath.java,1857.017936706543,1.2411553519112724,0.06631930215018136,0.0,0.0010255166462489536,0.06814030919756209,Apps,1857.017936706543
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\ThumbnailCreator.java,0.07446057455880302,2.1349820818219865,0.014750865527561732,2.4624302455357143,0.0,0.045422724315098355,Presentation Conversion,2.4624302455357143
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\ConnectionManager.java,0.5300331660679408,1.092886243547712,2312.335433959961,0.043076365334647045,0.07146942956107004,0.33268607003348216,FSESL,2312.335433959961
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\PageToConvert.java,0.08958087648664202,2.1880318777901784,0.01971337114061628,2.136922345842634,0.0,0.04989870275769915,BBB web,2.1880318777901784
bigbluebutton\bbb-recording-imex\src\main\java\org\bigbluebutton\RecordingApp.java,0.6876202174595424,1.1845857892717635,0.0324561493737357,1.8305868966238839,0.0,0.10709622246878488,Presentation Conversion,1.8305868966238839
bigbluebutton\akka-bbb-apps\src\main\scala\org\bigbluebutton\core\util\jhotdraw\BezierPathIterator.java,1739.864387512207,1.1115769522530692,0.07106178828648159,0.0,0.0,0.0623462336403983,Apps,1739.864387512207
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\HoldUserCommand.java,0.3118547167096819,1.0874339512416296,2630.7509994506836,0.0,0.0,0.13049259185791015,FSESL,2630.7509994506836
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\PdfConversionInvalid.java,0.17207273755754743,2.1626456124441966,0.061462838309151786,2.294717189243862,0.05123822348458426,0.1533468655177525,Presentation Conversion,2.294717189243862
bigbluebutton\bbb-fsesl-client\src\test\java\org\freeswitch\esl\client\transport\message\EslFrameDecoderTest.java,0.6040398733956474,1.172109876360212,2221.7847633361816,0.007772241319928851,1.1043268476213728,0.3656879425048828,FSESL,2221.7847633361816
bigbluebutton\bbb-common-message\src\main\java\org\bigbluebutton\common2\redis\pubsub\MessageReceiver.java,0.6674127306256975,1.0648434230259487,0.3021083286830357,0.05394622598375593,3.7177869524274554,7.980036272321429,Redis PubSub,7.980036272321429
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\turn\StunTurnService.java,0.12180044991629464,2.1488316127232143,0.012582139457975115,0.021154098851340158,0.0,0.04296797003064837,BBB web,2.1488316127232143
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\MessageListener.java,0.4628016335623605,2.13507559640067,0.05772992542811802,0.0,0.0,0.13968470437186106,BBB web,2.13507559640067
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\entity\Metadata.java,0.31750896998814176,2.130230494907924,0.035776948928833006,0.0,0.004238007324082511,0.06588396344866071,BBB web,2.130230494907924
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Extensions.java,0.3047763824462891,2.134176199776786,0.006278691973005022,0.0,0.0,0.036899535996573314,BBB web,2.134176199776786
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\internal\HeaderParser.java,0.16527824401855468,1.035181427001953,2705.420799255371,0.0,0.004741647413798741,0.16165272848946707,FSESL,2705.420799255371
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocPageGeneratedProgress.java,0.17069203513009207,2.1333121163504463,0.06052881649562291,2.2595733642578124,0.05086068766457694,0.15142628805977956,Presentation Conversion,2.2595733642578124
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\UserStatusChanged.java,0.43875053950718473,2.133592224121094,0.09264985493251256,0.0,0.05234560966491699,0.2097202709742955,BBB web,2.133592224121094
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\common\messages\MessageBuilder.java,0.14908469063895088,2.1477281842912945,0.08990797315325055,0.0,0.0,0.21008800779070172,BBB web,2.1477281842912945
