file_path,feature,filter_bank,general,mir,best_module,best_likelihood
audioflux\include\hht_algorithm.h,1.7045055627822876,2.1700518131256104,2.5838706493377686,1.1183245182037354,general,2.5838706493377686
audioflux\src\vector\flux_vectorOp.h,2.9952552318573,33.5424919128418,2.966978073120117,2.922630786895752,filter_bank,33.5424919128418
audioflux\include\temporal_algorithm.h,10.015461921691895,1.6393963098526,2.0454986095428467,13.286391258239746,mir,13.286391258239746
audioflux\src\dsp\conv_algorithm.h,5.463861465454102,4.732517719268799,9.334249496459961,5.5276079177856445,general,9.334249496459961
audioflux\src\mir\timeStretch_algorithm.h,5.203129291534424,1.6469359397888184,2.0578269958496094,77.47499084472656,mir,77.47499084472656
audioflux\src\mir\_pitch_yin.c,3.662365674972534,0.8370144367218018,1.5799858570098877,84.11116027832031,mir,84.11116027832031
audioflux\src\reassign_algorithm.c,4.928182601928711,52.15602111816406,8.133845329284668,30.79064178466797,filter_bank,52.15602111816406
audioflux\src\filterbank\coef\__coef_d.h,1.2877159118652344,45.71665573120117,1.9283006191253662,17.79315757751465,filter_bank,45.71665573120117
audioflux\src\temporal_algorithm.h,10.015461921691895,1.6393963098526,2.0454986095428467,13.286391258239746,mir,13.286391258239746
audioflux\src\dsp\czt_algorithm.c,0.721376895904541,1.9982118606567383,5.272008895874023,5.768460273742676,mir,5.768460273742676
audioflux\include\dsp\conv_algorithm.h,5.463861465454102,4.732517719268799,9.334249496459961,5.5276079177856445,general,9.334249496459961
audioflux\src\mir\_pitch_hps.c,3.032580614089966,0.35099563002586365,1.3020000457763672,71.08824920654297,mir,71.08824920654297
audioflux\src\bft_algorithm.h,13.136531829833984,40.81411361694336,4.514084339141846,2.9962375164031982,filter_bank,40.81411361694336
audioflux\include\util\flux_wave.h,4.491361618041992,1.4834136962890625,1.4834136962890625,16.110145568847656,mir,16.110145568847656
audioflux\src\filterbank\cqt_filterBank.c,9.858774185180664,116.30360412597656,8.852182388305664,18.092609405517578,filter_bank,116.30360412597656
audioflux\src\fst_algorithm.h,1.4641010761260986,1.9313119649887085,3.063333034515381,1.596122145652771,general,3.063333034515381
audioflux\include\wsst_algorithm.h,8.27598762512207,4.698130130767822,4.273721694946289,0.8200292587280273,feature,8.27598762512207
audioflux\include\mir\_pitch_lhs.h,2.7621169090270996,0.1829575002193451,0.1829575002193451,83.76232147216797,mir,83.76232147216797
audioflux\include\spectrogram_algorithm.h,32.25288772583008,40.426063537597656,9.142329216003418,38.21548843383789,filter_bank,40.426063537597656
audioflux\src\mir\_pitch_stft.c,41.969017028808594,24.417293548583984,6.19840669631958,100.5174789428711,mir,100.5174789428711
