file_path,backtest,contrib,data,model,rl,run,strategy,tests,workflow,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,4.608393669128418,9.676106452941895,84.76569366455078,20.078184127807617,6.011909008026123,15.041626930236816,10.12389087677002,111.45012664794922,18.16933250427246,tests,111.45012664794922
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,6.344006061553955,62.54355239868164,16.35146141052246,19.920780181884766,9.516940116882324,11.432086944580078,86.51204681396484,7.20217227935791,14.551898002624512,strategy,86.51204681396484
qlib\qlib\rl\reward.py,10.12188720703125,4.197549819946289,1.0585135221481323,2.8111016750335693,85.2225112915039,1.0585135221481323,5.225724220275879,1.0012303590774536,12.273388862609863,rl,85.2225112915039
qlib\tests\ops\test_special_ops.py,5.855324745178223,8.858994483947754,78.96724700927734,13.815997123718262,3.2708191871643066,8.42357063293457,10.935629844665527,114.24658966064453,13.251052856445312,tests,114.24658966064453
qlib\qlib\contrib\model\pytorch_lstm.py,10.219898223876953,68.15672302246094,78.67536163330078,116.84516906738281,37.12358093261719,44.942203521728516,27.444528579711914,81.82073974609375,36.240928649902344,model,116.84516906738281
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,12.275127410888672,34.71286392211914,78.4659194946289,87.67384338378906,10.74933910369873,13.11514663696289,17.55322265625,20.530048370361328,114.14944458007812,workflow,114.14944458007812
qlib\qlib\workflow\task\collect.py,13.950053215026855,13.38400936126709,15.95287799835205,23.344688415527344,9.424919128417969,17.403743743896484,17.49601936340332,12.292591094970703,122.32179260253906,workflow,122.32179260253906
qlib\qlib\rl\utils\log.py,6.472015380859375,11.955982208251953,48.844566345214844,16.45549774169922,65.52288055419922,22.053701400756836,18.595415115356445,12.670302391052246,30.012474060058594,rl,65.52288055419922
qlib\qlib\backtest\report.py,72.97623443603516,22.13740348815918,99.62197875976562,37.13603973388672,22.102279663085938,38.65704345703125,40.88874435424805,46.80617904663086,38.76412582397461,data,99.62197875976562
qlib\qlib\contrib\data\__init__.py,0.06451363861560822,63.07750701904297,58.698143005371094,2.398397922515869,1.001301884651184,4.06226110458374,2.398397922515869,4.999049186706543,3.730980396270752,contrib,63.07750701904297
qlib\qlib\rl\order_execution\simulator_simple.py,114.87700653076172,12.44221305847168,83.20952606201172,13.684881210327148,69.707763671875,41.31531524658203,13.500908851623535,13.042801856994629,27.238840103149414,backtest,114.87700653076172
qlib\examples\data_demo\data_mem_resuse_demo.py,8.776079177856445,18.264511108398438,82.39839172363281,22.783899307250977,7.471787929534912,11.19603443145752,12.846463203430176,16.621082305908203,121.48480987548828,workflow,121.48480987548828
qlib\qlib\data\cache.py,19.396944046020508,25.19428062438965,115.91080474853516,60.69183349609375,80.3641128540039,76.74801635742188,32.97494888305664,32.86635208129883,44.29909896850586,data,115.91080474853516
qlib\qlib\contrib\report\data\ana.py,3.6710970401763916,58.61784744262695,68.60887145996094,15.901768684387207,2.922945737838745,36.75061798095703,15.283252716064453,10.93920612335205,10.693307876586914,data,68.60887145996094
qlib\examples\highfreq\highfreq_processor.py,1.094295620918274,8.097735404968262,67.83018493652344,9.267158508300781,2.3893396854400635,5.101583957672119,5.63251256942749,16.90319061279297,8.961873054504395,data,67.83018493652344
qlib\qlib\contrib\data\processor.py,1.6992156505584717,57.87910461425781,68.64310455322266,10.047782897949219,2.722540855407715,22.085792541503906,9.457009315490723,10.724820137023926,11.782201766967773,data,68.64310455322266
qlib\qlib\rl\strategy\__init__.py,2.6915533542633057,5.94570779800415,0.06443000584840775,1.0657309293746948,84.35688781738281,0.06443000584840775,100.89641571044922,1.0013008117675781,8.947101593017578,strategy,100.89641571044922
qlib\scripts\get_data.py,4.465599060058594,6.888272285461426,63.676841735839844,9.252185821533203,4.958858966827393,13.326986312866211,6.83971643447876,8.95145320892334,7.790106773376465,data,63.676841735839844
qlib\qlib\rl\data\pickle_styled.py,107.68804168701172,14.203390121459961,96.001953125,15.873773574829102,70.81037902832031,29.440765380859375,16.308076858520508,14.67496395111084,34.70928955078125,backtest,107.68804168701172
qlib\tests\misc\test_sepdf.py,1.2500728368759155,6.045920372009277,57.722774505615234,7.656698703765869,1.5675376653671265,4.960833549499512,4.390134811401367,108.3846435546875,8.293794631958008,tests,108.3846435546875
qlib\qlib\model\riskmodel\base.py,7.023838996887207,17.615812301635742,57.72773361206055,79.53813934326172,4.579771995544434,26.753582000732422,11.766968727111816,11.471152305603027,24.67791748046875,model,79.53813934326172
qlib\tests\rl\test_finite_env.py,5.004547119140625,10.111248016357422,53.90409851074219,12.30485725402832,64.66605377197266,29.43595314025879,9.407849311828613,106.45791625976562,23.749582290649414,tests,106.45791625976562
qlib\qlib\contrib\torch.py,0.0,61.64734649658203,62.752052307128906,2.5941338539123535,1.001240611076355,4.2785491943359375,2.4274237155914307,6.254482746124268,5.2436370849609375,data,62.752052307128906
qlib\qlib\backtest\account.py,85.68367767333984,14.068592071533203,59.63569259643555,36.876712799072266,15.356854438781738,31.83388900756836,30.66398811340332,15.175324440002441,33.850101470947266,backtest,85.68367767333984
qlib\qlib\rl\order_execution\interpreter.py,3.8860297203063965,8.804502487182617,80.96257019042969,11.427412033081055,68.91365051269531,47.94330978393555,7.8744611740112305,9.936198234558105,18.67064666748047,data,80.96257019042969
qlib\qlib\contrib\model\pytorch_gats.py,11.38979434967041,67.66429138183594,100.31621551513672,131.76882934570312,37.26697540283203,53.85643005371094,29.855558395385742,81.27940368652344,39.34352493286133,model,131.76882934570312
qlib\tests\model\test_general_nn.py,5.695830821990967,74.86666870117188,79.24325561523438,99.5281982421875,5.563695430755615,21.032894134521484,13.93058967590332,148.35360717773438,22.130142211914062,tests,148.35360717773438
qlib\qlib\backtest\utils.py,80.20045471191406,11.804059028625488,72.40036010742188,8.939943313598633,5.3127617835998535,56.7040901184082,16.423124313354492,15.174514770507812,15.01490592956543,backtest,80.20045471191406
qlib\qlib\contrib\model\pytorch_adarnn.py,16.71700096130371,65.15185546875,106.59130096435547,125.43944549560547,46.727474212646484,60.444000244140625,29.974117279052734,74.60903930664062,43.500083923339844,model,125.43944549560547
qlib\qlib\rl\simulator.py,7.177191257476807,4.758212566375732,1.0620956420898438,2.5507519245147705,82.67732238769531,1.0620956420898438,2.7082715034484863,1.00127375125885,8.086847305297852,rl,82.67732238769531
qlib\qlib\contrib\tuner\pipeline.py,110.11360931396484,67.32943725585938,81.81351470947266,31.965709686279297,6.098150730133057,64.98507690429688,12.85149097442627,35.734535217285156,42.25920486450195,backtest,110.11360931396484
qlib\qlib\contrib\model\catboost_model.py,7.5734782218933105,68.23884582519531,72.34944915771484,98.47425079345703,7.966554164886475,14.346579551696777,16.851015090942383,77.28826904296875,30.347326278686523,model,98.47425079345703
qlib\qlib\contrib\eva\alpha.py,2.8593108654022217,60.566314697265625,61.980472564697266,19.131933212280273,4.549408435821533,20.837804794311523,8.959671020507812,9.236461639404297,8.68398380279541,data,61.980472564697266
qlib\scripts\collect_info.py,7.930725574493408,8.756932258605957,20.693830490112305,11.257999420166016,12.138465881347656,13.9605073928833,8.823358535766602,9.140493392944336,8.502647399902344,data,20.693830490112305
qlib\examples\online_srv\online_management_simulate.py,119.24552917480469,35.67026901245117,67.20767211914062,23.94700050354004,37.26295852661133,33.97893524169922,123.01395416259766,48.112945556640625,112.6614990234375,strategy,123.01395416259766
qlib\qlib\contrib\model\pytorch_add.py,11.410799026489258,63.84881591796875,92.21806335449219,134.52362060546875,34.45703887939453,64.3621826171875,30.20265769958496,69.60369110107422,48.251705169677734,model,134.52362060546875
qlib\qlib\contrib\model\pytorch_tabnet.py,18.29734230041504,65.0035629272461,82.78702545166016,124.39628601074219,37.325191497802734,44.058860778808594,31.993648529052734,76.43462371826172,37.93857192993164,model,124.39628601074219
qlib\tests\rolling_tests\test_update_pred.py,9.922019004821777,24.62860679626465,79.0721435546875,110.83065795898438,7.250345706939697,7.760298728942871,16.26384162902832,119.5367660522461,148.73231506347656,workflow,148.73231506347656
qlib\scripts\check_dump_bin.py,19.0565242767334,15.881707191467285,90.89473724365234,20.989879608154297,33.57380676269531,43.821739196777344,17.424179077148438,24.816415786743164,19.738611221313477,data,90.89473724365234
qlib\qlib\contrib\model\__init__.py,5.048914909362793,67.09162139892578,7.3123040199279785,108.41555786132812,3.247861385345459,13.330297470092773,9.200089454650879,3.7003366947174072,9.308770179748535,model,108.41555786132812
qlib\qlib\utils\index_data.py,8.922517776489258,13.83095932006836,86.63973236083984,12.694454193115234,4.7939229011535645,52.4287109375,15.955131530761719,20.80492401123047,17.96656608581543,data,86.63973236083984
qlib\qlib\data\ops.py,9.61849308013916,23.96493911743164,64.79261016845703,31.35756492614746,161.9499053955078,44.076934814453125,20.22096824645996,33.05046844482422,22.528549194335938,rl,161.9499053955078
qlib\qlib\data\storage\__init__.py,0.47313737869262695,2.3953235149383545,65.44615173339844,2.3953235149383545,1.0012961626052856,4.054051876068115,2.3953235149383545,5.9913330078125,7.156134605407715,data,65.44615173339844
qlib\qlib\utils\serial.py,4.304969787597656,8.051501274108887,11.902270317077637,4.728494644165039,26.293214797973633,2.0785388946533203,7.210450649261475,5.2569708824157715,7.956890106201172,rl,26.293214797973633
qlib\examples\online_srv\update_online_pred.py,10.352808952331543,23.66454315185547,72.57685852050781,36.248809814453125,9.151015281677246,11.709854125976562,14.982844352722168,21.1420955657959,154.18911743164062,workflow,154.18911743164062
qlib\qlib\rl\utils\env_wrapper.py,7.049367904663086,10.822627067565918,1.9102905988693237,22.364255905151367,81.62518310546875,65.19475555419922,14.449530601501465,8.074212074279785,17.04473304748535,rl,81.62518310546875
qlib\examples\benchmarks\TFT\expt_settings\configs.py,9.639084815979004,22.895336151123047,77.59474182128906,106.15447235107422,5.733500003814697,12.162124633789062,12.166779518127441,13.661993026733398,30.566211700439453,model,106.15447235107422
qlib\qlib\model\riskmodel\shrink.py,7.339886665344238,7.577455520629883,25.857961654663086,65.37084197998047,4.500322341918945,19.398073196411133,11.86208438873291,9.666921615600586,10.728569030761719,model,65.37084197998047
qlib\qlib\rl\trainer\trainer.py,13.1489896774292,16.695877075195312,24.474428176879883,26.091506958007812,75.17439270019531,78.8632583618164,19.0146484375,46.073272705078125,36.826026916503906,run,78.8632583618164
qlib\qlib\contrib\report\__init__.py,21.040298461914062,67.61569213867188,0.7655506134033203,77.08851623535156,5.499880790710449,0.5459599494934082,7.179625511169434,2.503692150115967,12.776291847229004,model,77.08851623535156
qlib\tests\rl\test_saoe_simple.py,110.38909912109375,17.02908706665039,82.0050048828125,13.54285717010498,76.53227996826172,32.06535720825195,87.28109741210938,98.33890533447266,39.53406524658203,backtest,110.38909912109375
qlib\qlib\data\pit.py,3.166996955871582,13.242652893066406,65.22455596923828,25.79018211364746,8.546027183532715,30.210912704467773,14.045656204223633,17.888883590698242,10.886298179626465,data,65.22455596923828
qlib\qlib\contrib\model\pytorch_gats_ts.py,11.669893264770508,67.85616302490234,104.46827697753906,129.72158813476562,64.31449890136719,55.173213958740234,30.140405654907227,75.8875503540039,41.80982208251953,model,129.72158813476562
qlib\tests\test_contrib_model.py,5.371042251586914,71.49332427978516,0.5050013065338135,113.0650634765625,2.5073859691619873,79.82508850097656,8.305034637451172,110.08324432373047,13.995108604431152,model,113.0650634765625
qlib\examples\highfreq\highfreq_ops.py,1.6011230945587158,9.174230575561523,15.707036972045898,5.443418979644775,46.887664794921875,10.226304054260254,4.554018020629883,12.635729789733887,7.244420051574707,rl,46.887664794921875
qlib\examples\benchmarks\LightGBM\multi_freq_handler.py,6.097567081451416,15.687692642211914,74.44913482666016,15.022682189941406,5.399609565734863,9.99997615814209,7.215084075927734,15.678387641906738,16.858963012695312,data,74.44913482666016
qlib\qlib\rl\data\base.py,1.4921401739120483,7.189505577087402,72.2445297241211,7.867748260498047,82.06293487548828,14.166099548339844,4.301942348480225,7.041229248046875,8.213231086730957,rl,82.06293487548828
qlib\qlib\rl\trainer\callbacks.py,11.050592422485352,19.673263549804688,62.763389587402344,108.35112762451172,74.85021209716797,20.55754852294922,16.797595977783203,75.05126190185547,45.9622802734375,model,108.35112762451172
qlib\qlib\rl\aux_info.py,9.7210693359375,4.423840045928955,1.0,2.0012736320495605,82.67732238769531,8.528688430786133,4.983425617218018,1.00127375125885,7.803747177124023,rl,82.67732238769531
qlib\qlib\data\dataset\processor.py,8.926379203796387,11.529524803161621,76.74750518798828,30.47517967224121,7.556647777557373,32.90060043334961,20.70854949951172,23.125093460083008,25.536623001098633,data,76.74750518798828
qlib\qlib\contrib\model\pytorch_gru_ts.py,11.365224838256836,70.2559814453125,82.80818939208984,116.53716278076172,90.20438385009766,52.71133804321289,28.317338943481445,73.62699890136719,40.633636474609375,model,116.53716278076172
qlib\examples\benchmarks\TFT\data_formatters\base.py,15.838139533996582,13.280289649963379,81.92018127441406,22.47870635986328,4.29141902923584,26.819717407226562,12.662230491638184,13.736255645751953,24.685726165771484,data,81.92018127441406
qlib\qlib\rl\data\__init__.py,0.06451363861560822,4.6528778076171875,58.698143005371094,2.398397922515869,84.41706085205078,4.06226110458374,2.398397922515869,4.999049186706543,3.730980396270752,rl,84.41706085205078
qlib\qlib\contrib\model\pytorch_gru.py,10.206892967224121,68.43485260009766,78.26154327392578,117.26224517822266,37.2879753112793,53.95524597167969,28.05857276916504,79.67750549316406,42.48986053466797,model,117.26224517822266
qlib\examples\data_demo\data_cache_demo.py,8.580479621887207,21.24310302734375,82.53728485107422,22.017908096313477,6.155564785003662,86.38294982910156,13.051290512084961,17.317169189453125,113.04667663574219,workflow,113.04667663574219
qlib\examples\benchmarks\TFT\tft.py,20.612079620361328,29.660493850708008,97.39888000488281,127.1441650390625,10.337848663330078,55.5797119140625,31.478200912475586,84.73522186279297,52.85662078857422,model,127.1441650390625
