file_path,configs,datasets,environments,robot_devices,utilities,best_module,best_likelihood
lerobot\src\lerobot\cameras\opencv\__init__.py,0.0,0.0,0.0,6.33103084564209,0.0,robot_devices,6.33103084564209
lerobot\examples\lekiwi\replay.py,19.52332878112793,42.15464782714844,3.567197799682617,47.034324645996094,6.609319686889648,robot_devices,47.034324645996094
lerobot\src\lerobot\robots\openarm_follower\config_openarm_follower.py,16.75225067138672,9.318625450134277,4.278452396392822,55.6463737487793,3.831425189971924,robot_devices,55.6463737487793
lerobot\src\lerobot\robots\hope_jr\hope_jr_hand.py,69.31287384033203,7.857469081878662,4.827686786651611,69.1573715209961,12.391216278076172,configs,69.31287384033203
lerobot\src\lerobot\envs\robomme.py,3.887951135635376,45.26152420043945,5.850989818572998,3.4136838912963867,9.485861778259277,datasets,45.26152420043945
lerobot\src\lerobot\async_inference\robot_client.py,29.635316848754883,12.814873695373535,86.19093322753906,117.74891662597656,18.470870971679688,robot_devices,117.74891662597656
lerobot\tests\policies\pi0_pi05\test_pi05.py,28.2392578125,47.022823333740234,8.328028678894043,35.02077865600586,11.380892753601074,datasets,47.022823333740234
lerobot\src\lerobot\utils\robot_utils.py,1.6004376411437988,0.7491872310638428,2.24944806098938,50.50309753417969,2.8481833934783936,robot_devices,50.50309753417969
lerobot\src\lerobot\motors\dynamixel\__init__.py,0.0,0.0,0.0,6.768129825592041,0.0,robot_devices,6.768129825592041
lerobot\tests\policies\test_gaussian_actor_config.py,29.29397201538086,47.40958023071289,6.740958213806152,32.3078727722168,13.903857231140137,datasets,47.40958023071289
lerobot\tests\policies\lingbot_va\test_modules.py,13.428193092346191,15.457752227783203,9.843559265136719,33.801204681396484,17.87497901916504,robot_devices,33.801204681396484
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,30.482891082763672,47.722267150878906,10.251264572143555,17.544666290283203,17.136219024658203,datasets,47.722267150878906
lerobot\src\lerobot\utils\io_utils.py,2.6289920806884766,15.472504615783691,0.0,3.56803035736084,7.685894012451172,datasets,15.472504615783691
lerobot\tests\policies\groot\test_groot_train_random_crop.py,15.946965217590332,9.284289360046387,4.614807605743408,36.243202209472656,12.2817964553833,robot_devices,36.243202209472656
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,34.40959167480469,55.978694915771484,11.995891571044922,71.0503921508789,19.90315055847168,robot_devices,71.0503921508789
lerobot\src\lerobot\motors\robstride\robstride.py,9.173337936401367,19.73714828491211,9.31578254699707,33.17230987548828,21.14576530456543,robot_devices,33.17230987548828
lerobot\examples\omx\record_grab.py,15.352680206298828,61.457759857177734,6.461758136749268,57.30303955078125,14.924188613891602,datasets,61.457759857177734
lerobot\src\lerobot\configs\policies.py,86.62129974365234,24.77099609375,11.845378875732422,87.91749572753906,23.59158706665039,robot_devices,87.91749572753906
lerobot\tests\processor\test_migration_detection.py,99.95936584472656,24.7398624420166,8.247825622558594,6.273355484008789,14.914029121398926,configs,99.95936584472656
lerobot\tests\policies\test_gaussian_actor_policy.py,33.15591812133789,94.99121856689453,10.490769386291504,9.0939302444458,18.434391021728516,datasets,94.99121856689453
lerobot\tests\fixtures\files.py,8.84970474243164,120.2701187133789,8.561532974243164,3.6595327854156494,15.969147682189941,datasets,120.2701187133789
lerobot\tests\policies\pi0_pi05\test_pi0.py,27.746755599975586,46.127471923828125,8.1307954788208,35.51356506347656,10.35417366027832,datasets,46.127471923828125
lerobot\src\lerobot\async_inference\__init__.py,0.0,0.0,0.0,3.863781452178955,2.6882472038269043,robot_devices,3.863781452178955
lerobot\tests\conftest.py,12.025239944458008,99.77111053466797,7.396888256072998,38.7591552734375,15.504151344299316,datasets,99.77111053466797
lerobot\tests\policies\vla_jepa\conftest.py,24.158740997314453,13.629996299743652,3.933706760406494,35.95758819580078,9.541648864746094,robot_devices,35.95758819580078
lerobot\src\lerobot\robots\so_follower\so_follower.py,71.65201568603516,11.729567527770996,9.473604202270508,71.74925994873047,21.35797882080078,robot_devices,71.74925994873047
lerobot\src\lerobot\robots\openarm_follower\__init__.py,0.0,0.0,0.7390826940536499,47.848087310791016,0.0,robot_devices,47.848087310791016
