file_path,dsp,feature,filter_bank,mir,best_module,best_likelihood
audioFlux\src\cepstrogram_algorithm.c,5.694643020629883,6.957241058349609,0.0,3.804511547088623,feature,6.957241058349609
audioFlux\src\swt_algorithm.h,3.4650204181671143,2.0,0.0,1.4133514165878296,dsp,3.4650204181671143
audioFlux\src\mir\timeStretch_algorithm.h,3.4617397785186768,6.016521453857422,0.0,78.24624633789062,mir,78.24624633789062
audioFlux\src\vector\flux_vectorOp.h,17.523357391357422,2.836026191711426,33.1114616394043,1.9768109321594238,filter_bank,33.1114616394043
audioFlux\include\ewt_algorithm.h,3.4650204181671143,2.0,0.0,1.4133514165878296,dsp,3.4650204181671143
audioFlux\src\fst_algorithm.h,20.85311508178711,2.0,0.0,1.4148250818252563,dsp,20.85311508178711
audioFlux\src\flux_spectral.h,5.728529930114746,28.31468963623047,9.092260360717773,12.211265563964844,feature,28.31468963623047
audioFlux\include\pwt_algorithm.h,4.450613498687744,7.0,2.0,1.4005452394485474,feature,7.0
audioFlux\src\dsp\flux_correct.c,109.00167846679688,2.4119467735290527,21.43895721435547,18.279869079589844,dsp,109.00167846679688
audioFlux\include\wsst_algorithm.h,4.452691078186035,7.857344150543213,2.8258633613586426,1.4023921489715576,feature,7.857344150543213
audioFlux\src\filterbank\nsgt_filterBank.h,3.0,7.0,100.00193786621094,4.390109539031982,filter_bank,100.00193786621094
audioFlux\src\dsp\dct_algorithm.h,102.2386703491211,2.759648084640503,0.7086866497993469,2.3473076820373535,dsp,102.2386703491211
audioFlux\include\track\tune_track.h,2.0,2.0,0.0,2.0825984477996826,mir,2.0825984477996826
audioFlux\src\mir\_queue.c,85.01371002197266,3.7775309085845947,29.417728424072266,71.02484130859375,dsp,85.01371002197266
audioFlux\include\dsp\hilbert_algorithm.h,84.09021759033203,2.0,0.0,1.4153186082839966,dsp,84.09021759033203
audioFlux\src\dsp\filterDesign_fir.h,81.30514526367188,1.0,163.9687042236328,51.44328689575195,filter_bank,163.9687042236328
audioFlux\src\mir\hpss_algorithm.h,3.459041118621826,2.0,0.0,78.57322692871094,mir,78.57322692871094
audioFlux\src\mir\_trist3.h,47.40687942504883,1.0,0.0,74.77325439453125,mir,74.77325439453125
audioFlux\src\reassign_algorithm.c,3.174575090408325,2.0,48.38252258300781,28.193857192993164,filter_bank,48.38252258300781
audioFlux\src\dsp\xcorr_algorithm.c,69.67543029785156,2.0,2.4776151180267334,1.270704746246338,dsp,69.67543029785156
audioFlux\src\mir\_pitch_ffp.h,16.115985870361328,3.045699119567871,0.0,80.38970947265625,mir,80.38970947265625
audioFlux\src\dsp\phase_vocoder.c,75.54531860351562,4.861547946929932,0.0,4.267454624176025,dsp,75.54531860351562
audioFlux\src\dsp\conv_algorithm.h,84.45381927490234,5.9532694816589355,2.764965057373047,3.74233078956604,dsp,84.45381927490234
audioFlux\src\bft_algorithm.h,4.443489074707031,11.460640907287598,38.69428253173828,2.319920063018799,filter_bank,38.69428253173828
audioFlux\src\dsp\filterDesign_iir.c,83.62142944335938,1.0,36.0,27.540237426757812,dsp,83.62142944335938
audioFlux\src\spectrogram_algorithm.h,8.210054397583008,29.818628311157227,38.6630744934082,37.79399871826172,filter_bank,38.6630744934082
audioFlux\include\feature\xxcc_algorithm.h,3.455843925476074,130.30316162109375,0.0,3.4051947593688965,feature,130.30316162109375
audioFlux\src\dsp\hilbert_algorithm.c,77.30872344970703,2.0,0.0,1.3542107343673706,dsp,77.30872344970703
audioFlux\src\filterbank\coef\__coef_d.h,40.511749267578125,1.0,45.180419921875,16.409439086914062,filter_bank,45.180419921875
audioFlux\src\mir\harmonicRatio_algorithm.h,3.4617397785186768,2.0,0.0,76.91014862060547,mir,76.91014862060547
audioFlux\src\filterbank\cqt_filterBank.c,3.0,7.117554664611816,113.48116302490234,16.81459617614746,filter_bank,113.48116302490234
audioFlux\include\util\flux_util.h,19.283477783203125,9.672447204589844,26.063556671142578,43.55669021606445,mir,43.55669021606445
audioFlux\include\util\flux_wave.h,2.0,4.0034966468811035,0.0,15.607954025268555,mir,15.607954025268555
audioFlux\include\dsp\resample_algorithm.h,81.35623931884766,2.970355749130249,0.0,29.034074783325195,dsp,81.35623931884766
audioFlux\src\filterbank\cwt_filterBank.c,38.40252685546875,9.622272491455078,129.07821655273438,10.251233100891113,filter_bank,129.07821655273438
audioFlux\include\dsp\phase_vocoder.h,86.44942474365234,4.676952362060547,0.0,4.185692310333252,dsp,86.44942474365234
audioFlux\src\synsq_algorithm.h,4.463374137878418,6.0,2.845353126525879,1.4118882417678833,feature,6.0
audioFlux\src\mir\_pitch_stft.h,2.0,3.075129270553589,0.0,83.27178192138672,mir,83.27178192138672
audioFlux\src\classic\viterbi.h,2.0,1.0,0.0,1.0,dsp,2.0
audioFlux\src\cqt_algorithm.h,4.429895401000977,18.33683204650879,38.0,1.382129192352295,filter_bank,38.0
audioFlux\src\dsp\fft_algorithm.h,96.98207092285156,2.567636728286743,0.0,1.3996281623840332,dsp,96.98207092285156
audioFlux\src\wpt_algorithm.c,13.96940803527832,5.261097431182861,71.61906433105469,18.538352966308594,filter_bank,71.61906433105469
