file_path,dsp,filter_bank,general,mir,best_module,best_likelihood
src\pwt_algorithm.c,22.974395751953125,65.6741714477539,3.8221287727355957,0.1935807764530182,filter_bank,65.6741714477539
include\track\tune_track.h,0.0,0.0,0.0,1.082512378692627,mir,1.082512378692627
include\feature\spectral_algorithm.h,4.051939964294434,6.647528648376465,4.664070129394531,44.892181396484375,mir,44.892181396484375
include\pwt_algorithm.h,2.451601982116699,2.0,2.8530259132385254,0.4014240503311157,general,2.8530259132385254
src\classic\viterbi.h,0.0,0.0,1.327130913734436,0.0,general,1.327130913734436
src\nsgt_algorithm.h,2.4414312839508057,38.0,2.8338146209716797,2.7453525066375732,filter_bank,38.0
src\feature\spectral_algorithm.c,25.653356552124023,9.473883628845215,5.6786112785339355,20.535099029541016,dsp,25.653356552124023
src\mir\_queue.h,53.880470275878906,31.892501831054688,2.1363368034362793,98.27742767333984,mir,98.27742767333984
src\mir\harmonicRatio_algorithm.c,1.2969677448272705,0.9623860120773315,2.6591572761535645,76.7160873413086,mir,76.7160873413086
src\mir\onset_algorithm.c,4.696905612945557,45.65732192993164,8.246133804321289,134.86883544921875,mir,134.86883544921875
src\mir\_pitch_ncf.c,0.0,0.0,0.5122334957122803,66.10352325439453,mir,66.10352325439453
src\vector\flux_complex.c,8.873645782470703,1.9278210401535034,4.303530693054199,36.65070343017578,mir,36.65070343017578
src\classic\trist.c,0.0,1.1857326030731201,1.047194242477417,19.19135093688965,mir,19.19135093688965
include\mir\_pitch_ncf.h,0.0,0.0,0.0,81.62765502929688,mir,81.62765502929688
include\bft_algorithm.h,2.4434287548065186,38.69418716430664,2.837587356567383,1.3197405338287354,filter_bank,38.69418716430664
src\cqt_algorithm.c,13.812020301818848,12.679193496704102,3.8753662109375,24.352785110473633,mir,24.352785110473633
src\mir\_pitch_ffp.h,14.113558769226074,0.0,0.0,79.38296508789062,mir,79.38296508789062
include\dsp\xcorr_algorithm.h,81.65269470214844,0.0,4.765096664428711,0.4113761782646179,dsp,81.65269470214844
src\mir\hpss_algorithm.c,1.2899391651153564,0.0,2.918846368789673,66.07875061035156,mir,66.07875061035156
src\mir\harmonic_algorithm.c,49.128910064697266,150.94061279296875,3.4508538246154785,79.03306579589844,filter_bank,150.94061279296875
include\emd_algorithm.h,1.4677683115005493,0.0,1.8835623264312744,0.4157940745353699,general,1.8835623264312744
src\filterbank\dwt_filterCoef.c,130.2165985107422,53.13311767578125,3.497828722000122,70.4624252319336,dsp,130.2165985107422
src\swt_algorithm.c,11.210282325744629,36.0,4.026656627655029,0.27052944898605347,filter_bank,36.0
include\fst_algorithm.h,18.86499786376953,0.0,1.8825092315673828,0.4152985215187073,dsp,18.86499786376953
src\flux_base.h,27.870725631713867,185.61456298828125,6.027942657470703,64.33916473388672,filter_bank,185.61456298828125
src\dsp\dft_algorithm.h,98.95610809326172,0.0,1.8741743564605713,0.4113761782646179,dsp,98.95610809326172
include\filterbank\auditory_weight.h,0.0,102.61363983154297,0.0,0.0,filter_bank,102.61363983154297
src\mir\timeStretch_algorithm.c,4.014076232910156,23.014896392822266,2.195204973220825,69.78980255126953,mir,69.78980255126953
src\st_algorithm.c,1.3043456077575684,0.9693430662155151,4.048867225646973,0.27052944898605347,general,4.048867225646973
src\flux_spectral.c,3.6232211589813232,10.813551902770996,6.539060115814209,27.267436981201172,mir,27.267436981201172
src\feature\xxcc_algorithm.c,17.23002052307129,1.2325451374053955,2.0800833702087402,2.2639713287353516,dsp,17.23002052307129
src\dsp\filterDesign_fir.c,64.71781158447266,220.48086547851562,1.0677132606506348,53.93002700805664,filter_bank,220.48086547851562
src\dsp\filterDesign_iir.c,81.67778015136719,36.0,0.0,26.57231903076172,dsp,81.67778015136719
include\temporal_algorithm.h,1.4568651914596558,0.0,1.862967610359192,13.103859901428223,mir,13.103859901428223
src\mir\_pitch_pef.h,0.0,0.0,0.0,81.10235595703125,mir,81.10235595703125
src\cepstrogram_algorithm.h,1.4536926746368408,0.0,1.8569750785827637,0.40328240394592285,general,1.8569750785827637
src\mir\_pitch_yin.h,0.0,0.0,0.0,93.55970001220703,mir,93.55970001220703
src\dwt_algorithm.h,18.827821731567383,0.0,1.8793652057647705,0.41381892561912537,dsp,18.827821731567383
include\cwt_algorithm.h,2.451601982116699,2.0,2.8530259132385254,0.4014240503311157,general,2.8530259132385254
src\dsp\xcorr_algorithm.h,81.65269470214844,0.0,4.765096664428711,0.4113761782646179,dsp,81.65269470214844
src\dsp\hilbert_algorithm.h,82.14297485351562,0.0,1.8835623264312744,0.4157940745353699,dsp,82.14297485351562
src\bft_algorithm.c,19.83773422241211,79.9888916015625,4.930354118347168,11.843171119689941,filter_bank,79.9888916015625
include\mir\_pitch_yin.h,0.0,0.0,0.0,93.55970001220703,mir,93.55970001220703
include\ewt_algorithm.h,1.4655463695526123,0.0,1.8793652057647705,0.41381892561912537,general,1.8793652057647705
src\filterbank\cwt_filterBank.h,1.0,100.18112182617188,1.0,0.9752228856086731,filter_bank,100.18112182617188
src\vector\flux_vectorOp.h,15.517781257629395,33.10551834106445,2.1821630001068115,0.9765719175338745,filter_bank,33.10551834106445
src\mir\_pitch_lhs.h,0.0,0.0,0.0,83.57936096191406,mir,83.57936096191406
include\swt_algorithm.h,1.4655463695526123,0.0,1.8793652057647705,0.41381892561912537,general,1.8793652057647705
src\filterbank\auditory_weight.c,0.0,87.76649475097656,2.403939723968506,49.72797393798828,filter_bank,87.76649475097656
src\filterbank\auditory_filterBank.c,18.22499656677246,172.7640380859375,6.362432956695557,63.25590133666992,filter_bank,172.7640380859375
src\synsq_algorithm.h,2.463893413543701,2.8463003635406494,2.8762433528900146,0.4123498201370239,general,2.8762433528900146
src\dsp\dct_algorithm.h,100.34321594238281,0.7102545499801636,1.8569750785827637,1.3502885103225708,dsp,100.34321594238281
include\synsq_algorithm.h,2.463893413543701,2.8463003635406494,2.8762433528900146,0.4123498201370239,general,2.8762433528900146
src\mir\_trist3.h,45.45823287963867,0.0,0.0,73.81710052490234,mir,73.81710052490234
src\filterbank\auditory_weight.h,0.0,102.61363983154297,0.0,0.0,filter_bank,102.61363983154297
src\dsp\flux_window.h,78.10353088378906,1.4963810443878174,0.0,0.9214125871658325,dsp,78.10353088378906
src\classic\hmm.c,29.20155906677246,49.56698226928711,35.439414978027344,29.31283950805664,filter_bank,49.56698226928711
include\wpt_algorithm.h,1.4655463695526123,0.0,1.8793652057647705,0.41381892561912537,general,1.8793652057647705
include\classic\viterbi.h,0.0,0.0,1.327130913734436,0.0,general,1.327130913734436
src\mir\harmonic_algorithm.h,1.4584681987762451,0.0,1.8659954071044922,81.55231475830078,mir,81.55231475830078
src\feature\spectral_algorithm.h,4.051939964294434,6.647528648376465,4.664070129394531,44.892181396484375,mir,44.892181396484375
src\dsp\dft_algorithm.c,105.90196990966797,0.0,4.199644565582275,9.967422485351562,dsp,105.90196990966797
include\feature\xxcc_algorithm.h,1.4558027982711792,0.0,1.8609607219696045,2.405158042907715,mir,2.405158042907715
src\wpt_algorithm.c,11.961827278137207,71.61180877685547,4.690753936767578,17.536535263061523,filter_bank,71.61180877685547
src\util\flux_wave.h,0.0,0.0,0.0,14.62673282623291,mir,14.62673282623291
src\mir\_pitch_ffp.c,66.96253204345703,116.36788177490234,2.687506675720215,81.20304107666016,filter_bank,116.36788177490234
include\cwd_algorithm.h,1.4677683115005493,0.0,1.8835623264312744,0.4157940745353699,general,1.8835623264312744
include\util\flux_util.h,17.460203170776367,26.46082878112793,3.7422666549682617,42.94658279418945,mir,42.94658279418945
src\dsp\resample_algorithm.c,58.327735900878906,31.88667869567871,1.8936768770217896,19.945480346679688,dsp,58.327735900878906
include\stft_algorithm.h,1.4374902248382568,0.6848896145820618,1.826370358467102,4.406320095062256,mir,4.406320095062256
src\dsp\fft_algorithm.h,94.97537994384766,0.0,1.8491133451461792,0.39958274364471436,dsp,94.97537994384766
src\cwt_algorithm.c,32.678367614746094,64.5163803100586,3.318706512451172,0.18693435192108154,filter_bank,64.5163803100586
include\classic\hmm.h,0.0,3.907914161682129,75.83257293701172,12.522625923156738,general,75.83257293701172
src\mir\onset_algorithm.h,1.4434287548065186,36.811885833740234,1.8375874757766724,92.49231719970703,mir,92.49231719970703
include\dsp\conv_algorithm.h,82.44979858398438,2.764726161956787,7.198378562927246,2.742093563079834,dsp,82.44979858398438
include\flux_base.h,27.870725631713867,185.61456298828125,6.027942657470703,64.33916473388672,filter_bank,185.61456298828125
src\fst_algorithm.c,19.531906127929688,1.0922518968582153,4.552557945251465,12.242239952087402,dsp,19.531906127929688
include\hht_algorithm.h,1.4655463695526123,0.0,1.8793652057647705,0.41381892561912537,general,1.8793652057647705
src\dsp\filterDesign_fir.h,79.40357208251953,164.22021484375,0.0,50.555355072021484,filter_bank,164.22021484375
src\filterbank\auditory_filterBank.h,1.0,141.92820739746094,1.9888414144515991,23.479999542236328,filter_bank,141.92820739746094
src\flux_spectral.h,3.728458881378174,9.09190559387207,5.060888767242432,11.206795692443848,mir,11.206795692443848
src\mir\_pitch_cep.c,8.263548851013184,0.0,0.5130444169044495,66.98182678222656,mir,66.98182678222656
include\mir\_pitch_cep.h,14.92236328125,0.0,0.0,81.62765502929688,mir,81.62765502929688
src\dsp\czt_algorithm.h,81.97838592529297,0.0,1.8804106712341309,0.41431093215942383,dsp,81.97838592529297
