file_path,FSESL,FreeSWITCH,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\example\SimpleHangupPipelineFactory.java,101.78384399414062,97.7223129272461,1.0100500583648682,0.0,0.0,FSESL,101.78384399414062
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingEndedConstraint.java,9.94264030456543,7.57726526260376,9.060603141784668,9.276853561401367,14.11835765838623,Redis PubSub,14.11835765838623
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\Enter.java,5.31056547164917,6.6157331466674805,8.819334983825684,4.023321151733398,4.443910598754883,Presentation Conversion,8.819334983825684
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,79.2120361328125,108.5603256225586,1.3995991945266724,0.3907333016395569,1.457760214805603,FreeSWITCH,108.5603256225586
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\list\NotEmptyList.java,6.146224498748779,6.311673164367676,7.805054664611816,4.1716156005859375,7.323349952697754,Presentation Conversion,7.805054664611816
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,80.96074676513672,103.74449920654297,1.0093040466308594,4.355208873748779,5.828766822814941,FreeSWITCH,103.74449920654297
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\RecordChapterBreak.java,2.8318798542022705,2.1438472270965576,3.6795425415039062,4.856406211853027,12.092875480651855,Redis PubSub,12.092875480651855
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,2.853012800216675,2.145421266555786,3.6871116161346436,4.890430450439453,12.18533992767334,Redis PubSub,12.18533992767334
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\MeetingInfo.java,3.8010053634643555,5.69980525970459,8.797688484191895,4.397458553314209,4.800603866577148,Presentation Conversion,8.797688484191895
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\service\ServiceUtils.java,6.731861591339111,5.186155319213867,11.527056694030762,5.235823631286621,10.246232032775879,Presentation Conversion,11.527056694030762
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\IStorageService.java,0.14412176609039307,2.1434590816497803,5.65517520904541,2.8114013671875,6.333783149719238,Redis PubSub,6.333783149719238
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\FreeswitchApplication.java,70.0046615600586,92.47643280029297,4.067388534545898,6.950326919555664,11.97999095916748,FreeSWITCH,92.47643280029297
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\MuteUserCommand.java,79.18224334716797,110.85115051269531,1.787320613861084,0.0,1.0691183805465698,FreeSWITCH,110.85115051269531
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectAllUsersCommand.java,81.4424819946289,109.57139587402344,1.191865086555481,0.0,1.0713444948196411,FreeSWITCH,109.57139587402344
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,89.68666076660156,101.92272186279297,1.0099612474441528,7.945609092712402,4.264123916625977,FreeSWITCH,101.92272186279297
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\EndMeeting.java,3.658639907836914,5.5717339515686035,8.579251289367676,4.2696943283081055,4.717197418212891,Presentation Conversion,8.579251289367676
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,90.4741439819336,102.53289031982422,1.0101404190063477,5.988899230957031,4.288964748382568,FreeSWITCH,102.53289031982422
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\Util.java,2.3584744930267334,3.5479280948638916,89.83941650390625,5.352514743804932,7.42069673538208,Presentation Conversion,89.83941650390625
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\StopSoundCommand.java,80.12100982666016,111.09017944335938,1.9714421033859253,0.75275719165802,1.0698448419570923,FreeSWITCH,111.09017944335938
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\AbstractOutboundPipelineFactory.java,96.78912353515625,90.14720916748047,1.0090796947479248,0.0,5.489985466003418,FSESL,96.78912353515625
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingDestroyed.java,2.853012800216675,2.145421266555786,3.6871116161346436,4.890430450439453,12.18533992767334,Redis PubSub,12.18533992767334
bigbluebutton\bbb-recording-imex\src\test\java\org\bigbluebutton\RecordingImportHandlerTest.java,6.829870700836182,3.9969635009765625,12.170846939086914,15.43835163116455,3.9312264919281006,Redis DB,15.43835163116455
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\validator\PostChecksumValidator.java,8.865507125854492,8.354666709899902,9.557109832763672,9.600619316101074,7.90579080581665,Redis DB,9.600619316101074
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\LearningDashboard.java,2.8112375736236572,2.1423070430755615,3.67214035987854,4.823303699493408,12.003003120422363,Redis PubSub,12.003003120422363
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\UserCleanupTimerTask.java,0.1367192268371582,2.1389594078063965,7.429928302764893,2.6418890953063965,7.477936267852783,Redis PubSub,7.477936267852783
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\UploadFileTooLargeMessage.java,0.13219265639781952,2.136113166809082,91.14208984375,3.853654146194458,11.5726318359375,Presentation Conversion,91.14208984375
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\MessagingService.java,2.826673984527588,2.1434590816497803,3.897430896759033,1.7583526372909546,2.8300821781158447,Presentation Conversion,3.897430896759033
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\UserLeftVoice.java,3.9748106002807617,3.515364170074463,3.6795425415039062,4.856406211853027,12.092875480651855,Redis PubSub,12.092875480651855
