Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
celery,0.7521,0.7827,0.7671,0.7521,0.7827,0.7671,0.7521,0.7827,0.7671,0.7521,0.7827,0.7671,0.7531,0.7827,0.7676,0.7574,0.7798,0.7685,0.7602,0.7783,0.7691,0.7674,0.7783,0.7728,0.8166,0.7684,0.7918
fastmcp,0.7135,0.7232,0.7183,0.7135,0.7232,0.7183,0.7135,0.7232,0.7183,0.7135,0.7232,0.7183,0.7135,0.7232,0.7183,0.7135,0.7232,0.7183,0.7296,0.7232,0.7264,0.7296,0.7232,0.7264,0.7790,0.7121,0.7441
lerobot,0.6387,0.6229,0.6307,0.6387,0.6229,0.6307,0.6387,0.6229,0.6307,0.6387,0.6229,0.6307,0.6387,0.6229,0.6307,0.6387,0.6229,0.6307,0.6554,0.6229,0.6387,0.6723,0.6229,0.6466,0.7019,0.5915,0.6420
qlib,0.5569,0.5574,0.5571,0.5569,0.5574,0.5571,0.5569,0.5574,0.5571,0.5569,0.5574,0.5571,0.5565,0.5565,0.5565,0.5641,0.5555,0.5598,0.5767,0.5466,0.5612,0.5816,0.5436,0.5620,0.6068,0.4775,0.5345
