Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
celery,0.6149,0.6912,0.6508,0.6243,0.6912,0.6560,0.6243,0.6912,0.6560,0.6251,0.6912,0.6565,0.6239,0.6855,0.6533,0.6323,0.6799,0.6552,0.6400,0.6615,0.6506,0.6403,0.6303,0.6353,0.5997,0.4819,0.5344
fastmcp,0.7429,0.8698,0.8013,0.7657,0.8698,0.8144,0.7733,0.8698,0.8187,0.7733,0.8698,0.8187,0.7812,0.8698,0.8231,0.7863,0.7823,0.7843,0.7851,0.6940,0.7367,0.7730,0.6506,0.7065,0.7309,0.4591,0.5640
lerobot,0.6236,0.7186,0.6677,0.6688,0.7186,0.6928,0.7024,0.7121,0.7072,0.7321,0.7121,0.7220,0.7418,0.7121,0.7266,0.7204,0.6232,0.6683,0.7080,0.5510,0.6197,0.8692,0.4262,0.5719,0.8983,0.3106,0.4616
qlib,0.4110,0.4343,0.4223,0.4132,0.4343,0.4235,0.4152,0.4343,0.4246,0.4185,0.4343,0.4262,0.4193,0.4343,0.4267,0.4163,0.4255,0.4208,0.3213,0.2685,0.2926,0.2837,0.2003,0.2348,0.2345,0.1224,0.1609
