file_path,cli,client,resources,server,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,35.105796813964844,21.57817268371582,58.06277847290039,69.10765838623047,21.3301944732666,112.4664306640625,utilities,112.4664306640625
fastmcp\tests\deprecated\test_elicitation.py,67.64558410644531,70.51078796386719,11.737086296081543,4.260004043579102,35.10930633544922,13.461926460266113,client,70.51078796386719
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,71.96569061279297,69.23493957519531,65.69380950927734,59.18733596801758,36.17335510253906,30.822803497314453,cli,71.96569061279297
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,124.31986999511719,37.28422546386719,34.52366256713867,74.6507339477539,22.534564971923828,124.33650970458984,utilities,124.33650970458984
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,72.20079040527344,73.54036712646484,55.33910369873047,71.50811004638672,8.405767440795898,42.35490036010742,client,73.54036712646484
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,101.87725067138672,68.19779968261719,2.5595479011535645,58.147216796875,2.9078733921051025,23.304737091064453,cli,101.87725067138672
fastmcp\examples\testing_demo\server.py,15.26611614227295,21.085693359375,45.15428924560547,59.43478012084961,33.23870086669922,16.52760124206543,server,59.43478012084961
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,74.77198028564453,14.7872314453125,141.3314971923828,67.3644790649414,118.65937042236328,47.015804290771484,resources,141.3314971923828
fastmcp\examples\desktop.py,9.622900009155273,10.005739212036133,46.15199661254883,5.623519420623779,29.724397659301758,7.663814544677734,resources,46.15199661254883
fastmcp\tests\cli\test_mcp_server_config_integration.py,131.51243591308594,78.09652709960938,74.88192749023438,67.7445297241211,38.186866760253906,39.622291564941406,cli,131.51243591308594
fastmcp\tests\server\middleware\test_rate_limiting.py,79.59967803955078,78.80513000488281,14.702239990234375,68.82735443115234,44.48054122924805,16.79280662536621,cli,79.59967803955078
fastmcp\tests\tools\tool_transform\test_args.py,77.66561126708984,79.44439697265625,26.759798049926758,13.209878921508789,160.19847106933594,34.070919036865234,tools,160.19847106933594
fastmcp\tests\server\test_dependencies_advanced.py,79.02483367919922,76.0194091796875,67.462890625,61.77122497558594,116.48994445800781,30.09246826171875,tools,116.48994445800781
fastmcp\examples\diagnostics\client_with_tracing.py,76.3365707397461,72.96797943115234,145.43783569335938,66.18506622314453,110.45802307128906,32.20137023925781,resources,145.43783569335938
fastmcp\fastmcp_slim\fastmcp\server\providers\filesystem_discovery.py,46.268375396728516,18.601688385009766,84.89166259765625,66.46289825439453,65.98902893066406,49.176116943359375,resources,84.89166259765625
fastmcp\examples\atproto_mcp\demo.py,109.39331817626953,91.20803833007812,129.69094848632812,68.04510498046875,110.4620590209961,45.55609893798828,resources,129.69094848632812
fastmcp\fastmcp_slim\fastmcp\cli\cli.py,148.3714141845703,104.67012023925781,117.43338775634766,94.27787017822266,112.83040618896484,75.82979583740234,cli,148.3714141845703
fastmcp\tests\server\test_logging.py,22.55622100830078,10.731572151184082,10.111424446105957,71.55697631835938,10.912252426147461,14.997838020324707,server,71.55697631835938
fastmcp\tests\client\client\test_mode_negotiation.py,63.791465759277344,86.78883361816406,16.79966926574707,63.78950500488281,39.683204650878906,23.115673065185547,client,86.78883361816406
fastmcp\fastmcp_slim\fastmcp\cli\install\claude_code.py,126.11092376708984,20.40606117248535,23.95624351501465,71.72815704345703,39.607582092285156,25.76775550842285,cli,126.11092376708984
fastmcp\tests\tools\tool\test_output_schema.py,20.27266502380371,32.35595703125,28.5238037109375,9.488977432250977,101.3049087524414,29.424047470092773,tools,101.3049087524414
fastmcp\examples\skills\server.py,8.661293029785156,10.944313049316406,10.188880920410156,58.52507781982422,20.4939022064209,10.898882865905762,server,58.52507781982422
fastmcp\tests\server\test_context.py,78.5722427368164,140.47671508789062,38.51308059692383,66.77069091796875,45.922096252441406,28.543237686157227,client,140.47671508789062
fastmcp\tests\client\telemetry\__init__.py,39.324825286865234,57.977935791015625,0.6048797369003296,0.7959314584732056,0.4972383975982666,5.120756149291992,client,57.977935791015625
fastmcp\docs\apps\demos\hitchhikers.py,104.00128173828125,28.176883697509766,43.62107849121094,24.206411361694336,52.55126953125,32.912288665771484,cli,104.00128173828125
fastmcp\fastmcp_slim\fastmcp\server\auth\handlers\authorize.py,67.69116973876953,101.69596099853516,26.515689849853516,69.66712188720703,41.195613861083984,34.02735900878906,client,101.69596099853516
fastmcp\tests\utilities\json_schema_type\test_real_world_schemas.py,49.44541931152344,16.071256637573242,39.644161224365234,10.797782897949219,27.156755447387695,127.74313354492188,utilities,127.74313354492188
fastmcp\fastmcp_slim\fastmcp\client\__init__.py,57.19564437866211,61.555789947509766,1.3642467260360718,2.0951108932495117,0.550148606300354,19.376876831054688,client,61.555789947509766
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\huggingface.py,81.58458709716797,79.38238525390625,66.417236328125,58.1887092590332,24.02593231201172,26.787860870361328,cli,81.58458709716797
fastmcp\fastmcp_slim\fastmcp\client\transports\stdio.py,90.42508697509766,70.16606140136719,23.548471450805664,65.35384368896484,56.27446365356445,27.98546028137207,cli,90.42508697509766
