file_path,Apps,FreeSWITCH,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\example\SimpleHangupPipelineFactory.java,5.1822285652160645,97.7223129272461,1.0100500583648682,0.0,0.0,FreeSWITCH,97.7223129272461
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingEndedConstraint.java,23.134305953979492,7.57726526260376,9.060603141784668,9.276853561401367,14.11835765838623,Apps,23.134305953979492
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\Enter.java,20.561845779418945,6.6157331466674805,8.819334983825684,4.023321151733398,4.443910598754883,Apps,20.561845779418945
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,6.972836971282959,108.5603256225586,1.3995991945266724,0.3907333016395569,1.457760214805603,FreeSWITCH,108.5603256225586
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,4.4005279541015625,103.74449920654297,1.0093040466308594,4.355208873748779,5.828766822814941,FreeSWITCH,103.74449920654297
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\list\NotEmptyList.java,15.629136085510254,6.311673164367676,7.805054664611816,4.1716156005859375,7.323349952697754,Apps,15.629136085510254
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\RecordChapterBreak.java,19.062602996826172,2.1438472270965576,3.6795425415039062,4.856406211853027,12.092875480651855,Apps,19.062602996826172
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,19.19922637939453,2.145421266555786,3.6871116161346436,4.890430450439453,12.18533992767334,Apps,19.19922637939453
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\MeetingInfo.java,20.833051681518555,5.69980525970459,8.797688484191895,4.397458553314209,4.800603866577148,Apps,20.833051681518555
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\service\ServiceUtils.java,30.929332733154297,5.186155319213867,11.527056694030762,5.235823631286621,10.246232032775879,Apps,30.929332733154297
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\IStorageService.java,14.950112342834473,2.1434590816497803,5.65517520904541,2.8114013671875,6.333783149719238,Apps,14.950112342834473
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\FreeswitchApplication.java,18.205951690673828,92.47643280029297,4.067388534545898,6.950326919555664,11.97999095916748,FreeSWITCH,92.47643280029297
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectAllUsersCommand.java,6.77673864364624,109.57139587402344,1.191865086555481,0.0,1.0713444948196411,FreeSWITCH,109.57139587402344
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\MuteUserCommand.java,10.941885948181152,110.85115051269531,1.787320613861084,0.0,1.0691183805465698,FreeSWITCH,110.85115051269531
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,9.211606979370117,101.92272186279297,1.0099612474441528,7.945609092712402,4.264123916625977,FreeSWITCH,101.92272186279297
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,9.268803596496582,102.53289031982422,1.0101404190063477,5.988899230957031,4.288964748382568,FreeSWITCH,102.53289031982422
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\EndMeeting.java,20.07378387451172,5.5717339515686035,8.579251289367676,4.2696943283081055,4.717197418212891,Apps,20.07378387451172
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\AbstractOutboundPipelineFactory.java,5.0202250480651855,90.14720916748047,1.0090796947479248,0.0,5.489985466003418,FreeSWITCH,90.14720916748047
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\StopSoundCommand.java,10.860833168029785,111.09017944335938,1.9714421033859253,0.75275719165802,1.0698448419570923,FreeSWITCH,111.09017944335938
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\Util.java,19.685657501220703,3.5479280948638916,89.83941650390625,5.352514743804932,7.42069673538208,Presentation Conversion,89.83941650390625
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingDestroyed.java,19.19922637939453,2.145421266555786,3.6871116161346436,4.890430450439453,12.18533992767334,Apps,19.19922637939453
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\validator\PostChecksumValidator.java,20.095691680908203,8.354666709899902,9.557109832763672,9.600619316101074,7.90579080581665,Apps,20.095691680908203
bigbluebutton\bbb-recording-imex\src\test\java\org\bigbluebutton\RecordingImportHandlerTest.java,8.318050384521484,3.9969635009765625,12.50343132019043,15.43835163116455,3.9312264919281006,Redis DB,15.43835163116455
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\LearningDashboard.java,18.928974151611328,2.1423070430755615,3.67214035987854,4.823303699493408,12.003003120422363,Apps,18.928974151611328
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\UserCleanupTimerTask.java,18.68793487548828,2.1389594078063965,7.429928302764893,2.6418890953063965,7.477936267852783,Apps,18.68793487548828
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\FreeswitchHeartbeatEvent.java,10.238791465759277,101.62267303466797,1.2296282052993774,5.924314498901367,4.251904487609863,FreeSWITCH,101.62267303466797
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\UserLeftVoice.java,21.205533981323242,3.515364170074463,3.6795425415039062,4.856406211853027,12.092875480651855,Apps,21.205533981323242
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\MessagingService.java,16.76167106628418,2.1434590816497803,3.897430896759033,1.7583526372909546,2.8300821781158447,Apps,16.76167106628418
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\UploadFileTooLargeMessage.java,12.968908309936523,2.136113166809082,91.14208984375,3.853654146194458,11.5726318359375,Presentation Conversion,91.14208984375
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\PlaySoundCommand.java,10.9617280960083,110.66281127929688,1.8505245447158813,0.0,1.0691183805465698,FreeSWITCH,110.66281127929688
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\MimeTypeUtils.java,21.223440170288086,6.656994819641113,102.6021499633789,3.5440213680267334,5.392941951751709,Presentation Conversion,102.6021499633789
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\DocumentConversionServiceImp.java,16.975324630737305,6.144951343536377,223.45262145996094,12.491937637329102,20.19091033935547,Presentation Conversion,223.45262145996094
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DeafUserCommand.java,10.941885948181152,110.85115051269531,1.787320613861084,0.0,1.0691183805465698,FreeSWITCH,110.85115051269531
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\imp\Office2PdfPageConverter.java,18.621694564819336,8.875147819519043,252.33653259277344,15.503010749816895,20.991527557373047,Presentation Conversion,252.33653259277344
