file_path,configs,datasets,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\src\lerobot\datasets\pipeline_features.py,0.3107501268386841,88.52877807617188,1.4120324850082397,44.98019790649414,2.5218958854675293,datasets,88.52877807617188
lerobot\tests\policies\pi0_pi05\openpi_pytorch\__init__.py,0.20876678824424744,0.20876678824424744,83.91068267822266,0.0,2.4589505195617676,policies,83.91068267822266
lerobot\tests\utils\test_logging_utils.py,2.074490785598755,2.435840368270874,1.6833643913269043,26.93272590637207,8.772477149963379,robot_devices,26.93272590637207
lerobot\tests\processor\test_smolvla_processor.py,25.99403953552246,22.239343643188477,107.22193145751953,42.796016693115234,7.186885833740234,policies,107.22193145751953
lerobot\examples\phone_to_so100\evaluate.py,26.52630043029785,45.044830322265625,24.633047103881836,100.39900970458984,16.196264266967773,robot_devices,100.39900970458984
lerobot\examples\isaac_teleop_to_so101\isaac_teleop\base.py,26.382633209228516,8.99813461303711,5.167830467224121,75.93456268310547,23.973913192749023,robot_devices,75.93456268310547
lerobot\src\lerobot\annotations\steerable_pipeline\modules\interjections_and_speech.py,19.974750518798828,16.15728759765625,2.0754518508911133,12.163951873779297,13.023670196533203,configs,19.974750518798828
lerobot\tests\datasets\test_dataset_writer.py,5.558055400848389,106.7103042602539,3.802912473678589,25.17588996887207,11.23914909362793,datasets,106.7103042602539
lerobot\examples\phone_to_so100\rollout.py,24.553808212280273,5.402792930603027,23.978145599365234,64.92696380615234,6.083244323730469,robot_devices,64.92696380615234
lerobot\tests\transport\test_transport_utils.py,1.9143640995025635,9.498469352722168,2.93524169921875,27.414377212524414,8.7515869140625,robot_devices,27.414377212524414
lerobot\src\lerobot\datasets\language_render.py,7.046229839324951,76.8746566772461,2.7579641342163086,6.525857448577881,7.944678783416748,datasets,76.8746566772461
lerobot\tests\datasets\test_video_encoding.py,27.378198623657227,90.5357666015625,10.678007125854492,23.01662254333496,17.857669830322266,datasets,90.5357666015625
lerobot\tests\policies\pi0_pi05\test_pi05_rtc.py,26.897111892700195,32.6693229675293,87.2761001586914,32.85697555541992,7.6333537101745605,policies,87.2761001586914
lerobot\tests\processor\test_tokenizer_processor.py,29.658611297607422,9.808046340942383,16.698476791381836,137.00575256347656,19.63016128540039,robot_devices,137.00575256347656
lerobot\examples\tutorial\smolvla\using_smolvla_example.py,19.77785301208496,30.588882446289062,8.11424446105957,102.7854995727539,6.064993858337402,robot_devices,102.7854995727539
lerobot\examples\isaac_teleop_to_so101\override_reset_pose.py,7.671809196472168,8.086434364318848,1.4031230211257935,62.69645309448242,7.424924373626709,robot_devices,62.69645309448242
lerobot\src\lerobot\common\train_utils.py,20.02906036376953,7.486276149749756,20.42272186279297,6.742446422576904,14.104879379272461,policies,20.42272186279297
lerobot\tests\envs\test_robotwin.py,23.429431915283203,6.965075492858887,4.08636474609375,64.21147155761719,16.074010848999023,robot_devices,64.21147155761719
lerobot\tests\datasets\test_sampler.py,2.0621767044067383,92.0122299194336,7.108431816101074,7.691921710968018,11.311088562011719,datasets,92.0122299194336
lerobot\tests\datasets\test_streaming.py,10.371106147766113,95.03620147705078,5.182986736297607,28.372892379760742,17.158496856689453,datasets,95.03620147705078
lerobot\src\lerobot\cameras\reachy2_camera\__init__.py,0.20860092341899872,0.20860092341899872,0.0,11.98963737487793,0.20860092341899872,robot_devices,11.98963737487793
lerobot\examples\so100_to_so100_EE\record.py,19.421171188354492,40.20017623901367,1.7185157537460327,70.03414916992188,11.554532051086426,robot_devices,70.03414916992188
lerobot\src\lerobot\annotations\steerable_pipeline\executor.py,23.928565979003906,12.90393352508545,5.699014186859131,26.04861068725586,17.59090805053711,robot_devices,26.04861068725586
lerobot\tests\policies\pi0_pi05\utils\__init__.py,0.20893290638923645,0.20893290638923645,83.94800567626953,0.0,2.460111618041992,policies,83.94800567626953
lerobot\tests\optim\test_optimizers.py,28.326745986938477,6.148976802825928,8.364591598510742,1.7417185306549072,6.102157115936279,configs,28.326745986938477
lerobot\scripts\ci\parse_eval_metrics.py,16.968931198120117,13.882536888122559,18.39098358154297,3.124619245529175,14.190428733825684,policies,18.39098358154297
lerobot\tests\robots\test_so100_follower.py,0.644943356513977,4.321570873260498,1.0,83.50996398925781,2.0329649448394775,robot_devices,83.50996398925781
lerobot\tests\rewards\test_sarm_processor.py,21.631319046020508,43.45982360839844,11.961348533630371,24.671987533569336,7.620697498321533,datasets,43.45982360839844
lerobot\tests\utils\test_replay_buffer.py,3.615431308746338,87.14288330078125,3.486652374267578,46.84482955932617,9.970202445983887,datasets,87.14288330078125
lerobot\tests\datasets\test_video_decoder_cache.py,5.231083869934082,81.92719268798828,1.5068771839141846,25.66115379333496,8.1593656539917,datasets,81.92719268798828
lerobot\src\lerobot\datasets\streaming_dataset.py,59.750282287597656,103.4780044555664,5.177938938140869,26.005592346191406,22.897327423095703,datasets,103.4780044555664
lerobot\examples\tutorial\rl\hilserl_example.py,28.792665481567383,41.56758499145508,20.067171096801758,102.98816680908203,15.477611541748047,robot_devices,102.98816680908203
lerobot\examples\tutorial\async-inf\policy_server.py,22.54656219482422,0.89847731590271,14.646200180053711,0.6519252061843872,4.437241554260254,configs,22.54656219482422
lerobot\examples\isaac_teleop_to_so101\isaac_teleop\__init__.py,0.20663094520568848,0.20663094520568848,1.0,53.35938262939453,0.539791464805603,robot_devices,53.35938262939453
lerobot\tests\jobs\test_hf.py,31.11846351623535,93.93712615966797,23.86899185180664,36.75273513793945,21.628585815429688,datasets,93.93712615966797
lerobot\tests\teleoperators\test_reachy2_teleoperator.py,17.096284866333008,3.4067413806915283,3.2548365592956543,73.61656188964844,5.409523963928223,robot_devices,73.61656188964844
lerobot\src\lerobot\configs\parser.py,84.13114166259766,16.721494674682617,8.712964057922363,13.039046287536621,22.88994789123535,configs,84.13114166259766
lerobot\tests\processor\test_pi0_processor.py,23.753028869628906,36.544803619384766,18.3596134185791,43.2412223815918,7.116271018981934,robot_devices,43.2412223815918
lerobot\examples\port_datasets\slurm_port_shards.py,10.656970977783203,97.37287139892578,4.138465404510498,3.0613391399383545,20.92717170715332,datasets,97.37287139892578
lerobot\examples\tutorial\diffusion\diffusion_training_example.py,11.954675674438477,39.778175354003906,22.15456771850586,94.16809844970703,14.939071655273438,robot_devices,94.16809844970703
lerobot\tests\policies\pi0_pi05\utils\torch_compile.py,15.606982231140137,3.832253932952881,74.22537231445312,16.295942306518555,14.056140899658203,policies,74.22537231445312
lerobot\tests\processor\test_device_processor.py,22.09317398071289,10.05259895324707,20.356714248657227,125.74317169189453,9.63856029510498,robot_devices,125.74317169189453
lerobot\tests\utils\test_visualization_utils.py,0.6827032566070557,5.221155166625977,5.006060600280762,0.0,1.7302078008651733,datasets,5.221155166625977
lerobot\tests\rl\test_data_mixer.py,1.8909834623336792,90.12748718261719,1.8918732404708862,34.721527099609375,7.664937973022461,datasets,90.12748718261719
lerobot\examples\tutorial\rl\reward_classifier_example.py,22.96478271484375,38.77922821044922,7.511322498321533,41.90797805786133,13.153945922851562,robot_devices,41.90797805786133
lerobot\tests\policies\groot\test_groot_n1_7_oss_parity.py,67.20397186279297,19.905643463134766,81.93667602539062,33.25001525878906,14.293915748596191,policies,81.93667602539062
lerobot\examples\training\train_with_streaming.py,11.85413646697998,34.3687629699707,18.188434600830078,40.884586334228516,13.04488754272461,robot_devices,40.884586334228516
lerobot\examples\dataset\slurm_compute_rabc.py,38.936405181884766,103.37250518798828,18.44740867614746,42.45941162109375,38.48173904418945,datasets,103.37250518798828
lerobot\src\lerobot\datasets\dataset_metadata.py,24.850299835205078,106.59549713134766,12.240850448608398,79.37808990478516,26.18739128112793,datasets,106.59549713134766
lerobot\tests\test_cli_peft.py,31.31985855102539,35.54643630981445,26.925928115844727,14.348033905029297,23.506027221679688,datasets,35.54643630981445
lerobot\tests\policies\smolvla\test_smolvla_rtc.py,26.940645217895508,33.73611068725586,85.34943389892578,33.24012756347656,10.533183097839355,policies,85.34943389892578
lerobot\tests\test_yaml_policy_path.py,30.910621643066406,36.056209564208984,21.60560417175293,13.340227127075195,10.7808198928833,datasets,36.056209564208984
lerobot\examples\isaac_teleop_to_so101\__init__.py,0.20893290638923645,0.20893290638923645,0.0,0.0,0.545805037021637,utilities,0.545805037021637
