file_path,cli,client,resources,server,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,21.84615707397461,15.861320495605469,41.00178527832031,58.63517761230469,15.645007133483887,88.90987396240234,utilities,88.90987396240234
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,58.55496597290039,68.44353485107422,62.54531478881836,54.90410614013672,27.232200622558594,18.009143829345703,client,68.44353485107422
fastmcp\tests\deprecated\test_elicitation.py,59.453338623046875,68.731689453125,9.25475788116455,4.079404354095459,27.0237979888916,8.4234037399292,client,68.731689453125
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,99.60982513427734,25.955005645751953,24.608043670654297,61.189022064208984,13.976438522338867,93.6921157836914,cli,99.60982513427734
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,56.615177154541016,68.41914367675781,50.77168655395508,62.38697052001953,3.9561688899993896,24.798866271972656,client,68.41914367675781
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,91.84477996826172,64.07520294189453,2.330933094024658,53.31412124633789,2.7521350383758545,13.810938835144043,cli,91.84477996826172
fastmcp\examples\testing_demo\server.py,7.060125350952148,20.002981185913086,42.20341873168945,54.036006927490234,25.081941604614258,9.091181755065918,server,54.036006927490234
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,51.80028533935547,12.890939712524414,128.26255798339844,55.79258728027344,98.32249450683594,29.352922439575195,resources,128.26255798339844
fastmcp\examples\desktop.py,4.157894611358643,8.388713836669922,41.15869140625,4.498457431793213,19.54037857055664,5.048407554626465,resources,41.15869140625
fastmcp\tests\cli\test_mcp_server_config_integration.py,96.17664337158203,71.04264831542969,60.01753234863281,58.393253326416016,25.315095901489258,25.10951042175293,cli,96.17664337158203
fastmcp\tests\server\middleware\test_rate_limiting.py,64.21028900146484,75.23091888427734,11.852449417114258,60.56401062011719,31.824058532714844,9.034575462341309,client,75.23091888427734
fastmcp\tests\tools\tool_transform\test_args.py,65.13736724853516,73.16976928710938,19.16885757446289,7.693415641784668,129.8006134033203,18.59710693359375,tools,129.8006134033203
fastmcp\tests\server\test_dependencies_advanced.py,66.01653289794922,74.2372055053711,61.4382438659668,55.57876205444336,102.6296157836914,17.028112411499023,tools,102.6296157836914
fastmcp\examples\diagnostics\client_with_tracing.py,57.2315673828125,70.83136749267578,139.40640258789062,59.72891616821289,94.04592895507812,13.854447364807129,resources,139.40640258789062
fastmcp\fastmcp_slim\fastmcp\server\providers\filesystem_discovery.py,24.749540328979492,11.916193008422852,67.8434066772461,51.416297912597656,43.153263092041016,30.375242233276367,resources,67.8434066772461
fastmcp\examples\atproto_mcp\demo.py,81.5937271118164,80.19219970703125,107.47998046875,54.747432708740234,84.3154067993164,21.26815414428711,resources,107.47998046875
fastmcp\fastmcp_slim\fastmcp\cli\cli.py,100.13870239257812,80.64167022705078,92.49365997314453,71.14973449707031,82.10039520263672,42.620216369628906,cli,100.13870239257812
fastmcp\tests\server\test_logging.py,17.977272033691406,9.779054641723633,7.7343621253967285,64.07049560546875,6.405322551727295,9.866446495056152,server,64.07049560546875
fastmcp\tests\client\client\test_mode_negotiation.py,54.79804611206055,80.31395721435547,12.344817161560059,56.509307861328125,28.66221046447754,13.600414276123047,client,80.31395721435547
fastmcp\fastmcp_slim\fastmcp\cli\install\claude_code.py,95.34138488769531,13.333307266235352,14.622861862182617,57.83822250366211,24.712963104248047,14.38170051574707,cli,95.34138488769531
fastmcp\tests\tools\tool\test_output_schema.py,11.125751495361328,23.0089111328125,19.010894775390625,5.267315864562988,80.23344421386719,19.052248001098633,tools,80.23344421386719
fastmcp\examples\skills\server.py,5.944935321807861,9.334269523620605,7.534259796142578,51.96841049194336,14.978568077087402,5.414912700653076,server,51.96841049194336
fastmcp\tests\server\test_context.py,66.54751586914062,123.2020263671875,29.869359970092773,57.75578308105469,34.222782135009766,13.191197395324707,client,123.2020263671875
fastmcp\tests\client\telemetry\__init__.py,36.37912368774414,55.402523040771484,0.5339988470077515,0.4389711022377014,0.4389711022377014,2.081785202026367,client,55.402523040771484
fastmcp\docs\apps\demos\hitchhikers.py,84.20979309082031,17.004165649414062,28.57807159423828,12.014041900634766,25.46698570251465,17.03118133544922,cli,84.20979309082031
fastmcp\fastmcp_slim\fastmcp\server\auth\handlers\authorize.py,52.5752067565918,92.19596862792969,19.84745979309082,61.283287048339844,25.30265998840332,19.569686889648438,client,92.19596862792969
fastmcp\tests\utilities\json_schema_type\test_real_world_schemas.py,34.82320022583008,4.738267421722412,28.462627410888672,1.6315627098083496,14.885597229003906,102.99193572998047,utilities,102.99193572998047
fastmcp\fastmcp_slim\fastmcp\client\__init__.py,51.26394271850586,59.87652587890625,1.4870004653930664,1.7286946773529053,0.512681245803833,11.217668533325195,client,59.87652587890625
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\huggingface.py,62.72861862182617,74.57453918457031,56.029747009277344,47.82406997680664,17.747804641723633,12.110003471374512,client,74.57453918457031
fastmcp\fastmcp_slim\fastmcp\client\transports\stdio.py,67.22823333740234,62.541378021240234,19.483760833740234,54.196067810058594,41.69561767578125,17.574005126953125,cli,67.22823333740234
fastmcp\examples\auth\propelauth_oauth\client.py,49.182098388671875,66.4836196899414,2.9764976501464844,52.98941421508789,91.22642517089844,5.392307758331299,tools,91.22642517089844
fastmcp\fastmcp_slim\fastmcp\utilities\versions.py,15.122431755065918,6.762495994567871,8.015426635742188,3.8369462490081787,15.656513214111328,90.18540954589844,utilities,90.18540954589844
fastmcp\fastmcp_slim\fastmcp\server\providers\openapi\__init__.py,13.025189399719238,6.783550262451172,2.647019624710083,49.339149475097656,2.2735447883605957,14.024242401123047,server,49.339149475097656
