Precision
Project,10,20,30,40,50,60,70,80,90
celery,0.2571,0.2821,0.2667,0.3137,0.3077,0.3385,0.2718,0.2868,0.2094
fastmcp,1.0000,1.0000,1.0000,0.5000,0.5000,0.2857,0.3636,0.3750,0.2222
lerobot,1.0000,1.0000,1.0000,0.8889,0.6667,0.5263,0.5185,0.4412,0.2323
qlib,0.0204,0.0845,0.0889,0.1048,0.1027,0.0812,0.0782,0.0757,0.0763

Recall
Project,10,20,30,40,50,60,70,80,90
celery,0.0947,0.1158,0.1263,0.1684,0.1684,0.2316,0.2947,0.3895,0.7053
fastmcp,0.0667,0.0667,0.0667,0.0667,0.0667,0.1333,0.2667,0.4000,0.6667
lerobot,0.0312,0.0938,0.1875,0.2500,0.2500,0.3125,0.4375,0.4688,0.7188
qlib,0.0147,0.0882,0.1176,0.1912,0.2206,0.2353,0.3382,0.4118,0.8676

F1
Project,10,20,30,40,50,60,70,80,90
celery,0.1385,0.1642,0.1714,0.2192,0.2177,0.2750,0.2828,0.3304,0.3229
fastmcp,0.1250,0.1250,0.1250,0.1176,0.1176,0.1818,0.3077,0.3871,0.3333
lerobot,0.0606,0.1714,0.3158,0.3902,0.3636,0.3922,0.4746,0.4545,0.3511
qlib,0.0171,0.0863,0.1013,0.1354,0.1402,0.1208,0.1271,0.1279,0.1403
