Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
celery,0.8750,0.0737,0.1359,0.7500,0.1579,0.2609,0.7500,0.1579,0.2609,0.7619,0.1684,0.2759,0.6538,0.1789,0.2810,0.6047,0.2737,0.3768,0.5616,0.4316,0.4881,0.4630,0.5263,0.4926,0.2500,0.6211,0.3565
fastmcp,0.0000,0.0000,0.0000,1.0000,0.2000,0.3333,1.0000,0.2667,0.4211,1.0000,0.2667,0.4211,1.0000,0.3333,0.5000,0.5000,0.5333,0.5161,0.3846,0.6667,0.4878,0.3333,0.6667,0.4444,0.2245,0.7333,0.3438
lerobot,0.1429,0.0312,0.0513,0.3500,0.2188,0.2692,0.4000,0.3750,0.3871,0.4324,0.5000,0.4638,0.4615,0.5625,0.5070,0.3519,0.5938,0.4419,0.3088,0.6562,0.4200,0.2655,0.9375,0.4138,0.2279,0.9688,0.3690
qlib,1.0000,0.1471,0.2564,1.0000,0.2353,0.3810,1.0000,0.3088,0.4719,1.0000,0.4118,0.5833,1.0000,0.4412,0.6122,0.7907,0.5000,0.6126,0.1631,0.5588,0.2525,0.1223,0.6618,0.2064,0.0950,0.7794,0.1693
