Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
celery,0.7374,0.7839,0.7599,0.7374,0.7839,0.7599,0.7374,0.7839,0.7599,0.7374,0.7839,0.7599,0.7383,0.7839,0.7604,0.7499,0.7824,0.7658,0.7747,0.7668,0.7707,0.7884,0.7512,0.7694,0.8701,0.5936,0.7058
fastmcp,0.6700,0.7690,0.7161,0.6700,0.7690,0.7161,0.6700,0.7690,0.7161,0.6700,0.7690,0.7161,0.6700,0.7690,0.7161,0.6835,0.7468,0.7137,0.7136,0.7468,0.7298,0.7408,0.7363,0.7385,0.7821,0.5175,0.6229
lerobot,0.6894,0.7954,0.7386,0.6894,0.7954,0.7386,0.6894,0.7954,0.7386,0.6894,0.7954,0.7386,0.6914,0.7901,0.7375,0.7028,0.7711,0.7354,0.7216,0.7485,0.7348,0.7286,0.7235,0.7260,0.6810,0.3946,0.4997
qlib,0.4825,0.4541,0.4679,0.4825,0.4541,0.4679,0.4825,0.4541,0.4679,0.4825,0.4541,0.4679,0.4844,0.4482,0.4656,0.4824,0.4229,0.4507,0.4929,0.3850,0.4323,0.5019,0.3547,0.4157,0.5947,0.1862,0.2836
