Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
celery,0.2571,0.0947,0.1385,0.2821,0.1158,0.1642,0.2667,0.1263,0.1714,0.3137,0.1684,0.2192,0.3077,0.1684,0.2177,0.3385,0.2316,0.2750,0.2718,0.2947,0.2828,0.2868,0.3895,0.3304,0.2094,0.7053,0.3229
fastmcp,1.0000,0.0667,0.1250,1.0000,0.0667,0.1250,1.0000,0.0667,0.1250,0.5000,0.0667,0.1176,0.5000,0.0667,0.1176,0.2857,0.1333,0.1818,0.3636,0.2667,0.3077,0.3750,0.4000,0.3871,0.2222,0.6667,0.3333
lerobot,1.0000,0.0312,0.0606,1.0000,0.0938,0.1714,1.0000,0.1875,0.3158,0.8889,0.2500,0.3902,0.6667,0.2500,0.3636,0.5263,0.3125,0.3922,0.5185,0.4375,0.4746,0.4412,0.4688,0.4545,0.2323,0.7188,0.3511
qlib,0.0204,0.0147,0.0171,0.0845,0.0882,0.0863,0.0889,0.1176,0.1013,0.1048,0.1912,0.1354,0.1027,0.2206,0.1402,0.0812,0.2353,0.1208,0.0782,0.3382,0.1271,0.0757,0.4118,0.1279,0.0763,0.8676,0.1403
