Project,TFIDF_Avg_Precision,TFIDF_Avg_Recall,TFIDF_F1,LLMProb_Avg_Precision,LLMProb_Avg_Recall,LLMProb_F1,LLMAssign_Avg_Precision,LLMAssign_Avg_Recall,LLMAssign_F1,LLMAssign-IPRAG_Avg_Precision,LLMAssign-IPRAG_Avg_Recall,LLMAssign-IPRAG_F1,SAMCodeTLR_Avg_Precision,SAMCodeTLR_Avg_Recall,SAMCodeTLR_F1
audioflux,0.772,0.4829,0.5941,0.5617,0.6157,0.5875,0.5722,0.7254,0.6398,0.6255,0.7923,0.6991,0.0,0.0,0.0
bgslibrary,0.558,0.426,0.4831,0.5185,0.4592,0.4871,0.5217,0.4981,0.5096,0.5725,0.5316,0.5513,0.0,0.0,0.0
distributed_camera,0.4545,0.0282,0.0531,0.6133,0.6495,0.6309,0.6255,0.712,0.666,0.7215,0.7447,0.7329,0.0,0.0,0.0
proxygen,0.8621,0.4585,0.5986,0.8419,0.7984,0.8196,0.8528,0.8725,0.8625,0.9424,0.9574,0.9498,0.0,0.0,0.0
