Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
audioflux,0.2436,0.1473,0.1836,0.2405,0.1473,0.1827,0.2375,0.1473,0.1818,0.2375,0.1473,0.1818,0.2375,0.1473,0.1818,0.2561,0.1628,0.1991,0.2558,0.1705,0.2047,0.2889,0.2016,0.2374,0.2903,0.2791,0.2846
bgslibrary,0.1111,0.0909,0.1000,0.1277,0.1091,0.1176,0.1228,0.1273,0.1250,0.1493,0.1818,0.1639,0.1549,0.2000,0.1746,0.1398,0.2364,0.1757,0.1214,0.3091,0.1744,0.1059,0.3273,0.1600,0.1058,0.7636,0.1858
distributed_camera,0.0278,0.0132,0.0179,0.0278,0.0132,0.0179,0.0278,0.0132,0.0179,0.0278,0.0132,0.0179,0.0278,0.0132,0.0179,0.0541,0.0263,0.0354,0.1250,0.0658,0.0862,0.2174,0.1316,0.1639,0.2344,0.3947,0.2941
proxygen,0.0405,0.0805,0.0538,0.0405,0.0805,0.0538,0.0460,0.0920,0.0613,0.0460,0.0920,0.0613,0.0460,0.0920,0.0613,0.0460,0.0920,0.0613,0.0919,0.1954,0.1250,0.0990,0.2184,0.1362,0.1467,0.5057,0.2274
