file_path,configs,datasets,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\src\lerobot\cameras\zmq\configuration_zmq.py,10.722246170043945,5.429389476776123,2.145582914352417,7.546173095703125,5.6518874168396,configs,10.722246170043945
lerobot\src\lerobot\cameras\opencv\__init__.py,0.11029258370399475,0.11029258370399475,0.0,5.045441627502441,0.11029258370399475,robot_devices,5.045441627502441
lerobot\src\lerobot\policies\molmoact2\molmoact2_hf_model\modeling_molmoact2.py,38.50484848022461,27.9327335357666,62.99786376953125,87.55906677246094,40.40428924560547,robot_devices,87.55906677246094
lerobot\examples\lekiwi\replay.py,22.27741813659668,41.9586296081543,1.573606014251709,45.04214096069336,5.797253131866455,robot_devices,45.04214096069336
lerobot\src\lerobot\envs\robomme.py,2.9357762336730957,43.603538513183594,4.14973783493042,2.350954055786133,7.6853346824646,datasets,43.603538513183594
lerobot\examples\so100_to_so100_EE\rollout.py,28.912532806396484,5.328221321105957,24.747217178344727,52.193511962890625,5.935283660888672,robot_devices,52.193511962890625
lerobot\src\lerobot\async_inference\robot_client.py,32.323299407958984,13.888426780700684,19.98084831237793,111.87003326416016,17.10817527770996,robot_devices,111.87003326416016
lerobot\src\lerobot\motors\dynamixel\__init__.py,0.09750586003065109,0.09750586003065109,0.0,5.318288803100586,0.09750586003065109,robot_devices,5.318288803100586
lerobot\src\lerobot\policies\rtc\debug_tracker.py,5.842720985412598,7.402534484863281,60.38003921508789,4.382396697998047,11.487638473510742,policies,60.38003921508789
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,29.15853500366211,44.88177490234375,80.69818878173828,14.271859169006348,14.867467880249023,policies,80.69818878173828
lerobot\src\lerobot\motors\robstride\robstride.py,8.310868263244629,18.513452529907227,9.893062591552734,31.912050247192383,19.017423629760742,robot_devices,31.912050247192383
lerobot\examples\omx\record_grab.py,16.66988754272461,59.947391510009766,5.4488725662231445,53.33635711669922,13.419059753417969,datasets,59.947391510009766
lerobot\src\lerobot\configs\policies.py,92.38780975341797,23.444217681884766,86.49104309082031,84.0726318359375,22.384536743164062,configs,92.38780975341797
lerobot\src\lerobot\async_inference\__init__.py,0.10986607521772385,0.10986607521772385,0.0,2.908912181854248,2.7118113040924072,robot_devices,2.908912181854248
lerobot\src\lerobot\envs\utils.py,17.128150939941406,15.765607833862305,79.92847442626953,49.24152374267578,28.88020896911621,policies,79.92847442626953
lerobot\src\lerobot\policies\tdmpc\__init__.py,0.6571784615516663,1.0987812280654907,65.66541290283203,2.9013257026672363,2.7248663902282715,policies,65.66541290283203
lerobot\examples\port_datasets\display_error_files.py,11.22170639038086,82.9980239868164,3.841623306274414,4.912468433380127,18.448650360107422,datasets,82.9980239868164
lerobot\src\lerobot\policies\pi0_fast\configuration_pi0_fast.py,30.45490264892578,12.054444313049316,80.11324310302734,28.79585838317871,6.311383247375488,policies,80.11324310302734
lerobot\src\lerobot\annotations\steerable_pipeline\config.py,21.073318481445312,15.031089782714844,8.695802688598633,13.375589370727539,10.586085319519043,configs,21.073318481445312
lerobot\src\lerobot\policies\diffusion\__init__.py,0.6571784615516663,1.0987812280654907,66.50151062011719,2.9013257026672363,2.7248663902282715,policies,66.50151062011719
lerobot\src\lerobot\policies\groot\utils.py,82.2886734008789,19.95459747314453,56.763301849365234,34.537010192871094,8.998866081237793,configs,82.2886734008789
lerobot\src\lerobot\policies\molmoact2\__init__.py,0.6571784615516663,1.0987812280654907,63.09339141845703,2.9013257026672363,2.7248663902282715,policies,63.09339141845703
lerobot\src\lerobot\annotations\steerable_pipeline\validator.py,6.665584564208984,49.08286666870117,5.377408981323242,8.437238693237305,12.693717002868652,datasets,49.08286666870117
lerobot\src\lerobot\cameras\zmq\camera_zmq.py,31.581905364990234,17.1263427734375,9.773250579833984,8.13062858581543,15.369158744812012,configs,31.581905364990234
lerobot\src\lerobot\motors\damiao\__init__.py,0.09767346829175949,0.09767346829175949,0.0,5.325711727142334,0.09767346829175949,robot_devices,5.325711727142334
lerobot\src\lerobot\policies\multi_task_dit\__init__.py,0.7659021019935608,1.9664433002471924,63.414554595947266,2.894714117050171,2.8311569690704346,policies,63.414554595947266
lerobot\examples\dataset\create_progress_videos.py,19.984600067138672,66.72223663330078,10.545515060424805,11.828283309936523,27.097814559936523,datasets,66.72223663330078
lerobot\src\lerobot\policies\evo1\evo1_model.py,25.90570640563965,10.91028118133545,67.57901000976562,35.49201583862305,13.164229393005371,policies,67.57901000976562
lerobot\src\lerobot\envs\vlabench.py,10.533720970153809,17.61016082763672,11.306212425231934,49.5468635559082,20.256444931030273,robot_devices,49.5468635559082
lerobot\examples\lekiwi\record.py,23.045433044433594,50.04025650024414,1.2990033626556396,50.20839309692383,11.466464042663574,robot_devices,50.20839309692383
lerobot\src\lerobot\annotations\steerable_pipeline\modules\general_vqa.py,29.240036010742188,44.38714599609375,6.78520393371582,11.340386390686035,22.812198638916016,datasets,44.38714599609375
lerobot\examples\lekiwi\evaluate.py,29.288856506347656,55.560489654541016,24.778810501098633,83.20232391357422,14.493249893188477,robot_devices,83.20232391357422
lerobot\examples\phone_to_so100\record.py,24.675254821777344,52.64413833618164,3.1931118965148926,60.33527374267578,13.98537540435791,robot_devices,60.33527374267578
lerobot\src\lerobot\annotations\steerable_pipeline\vlm_client.py,32.38127517700195,27.50727653503418,12.774574279785156,59.62107849121094,27.274593353271484,robot_devices,59.62107849121094
lerobot\examples\rtc\eval_dataset.py,47.96676254272461,58.67068862915039,35.166255950927734,35.27812576293945,24.02006721496582,datasets,58.67068862915039
lerobot\src\lerobot\motors\motors_bus.py,10.211148262023926,20.90457534790039,18.579622268676758,22.993886947631836,22.237361907958984,robot_devices,22.993886947631836
lerobot\src\lerobot\policies\act\processor_act.py,27.007951736450195,37.22327423095703,85.56918334960938,34.84869384765625,4.5497212409973145,policies,85.56918334960938
lerobot\src\lerobot\policies\groot\modeling_groot.py,40.4887580871582,30.113374710083008,93.08885955810547,43.95640563964844,33.77133560180664,policies,93.08885955810547
lerobot\src\lerobot\policies\factory.py,42.140098571777344,51.29130172729492,109.63660430908203,30.035152435302734,31.854869842529297,policies,109.63660430908203
lerobot\examples\isaac_teleop_to_so101\isaac_teleop\teleop_xr_controller.py,24.351585388183594,1.0463470220565796,1.2650165557861328,39.27461624145508,7.988406658172607,robot_devices,39.27461624145508
lerobot\src\lerobot\datasets\dataset_writer.py,13.096324920654297,120.2052001953125,10.368823051452637,12.958683013916016,19.930830001831055,datasets,120.2052001953125
lerobot\src\lerobot\policies\groot\__init__.py,0.6571784615516663,1.0987812280654907,63.09339141845703,5.823421478271484,2.7248663902282715,policies,63.09339141845703
lerobot\src\lerobot\common\wandb_utils.py,37.24720001220703,58.01342010498047,27.789230346679688,7.029171943664551,20.90563201904297,datasets,58.01342010498047
lerobot\examples\isaac_teleop_to_so101\isaac_teleop\xr_controller_processor.py,3.516458034515381,3.9270989894866943,8.0,46.56248092651367,2.503383159637451,robot_devices,46.56248092651367
lerobot\src\lerobot\datasets\dataset_reader.py,65.32969665527344,130.87155151367188,5.498768329620361,11.455815315246582,17.918676376342773,datasets,130.87155151367188
lerobot\src\lerobot\optim\optimizers.py,24.920024871826172,9.406268119812012,2.3892111778259277,3.6973979473114014,8.601405143737793,configs,24.920024871826172
lerobot\setup.py,0.689935564994812,4.9137163162231445,0.0,2.7816243171691895,0.670033872127533,datasets,4.9137163162231445
lerobot\src\lerobot\async_inference\policy_server.py,33.916717529296875,14.621084213256836,84.56517028808594,63.72383117675781,18.502351760864258,policies,84.56517028808594
lerobot\examples\lekiwi\teleoperate.py,23.640430450439453,6.586519718170166,1.8699315786361694,45.026126861572266,5.4077653884887695,robot_devices,45.026126861572266
lerobot\src\lerobot\model\__init__.py,0.09772945940494537,0.09772945940494537,4.462831497192383,39.58757400512695,0.09772945940494537,robot_devices,39.58757400512695
lerobot\src\lerobot\policies\groot\action_head\__init__.py,0.5844848155975342,1.314953327178955,64.30221557617188,5.650282859802246,2.816331386566162,policies,64.30221557617188
lerobot\src\lerobot\policies\molmoact2\modeling_molmoact2.py,45.79367446899414,45.7528190612793,72.54281616210938,45.70299530029297,45.96906280517578,policies,72.54281616210938
lerobot\src\lerobot\policies\pi05\__init__.py,0.6571784615516663,1.0987812280654907,64.86019134521484,2.9013257026672363,2.7248663902282715,policies,64.86019134521484
lerobot\examples\dataset\use_dataset_tools.py,4.20144510269165,115.15825653076172,5.393887042999268,6.684292316436768,7.639973163604736,datasets,115.15825653076172
lerobot\src\lerobot\configs\dataset.py,58.9208984375,44.38731002807617,1.2239277362823486,9.656124114990234,9.148506164550781,configs,58.9208984375
lerobot\src\lerobot\datasets\depth_utils.py,5.435538291931152,74.67787170410156,3.470538377761841,3.504801034927368,6.766290664672852,datasets,74.67787170410156
lerobot\examples\so100_to_so100_EE\teleoperate.py,23.640579223632812,9.93243408203125,2.695075273513794,49.86012649536133,6.046933174133301,robot_devices,49.86012649536133
lerobot\src\lerobot\policies\groot\action_head\cross_attention_dit.py,25.809978485107422,9.50838851928711,58.56922912597656,5.704436779022217,15.139091491699219,policies,58.56922912597656
lerobot\src\lerobot\policies\smolvla\processor_smolvla.py,28.057512283325195,37.47236251831055,88.64483642578125,33.226707458496094,4.9286274909973145,policies,88.64483642578125
lerobot\src\lerobot\policies\pi05\configuration_pi05.py,30.33827018737793,16.256877899169922,79.36454010009766,28.21260643005371,8.497036933898926,policies,79.36454010009766
