file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\IndependentMultimodal.cpp,92.56019592285156,11.31079387664795,10.727147102355957,6.519565582275391,7.1971611976623535,14.76085376739502,7.1971611976623535,4.115662574768066,5.302629470825195,3.108466625213623,7.1971611976623535,7.668667793273926,7.409862041473389,13.239564895629883,IMBS,92.56019592285156
bgslibrary\bgslibrary\algorithms\T2F\T2FMRF.cpp,10.572314262390137,15.551471710205078,51.799564361572266,6.699409008026123,9.785481452941895,28.200435638427734,6.737126350402832,228.0496368408203,5.150935649871826,13.918792724609375,6.737126350402832,7.316760063171387,72.09871673583984,13.890188217163086,T2F,228.0496368408203
bgslibrary\bgslibrary\algorithms\lb\BGModelSom.h,1.1390479803085327,7.022190570831299,28.56331443786621,2.2954769134521484,1.1390479803085327,7.570460319519043,1.1390479803085327,18.209075927734375,3.3389437198638916,1.1390479803085327,1.1390479803085327,3.5720248222351074,98.72450256347656,3.708660840988159,lb,98.72450256347656
bgslibrary\bgslibrary\algorithms\LBAdaptiveSOM.cpp,19.30026626586914,10.92972469329834,26.952526092529297,6.3660101890563965,7.028829574584961,13.439643859863281,7.028829574584961,4.005988121032715,5.228780269622803,15.677212715148926,7.028829574584961,7.514233112335205,86.90692901611328,14.89484977722168,lb,86.90692901611328
bgslibrary\bgslibrary\algorithms\LBP_MRF.h,18.67530632019043,0.3511074185371399,154.52349853515625,46.77309036254883,6.082672119140625,25.9190731048584,3.6121373176574707,26.09286880493164,3.3451716899871826,1.141602873802185,3.6121373176574707,3.6223208904266357,72.9316177368164,11.301511764526367,LBP_MRF,154.52349853515625
bgslibrary\bgslibrary\algorithms\TwoPoints.cpp,18.95162010192871,8.734359741210938,12.12267780303955,6.671736240386963,5.506137371063232,18.51173973083496,2.4407193660736084,3.243079900741577,149.47723388671875,2.4407193660736084,2.4407193660736084,5.006581783294678,5.877331733703613,14.787420272827148,TwoPoints,149.47723388671875
bgslibrary\gui\mfc\src\targetver.h,0.0,0.0,10.867718696594238,0.0,0.0,0.0,0.0,0.3018810749053955,0.0,0.0,0.0,0.0,1.1141974925994873,0.0,LBP_MRF,10.867718696594238
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,1.129473090171814,0.0,0.0,2.275130271911621,102.08457946777344,0.0,1.129473090171814,0.0,3.3156039714813232,1.129473090171814,1.129473090171814,3.4046034812927246,1.1456571817398071,3.4046034812927246,MultiLayer,102.08457946777344
bgslibrary\bgslibrary\algorithms\LBSP\LBSP_.cpp,6.994213104248047,14.409027099609375,50.36412811279297,105.18700408935547,1.0690513849258423,1.626373529434204,1.4168578386306763,24.059120178222656,3.5161261558532715,17.990829467773438,1.4168578386306763,3.4960861206054688,40.69761276245117,12.977459907531738,LBSP,105.18700408935547
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.h,2.4554879665374756,4.0,40.61843490600586,108.59319305419922,3.130889415740967,4.182950496673584,5.40924072265625,2.1721386909484863,4.643655300140381,18.456668853759766,3.4554879665374756,5.581168174743652,76.03905487060547,11.888776779174805,LBSP,108.59319305419922
bgslibrary\bgslibrary\tools\PerformanceUtils.h,0.34370315074920654,0.0,0.0,1.0,0.0,1.3437031507492065,0.34370315074920654,0.0,1.404352068901062,1.3437031507492065,1.3437031507492065,1.0,1.0311094522476196,0.0,TwoPoints,1.404352068901062
bgslibrary\bgslibrary\algorithms\MultiLayer\OpenCvDataConversion.h,9.784303665161133,12.610536575317383,13.427703857421875,2.7070391178131104,91.49664306640625,0.0,1.1087291240692139,0.37299177050590515,5.997196197509766,1.1087291240692139,1.1087291240692139,3.692366361618042,4.984830379486084,10.506352424621582,MultiLayer,91.49664306640625
bgslibrary\bgslibrary\algorithms\DPPratiMediod.h,18.29794692993164,0.3471217751502991,6.60389518737793,2.6049323081970215,1.1406630277633667,22.264450073242188,1.1406630277633667,0.17379926145076752,3.3428807258605957,1.1406630277633667,1.1406630277633667,3.6133711338043213,1.5058443546295166,12.91780948638916,PBAS,22.264450073242188
bgslibrary\bgslibrary\algorithms\dp\BgsParams.h,1.1426753997802734,0.0,0.0,2.303184986114502,1.1426753997802734,0.0,1.1426753997802734,0.0,3.3477859497070312,16.731460571289062,1.1426753997802734,3.4458603858947754,1.160509705543518,3.4458603858947754,ViBe,16.731460571289062
bgslibrary\bgslibrary\algorithms\PAWCS.h,19.51709747314453,4.353134632110596,33.963104248046875,97.35334014892578,3.1420774459838867,21.636489868164062,3.1420774459838867,2.175030469894409,4.3463287353515625,2.1420774459838867,3.1420774459838867,5.619022846221924,41.5098991394043,12.138910293579102,LBSP,97.35334014892578
bgslibrary\bgslibrary\algorithms\dp\AdaptiveMedianBGS.h,2.917351245880127,7.118634223937988,16.948165893554688,5.851914405822754,4.697010040283203,14.876781463623047,4.697010040283203,3.559317111968994,5.115299224853516,2.917351245880127,4.697010040283203,7.166680335998535,10.166154861450195,16.92017936706543,LBP_MRF,16.948165893554688
bgslibrary\bgslibrary\algorithms\dp\PratiMediodBGS.h,3.4214653968811035,7.841123104095459,17.00632095336914,6.2021803855896,5.053088188171387,20.085128784179688,5.381746292114258,3.9205615520477295,5.61198616027832,16.76102066040039,5.381746292114258,7.512388229370117,11.128573417663574,17.430856704711914,PBAS,20.085128784179688
