file_path,app,bin,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
celery\celery\backends\gcs.py,74.8458251953125,62.95378875732422,14.250216484069824,16.005687713623047,14.866890907287598,13.678525924682617,15.227190971374512,15.752667427062988,17.843564987182617,18.78005599975586,app,74.8458251953125
celery\celery\worker\pidbox.py,61.41318130493164,28.51831817626953,10.706457138061523,49.87614059448242,124.00270080566406,0.5757330060005188,8.430941581726074,5.340937614440918,12.341114044189453,70.27713775634766,events,124.00270080566406
celery\celery\app\defaults.py,91.07740020751953,78.12019348144531,85.87367248535156,56.23799514770508,134.7264404296875,10.31226634979248,22.5522403717041,141.28012084960938,28.585350036621094,104.56380462646484,security,141.28012084960938
celery\celery\security\key.py,7.4613752365112305,11.05789566040039,4.235927104949951,7.243519306182861,1.8524948358535767,1.8524948358535767,2.0716092586517334,139.20550537109375,8.7482328414917,2.0673248767852783,security,139.20550537109375
celery\celery\utils\debug.py,50.83518981933594,32.79227066040039,4.3157734870910645,3.9390363693237305,10.748079299926758,4.2375407218933105,5.189332008361816,2.103795051574707,108.5245132446289,4.468890190124512,utils,108.5245132446289
celery\celery\worker\heartbeat.py,9.58238410949707,19.347707748413086,4.33112096786499,2.2998156547546387,87.4949951171875,1.5245157480239868,7.3738508224487305,0.9516048431396484,8.959141731262207,79.74874114990234,events,87.4949951171875
celery\celery\concurrency\base.py,84.00125885009766,39.7203483581543,124.16936492919922,9.473727226257324,50.550682067871094,6.634111404418945,18.036540985107422,7.608176231384277,22.251129150390625,62.03814697265625,concurrency,124.16936492919922
celery\celery\app\control.py,86.46993255615234,72.4280776977539,21.922321319580078,65.12958526611328,94.41867065429688,4.190386772155762,61.954200744628906,8.863611221313477,21.744680404663086,26.08321762084961,events,94.41867065429688
celery\celery\utils\term.py,24.523012161254883,25.578413009643555,11.425056457519531,12.858567237854004,3.582091808319092,5.772658348083496,2.8287353515625,5.5400166511535645,80.42274475097656,5.243664741516113,utils,80.42274475097656
celery\celery\events\event.py,9.577638626098633,9.221184730529785,2.842222213745117,3.5318455696105957,131.5411834716797,3.033780574798584,3.290433645248413,5.1203694343566895,8.907747268676758,3.5318455696105957,events,131.5411834716797
celery\celery\concurrency\eventlet.py,76.13042449951172,48.58423614501953,122.78929138183594,9.370321273803711,12.024662017822266,6.622583389282227,15.70417308807373,8.594218254089355,20.748239517211914,14.504318237304688,concurrency,122.78929138183594
celery\celery\backends\cosmosdbsql.py,52.13993835449219,24.756725311279297,2.590423583984375,3.7236273288726807,3.1214711666107178,1.254307746887207,5.145586013793945,2.7686922550201416,8.054672241210938,3.1969492435455322,app,52.13993835449219
celery\celery\backends\base.py,100.8864974975586,79.01836395263672,26.10927963256836,29.05595588684082,29.826217651367188,15.727377891540527,55.12685012817383,65.2969741821289,35.15559005737305,87.94627380371094,app,100.8864974975586
celery\celery\apps\multi.py,86.37098693847656,100.63278198242188,5.2925519943237305,10.97779369354248,13.484606742858887,5.095740795135498,35.50404357910156,4.377569198608398,44.98946762084961,91.3543472290039,bin,100.63278198242188
celery\celery\bin\multi.py,34.113365173339844,155.04176330566406,9.226237297058105,12.242697715759277,18.209739685058594,11.157377243041992,12.264179229736328,5.664420127868652,52.56005859375,11.498886108398438,bin,155.04176330566406
celery\celery\_state.py,92.987548828125,30.69940185546875,8.730587005615234,6.468366622924805,11.7387113571167,120.84587860107422,63.362701416015625,5.828229904174805,31.579824447631836,82.2929458618164,fixups,120.84587860107422
celery\celery\worker\autoscale.py,9.844305992126465,40.673038482666016,127.16900634765625,2.9270877838134766,40.009098052978516,0.0,10.611417770385742,6.318273544311523,5.078501224517822,84.69627380371094,concurrency,127.16900634765625
celery\celery\worker\consumer\tasks.py,69.54674530029297,30.999296188354492,97.86359405517578,11.108642578125,9.474047660827637,2.4137165546417236,11.590165138244629,9.083126068115234,7.079843997955322,111.55284118652344,worker,111.55284118652344
celery\celery\bin\migrate.py,14.68901252746582,107.1436996459961,6.725038528442383,19.23534393310547,10.108386993408203,3.245911121368408,12.003164291381836,12.101018905639648,35.00909423828125,31.540985107421875,bin,107.1436996459961
celery\celery\concurrency\solo.py,44.77933120727539,10.764626502990723,115.6772689819336,2.8868889808654785,2.4689459800720215,0.6344031691551208,7.10153341293335,2.0871379375457764,5.636750221252441,74.9486312866211,concurrency,115.6772689819336
celery\celery\bin\base.py,86.00106811523438,114.16099548339844,9.385586738586426,15.753663063049316,13.055161476135254,9.867659568786621,43.214420318603516,15.562653541564941,23.5285701751709,50.31021499633789,bin,114.16099548339844
