file_path,backtest,contrib,data,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\meta\data_selection\net.py,4.147158145904541,67.01602935791016,82.61209869384766,4.8871893882751465,8.939726829528809,8.583148956298828,44.2718391418457,18.54166603088379,24.08580207824707,data,82.61209869384766
qlib\qlib\contrib\model\double_ensemble.py,11.559958457946777,70.55758666992188,81.93621063232422,25.350339889526367,32.66539764404297,23.28150749206543,65.9756851196289,20.121034622192383,65.63800048828125,data,81.93621063232422
qlib\tests\data_mid_layer_tests\test_dataset.py,4.111098289489746,62.939781188964844,90.59691619873047,8.879783630371094,19.471662521362305,13.520073890686035,135.8646697998047,20.99395751953125,27.99705696105957,tests,135.8646697998047
qlib\qlib\contrib\strategy\__init__.py,3.6034891605377197,63.919918060302734,0.0,1.0012894868850708,0.0,97.28267669677734,1.0012894868850708,5.388445854187012,7.270421028137207,strategy,97.28267669677734
qlib\qlib\contrib\meta\data_selection\__init__.py,1.0012969970703125,64.57022857666016,71.7915267944336,1.0012969970703125,4.4869704246521,1.0012969970703125,5.488267421722412,7.281322956085205,9.544976234436035,data,71.7915267944336
qlib\scripts\data_collector\cn_index\collector.py,8.531723022460938,18.098054885864258,100.92120361328125,80.83312225341797,40.908531188964844,13.085487365722656,34.3170280456543,25.548320770263672,31.706037521362305,data,100.92120361328125
qlib\qlib\model\meta\task.py,1.9948885440826416,8.902900695800781,62.82170486450195,1.859043002128601,4.923895835876465,5.929237365722656,40.48544692993164,11.824917793273926,41.77604675292969,data,62.82170486450195
qlib\qlib\backtest\high_performance_ds.py,74.19054412841797,18.078432083129883,77.93268585205078,12.353482246398926,39.210811614990234,16.18067741394043,30.673412322998047,27.510272979736328,64.65082550048828,data,77.93268585205078
qlib\qlib\contrib\__init__.py,1.0013028383255005,61.778385162353516,0.0,1.0013028383255005,0.0,1.0013028383255005,1.0013028383255005,2.8005428314208984,2.0672030448913574,contrib,61.778385162353516
qlib\qlib\workflow\record_temp.py,133.6361083984375,77.23970794677734,115.34974670410156,23.597938537597656,85.7678451538086,146.15185546875,28.9341983795166,37.02416229248047,192.4731903076172,workflow,192.4731903076172
qlib\tests\misc\test_get_multi_proc.py,2.583622932434082,8.591025352478027,57.966941833496094,5.748479843139648,7.315475940704346,6.552233695983887,111.01472473144531,12.555391311645508,13.496248245239258,tests,111.01472473144531
qlib\tests\test_register_ops.py,6.901155471801758,5.760340213775635,7.890654563903809,3.663661479949951,3.3219900131225586,4.049088954925537,105.35594177246094,10.153722763061523,9.258256912231445,tests,105.35594177246094
qlib\examples\benchmarks\TRA\example.py,6.981597423553467,23.76816749572754,57.9323616027832,8.422428131103516,10.307770729064941,11.043511390686035,17.929391860961914,21.96839714050293,35.92485427856445,data,57.9323616027832
qlib\qlib\model\meta\__init__.py,1.5819669961929321,4.139369010925293,7.961311340332031,1.436800241470337,0.9330823421478271,4.033634662628174,1.9343822002410889,3.724562644958496,10.106086730957031,workflow,10.106086730957031
qlib\examples\rl_order_execution\scripts\merge_orders.py,6.48761510848999,15.416464805603027,82.47915649414062,115.26278686523438,14.430794715881348,4.907576084136963,44.59446334838867,16.74800682067871,21.99631690979004,rl,115.26278686523438
qlib\examples\benchmarks\TFT\expt_settings\__init__.py,1.001145362854004,6.1684699058532715,0.0,1.001145362854004,0.0,1.001145362854004,5.66084098815918,1.065492033958435,2.0666372776031494,contrib,6.1684699058532715
qlib\qlib\data\storage\storage.py,3.5463173389434814,9.720118522644043,72.63795471191406,21.653656005859375,22.040485382080078,9.144780158996582,32.55714797973633,12.93832015991211,24.56015968322754,data,72.63795471191406
qlib\qlib\workflow\task\utils.py,8.242483139038086,20.84272575378418,76.6916275024414,23.493234634399414,40.5286750793457,17.35922622680664,50.872737884521484,88.92919158935547,143.6275634765625,workflow,143.6275634765625
qlib\qlib\model\trainer.py,8.455927848815918,28.520185470581055,54.72428512573242,19.72184181213379,88.12759399414062,23.474287033081055,37.5236930847168,21.590133666992188,169.41522216796875,workflow,169.41522216796875
qlib\qlib\contrib\report\analysis_position\report.py,8.919026374816895,69.266357421875,82.90569305419922,3.4776527881622314,18.125503540039062,4.746693134307861,14.001545906066895,18.734153747558594,37.37433624267578,data,82.90569305419922
qlib\qlib\contrib\report\data\base.py,1.3985188007354736,66.80126190185547,66.8036117553711,3.29580020904541,12.967316627502441,6.5810723304748535,9.436859130859375,9.482669830322266,16.328489303588867,data,66.8036117553711
qlib\qlib\rl\data\native.py,111.96804809570312,12.261953353881836,102.0067138671875,85.98994445800781,14.673460006713867,4.483080863952637,10.845512390136719,19.50881576538086,32.179439544677734,backtest,111.96804809570312
qlib\qlib\utils\pickle_utils.py,3.9183177947998047,17.841005325317383,94.85079956054688,12.509520530700684,10.601104736328125,13.87851619720459,10.881108283996582,101.6817855834961,41.430274963378906,utils,101.6817855834961
qlib\qlib\contrib\strategy\order_generator.py,3.5592174530029297,56.89014434814453,1.165587067604065,4.0627827644348145,0.49334967136383057,85.26177215576172,3.1858487129211426,10.397761344909668,17.463260650634766,strategy,85.26177215576172
qlib\qlib\contrib\model\pytorch_lstm_ts.py,6.732282638549805,73.67436981201172,97.13361358642578,93.45551300048828,42.662662506103516,24.4149112701416,71.05287170410156,79.09379577636719,60.201416015625,data,97.13361358642578
qlib\qlib\contrib\eva\__init__.py,1.001301884651184,61.74492263793945,0.0,1.001301884651184,0.0,1.001301884651184,1.001301884651184,2.799504280090332,2.067117214202881,contrib,61.74492263793945
qlib\tests\conftest.py,7.360832691192627,8.63834285736084,12.804947853088379,92.98726654052734,5.900070667266846,4.943994998931885,82.71686553955078,14.918756484985352,10.738940238952637,rl,92.98726654052734
qlib\examples\online_srv\rolling_online_management.py,23.80786895751953,37.17296600341797,77.13201904296875,39.05107879638672,72.2225112915039,128.9469451904297,46.190216064453125,21.18785285949707,149.66514587402344,workflow,149.66514587402344
qlib\examples\run_all_model.py,26.68093490600586,39.59040832519531,90.20542907714844,40.81681442260742,104.92865753173828,28.849079132080078,32.517974853515625,39.547035217285156,176.5238037109375,workflow,176.5238037109375
qlib\qlib\rl\utils\finite_env.py,5.713296413421631,14.251178741455078,7.474669933319092,67.87940216064453,58.68547439575195,9.841510772705078,10.32101058959961,67.22843170166016,22.919700622558594,rl,67.87940216064453
