file_path,backtest,contrib,data,model,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\data\inst_processor.py,1.0012829303741455,9.076266288757324,64.61054992675781,1.6635552644729614,3.972501039505005,2.436936616897583,6.617804050445557,5.279489517211914,14.195796012878418,data,64.61054992675781
qlib\scripts\data_collector\br_index\collector.py,8.886131286621094,11.124557495117188,90.37100982666016,7.61340856552124,37.31306838989258,15.040496826171875,17.452360153198242,21.70398712158203,19.729459762573242,data,90.37100982666016
qlib\tests\data_mid_layer_tests\test_dataloader.py,4.947038173675537,71.11829376220703,92.47205352783203,6.984116077423096,9.757144927978516,5.861770153045654,116.65502166748047,19.412647247314453,20.009565353393555,tests,116.65502166748047
qlib\qlib\contrib\model\pytorch_tcn.py,5.470241069793701,71.95150756835938,89.12879180908203,101.66261291503906,26.015783309936523,24.412338256835938,79.53128814697266,76.64148712158203,53.10674285888672,model,101.66261291503906
qlib\qlib\contrib\ops\__init__.py,1.001301884651184,61.74492263793945,0.9128875732421875,1.001301884651184,0.0,1.001301884651184,1.001301884651184,2.799504280090332,2.067117214202881,contrib,61.74492263793945
qlib\tests\dependency_tests\test_mlflow.py,1.4503004550933838,6.7798357009887695,10.125375747680664,1.737564206123352,3.1330790519714355,5.163796424865723,109.54417419433594,7.1881842613220215,16.054786682128906,tests,109.54417419433594
qlib\qlib\log.py,3.4330101013183594,11.618814468383789,10.106225967407227,28.466894149780273,6.010408878326416,13.1049165725708,20.12704849243164,10.194499969482422,27.873842239379883,model,28.466894149780273
qlib\qlib\model\meta\dataset.py,1.5446332693099976,8.37826919555664,59.16222381591797,66.75052642822266,3.873168468475342,5.2313079833984375,50.176795959472656,8.931228637695312,29.852815628051758,model,66.75052642822266
qlib\qlib\workflow\online\__init__.py,3.630537271499634,8.329565048217773,0.0,1.001301884651184,0.0,5.056118488311768,2.0013017654418945,3.6950509548187256,140.1717529296875,workflow,140.1717529296875
qlib\qlib\rl\utils\__init__.py,1.0012904405593872,7.547052383422852,48.0,1.0012904405593872,3.0,1.0012904405593872,4.001290321350098,87.1666030883789,7.066104888916016,utils,87.1666030883789
qlib\qlib\typehint.py,4.412555694580078,3.9829061031341553,8.923892974853516,19.12830924987793,2.267946243286133,6.911731243133545,3.2692301273345947,6.230775356292725,10.04675006866455,model,19.12830924987793
qlib\qlib\contrib\rolling\__main__.py,3.6846096515655518,76.92097473144531,1.880398154258728,22.441438674926758,4.184049129486084,10.52519416809082,4.920745849609375,9.88764762878418,9.63631820678711,contrib,76.92097473144531
qlib\qlib\workflow\online\strategy.py,10.001737594604492,34.48194885253906,62.66918182373047,115.30915069580078,40.02467346191406,116.58445739746094,77.22364044189453,25.829439163208008,231.97975158691406,workflow,231.97975158691406
qlib\tests\storage_tests\test_storage.py,4.5857319831848145,11.094040870666504,90.085205078125,6.007436752319336,20.73110580444336,5.820777416229248,117.44126892089844,20.46478843688965,24.84296417236328,tests,117.44126892089844
qlib\qlib\rl\interpreter.py,5.432502746582031,6.1810078620910645,0.44338876008987427,1.9268702268600464,8.97075366973877,6.1190996170043945,5.161195755004883,6.473864555358887,9.838656425476074,workflow,9.838656425476074
qlib\tests\ops\test_elem_operator.py,6.82191276550293,9.704777717590332,76.71867370605469,6.380977630615234,23.17591094970703,6.568039894104004,118.9158935546875,15.6649169921875,27.17246437072754,tests,118.9158935546875
qlib\qlib\backtest\executor.py,67.24201202392578,26.922500610351562,81.43692779541016,21.921947479248047,17.555328369140625,134.94837951660156,18.64990234375,31.25229835510254,51.681724548339844,strategy,134.94837951660156
qlib\qlib\rl\strategy\single_order.py,4.941009998321533,10.66062068939209,0.0,18.175559997558594,0.4258020222187042,100.552001953125,2.2262165546417236,16.85391616821289,11.451064109802246,strategy,100.552001953125
qlib\qlib\contrib\data\highfreq_processor.py,1.8752784729003906,58.87059020996094,81.79685974121094,6.477232933044434,11.685799598693848,3.1270289421081543,10.046733856201172,13.57493782043457,16.781145095825195,data,81.79685974121094
qlib\qlib\rl\order_execution\policy.py,7.036191940307617,14.227289199829102,24.051435470581055,94.03173065185547,64.31131744384766,15.948840141296387,9.648447036743164,17.4914608001709,38.252464294433594,model,94.03173065185547
qlib\qlib\contrib\report\analysis_position\parse_position.py,6.049978256225586,64.34759521484375,96.32954406738281,18.02816390991211,34.407230377197266,11.015107154846191,10.329719543457031,14.261795997619629,40.59174728393555,data,96.32954406738281
qlib\qlib\data\dataset\loader.py,6.827716827392578,17.074655532836914,94.97699737548828,18.94112205505371,19.530427932739258,13.986747741699219,20.49567222595215,20.462604522705078,35.61963653564453,data,94.97699737548828
qlib\scripts\data_collector\utils.py,10.364359855651855,23.354812622070312,128.48028564453125,40.613712310791016,78.42679595947266,26.253862380981445,20.300737380981445,72.23638916015625,55.67911148071289,data,128.48028564453125
qlib\qlib\contrib\strategy\optimizer\__init__.py,3.6221179962158203,64.23277282714844,0.0,2.001297950744629,0.0,99.97164154052734,1.001297950744629,5.416197776794434,7.308416366577148,strategy,99.97164154052734
qlib\qlib\strategy\base.py,9.433279991149902,14.869967460632324,67.5339126586914,7.412442207336426,10.804588317871094,153.1235809326172,8.749937057495117,17.269229888916016,31.52379608154297,strategy,153.1235809326172
qlib\tests\misc\test_index_data.py,1.69438636302948,7.664652347564697,66.09759521484375,2.7433934211730957,11.513679504394531,5.554717540740967,99.30740356445312,11.576557159423828,15.625630378723145,tests,99.30740356445312
qlib\qlib\data\base.py,1.881064534187317,14.032252311706543,75.07072448730469,21.586156845092773,25.639734268188477,20.022336959838867,12.377813339233398,13.582633018493652,28.76274299621582,data,75.07072448730469
qlib\qlib\contrib\data\data.py,3.6367111206054688,62.68107986450195,66.71963500976562,2.0888864994049072,9.557090759277344,1.7984936237335205,8.693952560424805,12.946683883666992,9.615729331970215,data,66.71963500976562
qlib\qlib\strategy\__init__.py,3.632655620574951,3.6972532272338867,0.0,1.0013028383255005,0.0,98.36136627197266,1.0013028383255005,3.6972532272338867,7.329908847808838,strategy,98.36136627197266
qlib\qlib\backtest\__init__.py,107.64521789550781,20.336252212524414,76.34529113769531,32.34243392944336,26.713796615600586,125.85565185546875,13.419309616088867,24.945327758789062,38.55651092529297,strategy,125.85565185546875
