file_path,cli,client,prompts,resources,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,28.65663719177246,20.088428497314453,14.730762481689453,49.231082916259766,19.375577926635742,95.88763427734375,utilities,95.88763427734375
fastmcp\tests\deprecated\test_elicitation.py,64.24113464355469,68.74324798583984,5.416514873504639,10.936923027038574,33.63097381591797,12.426053047180176,client,68.74324798583984
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,69.19544982910156,68.46411895751953,10.031075477600098,64.63099670410156,35.23933410644531,28.50666046142578,cli,69.19544982910156
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,109.91702270507812,33.489173889160156,11.878522872924805,31.912443161010742,18.141624450683594,105.38603973388672,cli,109.91702270507812
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,65.65774536132812,69.12644958496094,5.076280117034912,51.827369689941406,8.209755897521973,37.28466033935547,client,69.12644958496094
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,97.03755950927734,66.11244201660156,0.6707122325897217,2.3320722579956055,2.7529520988464355,22.665346145629883,cli,97.03755950927734
fastmcp\examples\testing_demo\server.py,14.797409057617188,20.013010025024414,60.53500747680664,42.23112869262695,31.56620979309082,15.40933609008789,prompts,60.53500747680664
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,65.63684844970703,13.712656021118164,153.8968505859375,129.89620971679688,110.43937683105469,43.467769622802734,prompts,153.8968505859375
fastmcp\examples\desktop.py,9.152012825012207,9.514267921447754,4.68316125869751,42.64531707763672,26.774324417114258,8.436918258666992,resources,42.64531707763672
fastmcp\tests\cli\test_mcp_server_config_integration.py,114.08312225341797,73.75100708007812,9.088153839111328,64.8363265991211,31.987789154052734,34.3417854309082,cli,114.08312225341797
fastmcp\tests\server\middleware\test_rate_limiting.py,76.55169677734375,76.8177719116211,5.406073570251465,13.023189544677734,41.73664855957031,15.801395416259766,client,76.8177719116211
fastmcp\tests\tools\tool_transform\test_args.py,74.50192260742188,75.75802612304688,15.43837833404541,23.511173248291016,144.73023986816406,30.86024284362793,tools,144.73023986816406
fastmcp\tests\server\test_dependencies_advanced.py,77.41114044189453,74.74696350097656,60.130088806152344,62.85523223876953,111.4604263305664,28.409709930419922,tools,111.4604263305664
fastmcp\examples\diagnostics\client_with_tracing.py,71.84733581542969,70.86683654785156,148.54629516601562,139.51368713378906,107.20992279052734,30.601266860961914,prompts,148.54629516601562
fastmcp\fastmcp_slim\fastmcp\server\providers\filesystem_discovery.py,40.730064392089844,17.21782875061035,66.0259017944336,76.43539428710938,58.51897430419922,44.123291015625,resources,76.43539428710938
fastmcp\examples\atproto_mcp\demo.py,99.91255950927734,86.28741455078125,18.952974319458008,112.31292724609375,99.50589752197266,39.36557388305664,resources,112.31292724609375
fastmcp\fastmcp_slim\fastmcp\cli\cli.py,130.40533447265625,91.1236801147461,89.34137725830078,102.34490203857422,99.47088623046875,64.3661117553711,cli,130.40533447265625
fastmcp\tests\server\test_logging.py,21.094066619873047,10.546873092651367,7.63515567779541,9.174449920654297,7.3771491050720215,14.26021671295166,cli,21.094066619873047
fastmcp\tests\client\client\test_mode_negotiation.py,62.2405891418457,85.66680908203125,8.192258834838867,15.2697172164917,37.45702362060547,22.105134963989258,client,85.66680908203125
fastmcp\fastmcp_slim\fastmcp\cli\install\claude_code.py,114.7859878540039,18.972505569458008,11.604326248168945,21.88469696044922,32.94534683227539,24.3857364654541,cli,114.7859878540039
fastmcp\tests\tools\tool\test_output_schema.py,17.9935302734375,27.28496742248535,12.619933128356934,25.011625289916992,92.81736755371094,25.89059829711914,tools,92.81736755371094
fastmcp\examples\skills\server.py,8.272783279418945,10.351115226745605,5.897732257843018,8.771973609924316,18.33599281311035,10.099788665771484,tools,18.33599281311035
fastmcp\tests\server\test_context.py,75.4160385131836,127.0683364868164,10.147836685180664,34.33155059814453,42.59646987915039,25.657655715942383,client,127.0683364868164
fastmcp\tests\client\telemetry\__init__.py,39.169654846191406,55.403804779052734,0.4390001893043518,0.5340341925621033,0.4390001893043518,4.872365951538086,client,55.403804779052734
fastmcp\docs\apps\demos\hitchhikers.py,94.56369018554688,22.75543212890625,10.295778274536133,35.104854583740234,43.56707763671875,27.18377113342285,cli,94.56369018554688
fastmcp\fastmcp_slim\fastmcp\server\auth\handlers\authorize.py,62.280216217041016,94.04458618164062,11.401082992553711,23.183908462524414,37.197330474853516,29.576982498168945,client,94.04458618164062
fastmcp\tests\utilities\json_schema_type\test_real_world_schemas.py,43.99858093261719,14.56629753112793,17.151187896728516,38.00339126586914,23.250978469848633,114.6441650390625,utilities,114.6441650390625
fastmcp\fastmcp_slim\fastmcp\client\__init__.py,54.404541015625,59.88185119628906,0.5128002166748047,1.1664700508117676,0.5128002166748047,17.434131622314453,client,59.88185119628906
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\huggingface.py,71.2587890625,76.4554214477539,4.294352054595947,59.36624526977539,20.788068771362305,22.299312591552734,client,76.4554214477539
fastmcp\fastmcp_slim\fastmcp\client\transports\stdio.py,84.62818145751953,64.70819854736328,8.24241828918457,21.08648109436035,51.700538635253906,25.246780395507812,cli,84.62818145751953
fastmcp\examples\auth\propelauth_oauth\client.py,57.277164459228516,67.25824737548828,6.061601638793945,3.7459630966186523,103.19091796875,12.558921813964844,tools,103.19091796875
fastmcp\fastmcp_slim\fastmcp\utilities\versions.py,17.494964599609375,6.476287841796875,3.3272111415863037,9.436225891113281,19.419639587402344,92.55298614501953,utilities,92.55298614501953
fastmcp\fastmcp_slim\fastmcp\server\providers\openapi\__init__.py,14.82824993133545,6.784152984619141,1.0,2.6476070880889893,2.2736423015594482,17.69564437866211,utilities,17.69564437866211
fastmcp\fastmcp_slim\fastmcp\cli\install\stdio.py,93.78260040283203,15.07580280303955,11.936718940734863,15.3104248046875,33.7537841796875,23.216272354125977,cli,93.78260040283203
fastmcp\fastmcp_slim\fastmcp\utilities\openapi\json_schema_converter.py,14.149155616760254,12.75266170501709,18.713459014892578,11.346323013305664,30.638261795043945,93.21574401855469,utilities,93.21574401855469
fastmcp\tests\resources\test_file_resources.py,21.6474552154541,8.0138521194458,7.770135879516602,140.70909118652344,6.0785393714904785,14.086082458496094,resources,140.70909118652344
fastmcp\fastmcp_slim\fastmcp\server\auth\oauth_proxy\__init__.py,13.986764907836914,2.7290327548980713,0.0,0.7902786135673523,1.277719259262085,4.038717269897461,cli,13.986764907836914
fastmcp\tests\server\telemetry\test_provider_tracing.py,24.597036361694336,7.404797077178955,57.39754867553711,52.7491340637207,95.8746337890625,21.09941291809082,tools,95.8746337890625
fastmcp\tests\utilities\openapi\test_circular_references.py,19.822595596313477,23.97266960144043,12.013935089111328,8.675498008728027,107.75868225097656,111.43631744384766,utilities,111.43631744384766
