file_path,dsp,feature,filter_bank,mir,best_module,best_likelihood
audioflux\include\hht_algorithm.h,3.6355981826782227,1.7045055627822876,2.1700518131256104,1.1183245182037354,dsp,3.6355981826782227
audioflux\src\vector\flux_vectorOp.h,18.484760284423828,3.399684429168701,33.5424919128418,2.922630786895752,filter_bank,33.5424919128418
audioflux\include\temporal_algorithm.h,3.096261501312256,10.015461921691895,1.6393963098526,13.286391258239746,mir,13.286391258239746
audioflux\src\dsp\conv_algorithm.h,86.69218444824219,5.463861465454102,4.732517719268799,5.5276079177856445,dsp,86.69218444824219
audioflux\src\mir\timeStretch_algorithm.h,3.1091883182525635,5.203129291534424,1.6469359397888184,77.47499084472656,mir,77.47499084472656
audioflux\src\reassign_algorithm.c,4.961019515991211,4.928182601928711,52.15602111816406,30.79064178466797,filter_bank,52.15602111816406
audioflux\src\mir\_pitch_yin.c,11.37769889831543,3.662365674972534,0.8370144367218018,84.11116027832031,mir,84.11116027832031
audioflux\src\filterbank\coef\__coef_d.h,40.11076354980469,1.2877159118652344,45.71665573120117,17.79315757751465,filter_bank,45.71665573120117
audioflux\src\temporal_algorithm.h,3.096261501312256,10.015461921691895,1.6393963098526,13.286391258239746,mir,13.286391258239746
audioflux\src\dsp\czt_algorithm.c,67.07891082763672,0.721376895904541,1.9982118606567383,5.768460273742676,dsp,67.07891082763672
audioflux\include\dsp\conv_algorithm.h,86.69218444824219,5.463861465454102,4.732517719268799,5.5276079177856445,dsp,86.69218444824219
audioflux\src\mir\_pitch_hps.c,16.282039642333984,3.032580614089966,0.35099563002586365,69.81635284423828,mir,69.81635284423828
audioflux\src\bft_algorithm.h,4.5633544921875,13.136531829833984,40.81411361694336,2.9962375164031982,filter_bank,40.81411361694336
audioflux\include\util\flux_wave.h,1.4834136962890625,4.491361618041992,1.4834136962890625,16.110145568847656,mir,16.110145568847656
audioflux\src\filterbank\cqt_filterBank.c,3.85194993019104,9.858774185180664,116.30360412597656,18.092609405517578,filter_bank,116.30360412597656
audioflux\src\fst_algorithm.h,21.29338836669922,1.4641010761260986,1.9313119649887085,1.596122145652771,dsp,21.29338836669922
audioflux\include\wsst_algorithm.h,4.324132442474365,8.27598762512207,4.698130130767822,0.8200292587280273,feature,8.27598762512207
audioflux\include\mir\_pitch_lhs.h,0.1829575002193451,2.7621169090270996,0.1829575002193451,83.76232147216797,mir,83.76232147216797
audioflux\include\spectrogram_algorithm.h,7.971261501312256,32.25288772583008,40.426063537597656,38.21548843383789,filter_bank,40.426063537597656
audioflux\src\mir\_pitch_stft.c,9.411669731140137,41.969017028808594,24.417293548583984,100.5174789428711,mir,100.5174789428711
audioflux\include\dsp\xcorr_algorithm.h,85.83174896240234,0.4251108467578888,1.8879090547561646,3.127626895904541,dsp,85.83174896240234
audioflux\include\wpt_algorithm.h,3.6355981826782227,1.7045055627822876,2.1700518131256104,1.1183245182037354,dsp,3.6355981826782227
audioflux\src\mir\onset_algorithm.c,6.190622329711914,25.84017562866211,47.151039123535156,136.1187744140625,mir,136.1187744140625
