file_path,cli,client,prompts,resources,server,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,28.135957717895508,19.63481903076172,14.71303939819336,47.561763763427734,67.37989044189453,96.46625518798828,utilities,96.46625518798828
fastmcp\tests\deprecated\test_elicitation.py,63.8601188659668,68.5516128540039,5.414987087249756,10.932632446289062,3.8980791568756104,12.107832908630371,client,68.5516128540039
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,68.66698455810547,68.21269226074219,10.021077156066895,64.60578155517578,58.73991394042969,28.231168746948242,cli,68.66698455810547
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,109.04180908203125,32.76435089111328,11.860220909118652,30.455690383911133,70.6441650390625,104.7852554321289,cli,109.04180908203125
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,65.57530975341797,68.8921890258789,5.067966461181641,51.79158020019531,67.68124389648438,37.0463752746582,client,68.8921890258789
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,96.52095031738281,65.8542251586914,0.6704472899436951,2.331069231033325,57.08082962036133,22.414777755737305,cli,96.52095031738281
fastmcp\examples\testing_demo\server.py,14.355023384094238,19.784900665283203,60.509613037109375,42.20673370361328,58.06159210205078,15.181163787841797,prompts,60.509613037109375
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,65.04068756103516,13.684621810913086,153.67697143554688,129.72410583496094,62.508609771728516,43.11040496826172,prompts,153.67697143554688
fastmcp\examples\desktop.py,8.777558326721191,9.326044082641602,4.681787490844727,42.63172149658203,5.089125633239746,6.939727306365967,resources,42.63172149658203
fastmcp\tests\cli\test_mcp_server_config_integration.py,113.21118927001953,73.36540985107422,9.073311805725098,63.804561614990234,65.7798080444336,34.833518981933594,cli,113.21118927001953
fastmcp\tests\server\middleware\test_rate_limiting.py,75.9622802734375,76.70091247558594,5.394203186035156,12.877635955810547,66.41602325439453,15.560898780822754,client,76.70091247558594
fastmcp\tests\tools\tool_transform\test_args.py,74.18302154541016,75.55362701416016,15.395525932312012,23.31393814086914,11.724717140197754,30.734094619750977,client,75.55362701416016
fastmcp\tests\server\test_dependencies_advanced.py,76.91255187988281,74.48785400390625,60.013153076171875,62.75031280517578,59.53459548950195,27.956809997558594,cli,76.91255187988281
fastmcp\examples\diagnostics\client_with_tracing.py,71.52696990966797,70.70697021484375,148.41030883789062,139.41921997070312,63.94643020629883,30.448041915893555,prompts,148.41030883789062
fastmcp\fastmcp_slim\fastmcp\server\providers\filesystem_discovery.py,40.25968933105469,17.002241134643555,65.87786865234375,75.4032974243164,61.938621520996094,45.582088470458984,resources,75.4032974243164
fastmcp\examples\atproto_mcp\demo.py,99.39332580566406,85.76924896240234,18.90514373779297,111.9522705078125,63.781795501708984,39.217735290527344,resources,111.9522705078125
fastmcp\fastmcp_slim\fastmcp\cli\cli.py,129.75697326660156,90.46092987060547,89.0946044921875,100.64867401123047,86.96817016601562,63.94594192504883,cli,129.75697326660156
fastmcp\tests\server\test_logging.py,20.60004234313965,10.31212329864502,7.626075267791748,9.369263648986816,70.7035140991211,14.01323413848877,server,70.7035140991211
fastmcp\tests\client\client\test_mode_negotiation.py,61.724151611328125,84.99970245361328,8.174833297729492,15.340041160583496,62.5493278503418,21.835859298706055,client,84.99970245361328
fastmcp\fastmcp_slim\fastmcp\cli\install\claude_code.py,114.2166976928711,18.53553009033203,11.584665298461914,20.771934509277344,69.72271728515625,22.941621780395508,cli,114.2166976928711
fastmcp\tests\tools\tool\test_output_schema.py,17.540063858032227,27.14666748046875,12.573991775512695,25.110214233398438,7.897922992706299,25.619783401489258,client,27.14666748046875
