file_path,dns,general,http_general,httpserver,sampling,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\coro\client\CertReloadSessionPool.cpp,1.0004980564117432,2.884126663208008,48.36164474487305,3.48651123046875,4.358328296802938E-4,1.9564217329025269,0.18227827548980713,0.3649923801422119,http_general,48.36164474487305
proxygen\proxygen\lib\http\session\TTLBAStats.h,1.0004962682724,1.2419531345367432,49.67768859863281,2.4834721088409424,4.342591855674982E-4,1.322025179862976,0.18113917112350464,0.3627125918865204,http_general,49.67768859863281
proxygen\proxygen\httpserver\samples\hq\FizzContext.h,3.547152519226074,3.0003578662872314,38.00035858154297,99.32252502441406,1.0003578662872314,1.034780502319336,37.0,6.430480480194092,httpserver,99.32252502441406
proxygen\proxygen\lib\http\HTTPHeaderSize.h,1.0005042552947998,1.248788833618164,47.8101692199707,3.497136354446411,4.4126948341727257E-4,1.331130027770996,0.1862606555223465,0.3729625940322876,http_general,47.8101692199707
proxygen\proxygen\lib\http\session\ByteEventTracker.h,1.0004640817642212,1.5339688062667847,48.533809661865234,3.4316961765289307,4.0610641008242965E-4,1.3108400106430054,12.311149597167969,0.3238736689090729,http_general,48.533809661865234
proxygen\proxygen\lib\http\session\test\ByteEventTrackerTest.cpp,1.0004878044128418,1.2051080465316772,50.049137115478516,3.4097893238067627,4.268016782589257E-4,1.3002386093139648,0.15351098775863647,105.67742919921875,transport,105.67742919921875
proxygen\proxygen\lib\http\codec\compress\HPACKDecoder.h,1.0004810094833374,2.8862767219543457,48.44053268432617,3.458279848098755,4.208862083032727E-4,2.699395179748535,0.17169712483882904,1.478440523147583,http_general,48.44053268432617
proxygen\proxygen\lib\http\coro\filters\Logger.cpp,32.033172607421875,7.730921745300293,65.05337524414062,4.214169025421143,3.4308701287955046E-4,5.651214122772217,23.028209686279297,39.57087326049805,http_general,65.05337524414062
proxygen\proxygen\lib\http\codec\HTTPCodecFactory.h,1.0004850625991821,2.8990554809570312,53.175601959228516,3.7670223712921143,4.244510200805962E-4,2.7424235343933105,2.229322671890259,39.34877014160156,http_general,53.175601959228516
proxygen\proxygen\lib\http\structuredheaders\test\StructuredFieldsRfc9651Test.cpp,6.407637596130371,2.4038195610046387,48.37015151977539,4.414412975311279,2.3287642397917807E-4,2.1476845741271973,17.650508880615234,1.1481728553771973,http_general,48.37015151977539
proxygen\proxygen\lib\http\session\test\WebTransportFilterTest.cpp,1.0004075765609741,5.828120231628418,54.21089172363281,3.8411455154418945,3.566103405319154E-4,3.7746341228485107,0.2655388116836548,39.53143310546875,http_general,54.21089172363281
proxygen\proxygen\lib\http\codec\webtransport\WebTransportCapsuleCodec.cpp,1.0004358291625977,3.298619508743286,54.1609001159668,3.856227159500122,3.813816583715379E-4,3.0458741188049316,0.14608383178710938,1.2925490140914917,http_general,54.1609001159668
proxygen\proxygen\httpclient\samples\websocket\WebSocketClient.h,1.0005700588226318,1.0004987716674805,44.72217559814453,4.141102313995361,4.98815905302763E-4,1.0320148468017578,12.717073440551758,4.98815905302763E-4,http_general,44.72217559814453
proxygen\proxygen\lib\http\coro\client\test\ProxygenCertVerifierTest.cpp,1.0004229545593262,4.149145603179932,48.98136520385742,3.3719491958618164,3.7011486710980535E-4,2.016711473464966,82.1268310546875,2.4579598903656006,ssl,82.1268310546875
proxygen\proxygen\lib\http\structuredheaders\StructuredHeadersUtilities.cpp,16.177051544189453,2.2542500495910645,46.765907287597656,4.284056186676025,4.0610641008242965E-4,1.5685487985610962,0.16173377633094788,0.3238736689090729,http_general,46.765907287597656
proxygen\proxygen\lib\http\codec\compress\HPACKConstants.h,1.9802155494689941,6.6084885597229,49.79404067993164,4.75850248336792,0.9801620841026306,4.532641887664795,1.1213074922561646,3.642144203186035,http_general,49.79404067993164
proxygen\proxygen\lib\http\session\CodecErrorResponseHandler.cpp,1.0004864931106567,6.842381477355957,49.3166618347168,3.4671308994293213,4.256527463439852E-4,2.6085586547851562,0.17501449584960938,0.3504546582698822,http_general,49.3166618347168
proxygen\proxygen\lib\http\coro\server\samples\proxy\ProxyServer.cpp,3.61568546295166,4.6290082931518555,54.02589416503906,112.2237548828125,0.9802212119102478,4.0321502685546875,53.61445617675781,6.298681259155273,httpserver,112.2237548828125
proxygen\proxygen\lib\http\codec\compress\HPACKCodec.h,1.0004591941833496,4.32151460647583,46.908512115478516,3.424126148223877,4.017653700429946E-4,3.300233840942383,12.095190048217773,39.31819534301758,http_general,46.908512115478516
proxygen\proxygen\lib\http\session\test\HQSessionMocksTest.cpp,1.0004591941833496,1.212264060974121,54.69192886352539,3.424126148223877,4.017653700429946E-4,1.3367297649383545,12.095190048217773,43.556488037109375,http_general,54.69192886352539
proxygen\proxygen\lib\http\stats\HeaderCodecStats.cpp,1.0004315376281738,2.3851935863494873,45.572017669677734,3.6994330883026123,3.7755060475319624E-4,1.8871780633926392,0.14376530051231384,0.287908136844635,http_general,45.572017669677734
proxygen\proxygen\lib\utils\test\ZstdTests.cpp,34.22388458251953,3.8419740200042725,0.8813988566398621,1.0002814531326294,2.814317704178393E-4,2.3046789169311523,0.0,2.814317704178393E-4,dns,34.22388458251953
proxygen\proxygen\lib\http\coro\client\test\HTTPClientTestsCommon.h,2.288416862487793,2.421527862548828,51.79843521118164,88.13359832763672,3.7379577406682074E-4,1.9362603425979614,99.69876861572266,44.583282470703125,ssl,99.69876861572266
proxygen\proxygen\lib\http\coro\filters\test\FakeServerStats.cpp,1.000490665435791,2.229193687438965,47.761070251464844,3.473997116088867,4.29299077950418E-4,1.6130964756011963,16.627588272094727,0.3556050956249237,http_general,47.761070251464844
proxygen\proxygen\lib\transport\qmux\QmuxConnector.h,17.87150764465332,0.842521071434021,1.505685567855835,1.0004323720932007,4.3238577200099826E-4,0.3668774664402008,1.039217472076416,158.53526306152344,transport,158.53526306152344
proxygen\proxygen\lib\utils\RendezvousHash.h,1.0004810094833374,0.3551091253757477,4.208862083032727E-4,2.160426378250122,4.208862083032727E-4,0.03385263308882713,0.0,4.208862083032727E-4,httpserver,2.160426378250122
proxygen\proxygen\lib\dns\test\Rfc6724Test.cpp,93.86659240722656,1.1308737993240356,0.285014271736145,1.323007345199585,3.4308701287955046E-4,0.1283109486103058,0.0,3.4308701287955046E-4,dns,93.86659240722656
