file_path,backtest,contrib,data,model,rl,run,strategy,tests,utils,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,5.218883514404297,9.695267677307129,85.03660583496094,10.774847030639648,6.802454948425293,15.373172760009766,6.345532417297363,107.81453704833984,16.193620681762695,tests,107.81453704833984
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,5.649245738983154,62.30741882324219,16.384471893310547,16.316287994384766,10.392236709594727,11.523265838623047,85.47206115722656,7.32025146484375,10.974434852600098,strategy,85.47206115722656
qlib\qlib\rl\reward.py,8.475139617919922,4.197549819946289,1.3920254707336426,1.752588152885437,87.36031341552734,0.0,2.9482221603393555,1.0012303590774536,5.278863906860352,rl,87.36031341552734
qlib\tests\ops\test_special_ops.py,6.158468246459961,10.916366577148438,82.52293395996094,4.831445693969727,4.645816326141357,8.042510986328125,9.630163192749023,110.12387084960938,12.681365013122559,tests,110.12387084960938
qlib\qlib\contrib\model\pytorch_lstm.py,6.9362406730651855,72.45962524414062,90.11287689208984,100.48499298095703,39.63429641723633,44.72506332397461,24.37854766845703,79.68511199951172,76.98261260986328,model,100.48499298095703
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,7.851900100708008,31.795637130737305,79.62321472167969,68.91682434082031,10.639455795288086,11.792956352233887,13.823720932006836,17.68666648864746,21.816537857055664,data,79.62321472167969
qlib\qlib\workflow\task\collect.py,8.022275924682617,11.968488693237305,13.175179481506348,16.481830596923828,10.232279777526855,15.431801795959473,15.481101989746094,11.66636848449707,18.012224197387695,utils,18.012224197387695
qlib\qlib\rl\utils\log.py,4.877406120300293,14.331934928894043,54.13062286376953,13.629339218139648,68.49183654785156,22.380584716796875,14.693111419677734,12.256765365600586,71.33222961425781,utils,71.33222961425781
qlib\qlib\backtest\report.py,63.529266357421875,18.860050201416016,100.83642578125,25.209840774536133,23.66205406188965,32.47346115112305,25.48665428161621,46.06436538696289,28.662059783935547,data,100.83642578125
qlib\qlib\contrib\data\__init__.py,1.001301884651184,64.41008758544922,63.963958740234375,1.001301884651184,1.001301884651184,3.9977474212646484,1.001301884651184,4.999049186706543,6.7972517013549805,contrib,64.41008758544922
qlib\qlib\rl\order_execution\simulator_simple.py,108.21141052246094,12.050382614135742,88.26163482666016,7.432482719421387,70.25474548339844,40.394840240478516,5.315434455871582,11.391153335571289,23.078704833984375,backtest,108.21141052246094
qlib\examples\data_demo\data_mem_resuse_demo.py,5.821967601776123,16.596460342407227,84.98274993896484,7.095047473907471,6.974254608154297,11.004457473754883,10.774322509765625,14.50676155090332,15.298901557922363,data,84.98274993896484
qlib\qlib\data\cache.py,12.569931030273438,22.01628303527832,118.0271224975586,46.250244140625,82.00374603271484,75.2724838256836,25.411287307739258,30.016939163208008,35.7530403137207,data,118.0271224975586
qlib\qlib\contrib\report\data\ana.py,2.2401745319366455,59.614288330078125,73.0390396118164,7.860450267791748,5.373353958129883,36.98812484741211,9.76523494720459,10.32279109954834,12.026556968688965,data,73.0390396118164
qlib\examples\highfreq\highfreq_processor.py,2.0232977867126465,9.783923149108887,73.55130767822266,3.980099678039551,2.099783182144165,5.209066390991211,3.1360344886779785,14.191437721252441,10.652508735656738,data,73.55130767822266
qlib\qlib\contrib\data\processor.py,2.281186103820801,59.83391189575195,74.50082397460938,3.042210578918457,4.34208345413208,22.458032608032227,6.460906982421875,11.039538383483887,10.7076416015625,data,74.50082397460938
qlib\qlib\rl\strategy\__init__.py,3.6284241676330566,5.94570779800415,0.0,1.0013008117675781,86.6097412109375,0.0,98.20487213134766,1.0013008117675781,5.94570779800415,strategy,98.20487213134766
qlib\scripts\get_data.py,3.2397048473358154,5.61605978012085,66.08534240722656,3.4237849712371826,4.186580657958984,11.934027671813965,4.408907890319824,7.232298374176025,9.227522850036621,data,66.08534240722656
qlib\qlib\rl\data\pickle_styled.py,102.30735778808594,13.037714004516602,102.16636657714844,8.533243179321289,69.60189056396484,29.96942901611328,5.1823248863220215,12.816473007202148,23.013572692871094,backtest,102.30735778808594
qlib\tests\misc\test_sepdf.py,1.0010271072387695,7.099628925323486,62.27751159667969,2.256809711456299,3.4846580028533936,4.8922882080078125,3.807429313659668,105.2437515258789,10.062397003173828,tests,105.2437515258789
qlib\qlib\model\riskmodel\base.py,3.2532291412353516,18.316814422607422,56.26155471801758,70.68013763427734,6.142918109893799,27.61490821838379,9.785868644714355,11.6385498046875,17.70726203918457,model,70.68013763427734
qlib\tests\rl\test_finite_env.py,5.082019329071045,10.946786880493164,59.072349548339844,10.186359405517578,66.392578125,29.59754180908203,6.183948040008545,103.8018798828125,12.258391380310059,tests,103.8018798828125
qlib\qlib\contrib\torch.py,1.001240611076355,63.07352828979492,68.98033905029297,2.557981491088867,1.001240611076355,4.2785491943359375,1.001240611076355,6.254482746124268,7.223929405212402,data,68.98033905029297
qlib\qlib\backtest\account.py,82.30867767333984,14.346181869506836,63.84115219116211,30.183029174804688,15.598482131958008,30.151927947998047,23.89044189453125,14.772671699523926,14.653889656066895,backtest,82.30867767333984
qlib\qlib\rl\order_execution\interpreter.py,4.031042098999023,9.604872703552246,86.9041748046875,6.586231708526611,72.95708465576172,48.266204833984375,4.9169206619262695,9.35704517364502,19.233909606933594,data,86.9041748046875
qlib\qlib\contrib\model\pytorch_gats.py,6.933157444000244,71.55460357666016,114.16792297363281,112.8536376953125,39.06479263305664,53.62386703491211,26.754634857177734,78.45899963378906,76.3508529663086,data,114.16792297363281
qlib\tests\model\test_general_nn.py,3.171416759490967,74.94991302490234,86.73836517333984,84.9078369140625,6.326673984527588,21.940595626831055,13.338822364807129,143.876953125,18.537948608398438,tests,143.876953125
qlib\qlib\backtest\utils.py,76.74207305908203,14.24700927734375,76.85414123535156,3.6313297748565674,6.291375160217285,56.15868377685547,8.654924392700195,14.057098388671875,81.10694122314453,utils,81.10694122314453
qlib\qlib\contrib\model\pytorch_adarnn.py,9.772711753845215,68.2197265625,117.21863555908203,106.0513916015625,49.01772689819336,59.764739990234375,24.8428955078125,70.37705993652344,79.61665344238281,data,117.21863555908203
qlib\qlib\rl\simulator.py,5.740713596343994,4.758212566375732,0.4393358826637268,1.00127375125885,84.8847885131836,0.0,1.2163790464401245,1.00127375125885,5.015395164489746,rl,84.8847885131836
qlib\qlib\contrib\tuner\pipeline.py,106.88536834716797,66.83857727050781,82.41349029541016,24.84869384765625,4.605122089385986,64.57705688476562,9.481571197509766,33.48808288574219,21.993444442749023,backtest,106.88536834716797
qlib\qlib\contrib\model\catboost_model.py,4.2484025955200195,69.89107513427734,79.38285827636719,85.1153564453125,10.722131729125977,13.521891593933105,13.625744819641113,75.20195007324219,15.33586597442627,model,85.1153564453125
qlib\qlib\contrib\eva\alpha.py,1.3110554218292236,64.27862548828125,69.391357421875,14.599814414978027,5.72651481628418,20.7806339263916,9.082931518554688,9.236461639404297,16.28865623474121,data,69.391357421875
qlib\scripts\collect_info.py,4.763883113861084,4.012931823730469,18.344369888305664,4.456247806549072,8.961222648620605,13.485313415527344,5.202041149139404,5.863111972808838,9.238917350769043,data,18.344369888305664
qlib\examples\online_srv\online_management_simulate.py,113.61854553222656,33.86001205444336,68.69905853271484,12.504647254943848,39.64347457885742,33.16647720336914,113.0284652709961,45.076263427734375,24.58306884765625,backtest,113.61854553222656
qlib\qlib\contrib\model\pytorch_add.py,5.429566860198975,66.77693176269531,101.87944793701172,117.08757781982422,36.34835433959961,63.94973373413086,25.711687088012695,66.9975814819336,69.3055191040039,model,117.08757781982422
qlib\qlib\contrib\model\pytorch_tabnet.py,12.832258224487305,66.1628189086914,88.63069152832031,105.91366577148438,38.57147216796875,43.57653045654297,27.08672523498535,73.45109558105469,74.18831634521484,model,105.91366577148438
qlib\tests\rolling_tests\test_update_pred.py,7.122813701629639,25.74085235595703,84.54441833496094,91.5840072631836,9.156044006347656,7.892840385437012,18.27417755126953,115.77265167236328,23.69036293029785,tests,115.77265167236328
qlib\scripts\check_dump_bin.py,16.61196517944336,12.841769218444824,87.70849609375,11.126958847045898,33.184112548828125,42.390316009521484,11.967720031738281,22.956819534301758,27.404870986938477,data,87.70849609375
qlib\qlib\contrib\model\__init__.py,3.3250863552093506,66.93370819091797,7.962341785430908,95.55050659179688,2.939119338989258,14.338180541992188,9.172700881958008,3.391594886779785,7.98480224609375,model,95.55050659179688
qlib\qlib\utils\index_data.py,4.80282735824585,15.214344024658203,91.18087768554688,5.907876968383789,6.108712196350098,51.63771438598633,7.7205424308776855,20.727710723876953,76.9015884399414,data,91.18087768554688
qlib\qlib\data\ops.py,9.291021347045898,24.40323257446289,70.32038879394531,21.688247680664062,168.89781188964844,44.713504791259766,23.222518920898438,32.29597091674805,17.797285079956055,rl,168.89781188964844
qlib\qlib\data\storage\__init__.py,1.4104183912277222,3.7253358364105225,67.27139282226562,1.0012961626052856,1.0012961626052856,3.990036964416504,1.0012961626052856,5.9913330078125,5.055347919464111,data,67.27139282226562
qlib\qlib\utils\serial.py,4.241159915924072,9.216103553771973,13.960273742675781,3.922726631164551,25.373167037963867,2.3842785358428955,8.999728202819824,3.844536304473877,76.66951751708984,utils,76.66951751708984
qlib\examples\online_srv\update_online_pred.py,8.201518058776855,23.07505989074707,75.76903533935547,22.088937759399414,10.66030502319336,10.874608993530273,18.060190200805664,19.458179473876953,18.451108932495117,data,75.76903533935547
qlib\qlib\rl\utils\env_wrapper.py,2.8044209480285645,13.24301815032959,2.665073871612549,18.40622901916504,83.68135070800781,60.78181838989258,10.063542366027832,8.074212074279785,93.08139038085938,utils,93.08139038085938
qlib\examples\benchmarks\TFT\expt_settings\configs.py,4.653459548950195,22.55950355529785,81.72582244873047,90.18374633789062,5.050491809844971,12.721077919006348,9.112363815307617,12.423933982849121,12.812760353088379,model,90.18374633789062
qlib\qlib\model\riskmodel\shrink.py,3.0421857833862305,7.189413070678711,22.23812484741211,56.489036560058594,6.53845739364624,18.66512680053711,7.669185638427734,9.809669494628906,10.010899543762207,model,56.489036560058594
qlib\qlib\rl\trainer\trainer.py,8.450634002685547,14.310042381286621,22.728130340576172,17.788639068603516,78.26652526855469,77.80026245117188,18.930206298828125,45.086769104003906,19.64101791381836,rl,78.26652526855469
qlib\qlib\contrib\report\__init__.py,16.52203369140625,67.61569213867188,1.4070649147033691,70.62239074707031,5.499880790710449,0.48394185304641724,5.429525375366211,2.503692150115967,5.29860258102417,model,70.62239074707031
qlib\tests\rl\test_saoe_simple.py,101.25686645507812,15.826019287109375,84.83487701416016,6.626609802246094,77.64557647705078,28.52455711364746,78.46418762207031,94.50170135498047,27.17576789855957,backtest,101.25686645507812
qlib\qlib\data\pit.py,1.9058730602264404,12.78700065612793,68.86734771728516,19.21892547607422,9.311602592468262,30.78277587890625,13.659387588500977,16.045543670654297,13.94998836517334,data,68.86734771728516
qlib\qlib\contrib\model\pytorch_gats_ts.py,6.7047295570373535,71.20158386230469,119.55237579345703,110.60474395751953,66.22502899169922,54.96601486206055,26.379783630371094,72.7164077758789,76.01661682128906,data,119.55237579345703
qlib\tests\test_contrib_model.py,3.412733316421509,70.98831939697266,0.0,98.03119659423828,3.8840811252593994,79.08831024169922,8.55273723602295,106.88605499267578,11.185929298400879,tests,106.88605499267578
