file_path,configs,environments,policies,robot_devices,utilities,best_module,best_likelihood
lerobot\src\lerobot\cameras\opencv\__init__.py,0.0,0.0,0.0,5.616353988647461,0.0,robot_devices,5.616353988647461
lerobot\examples\lekiwi\replay.py,15.485657691955566,0.8271817564964294,1.0,44.844398498535156,1.522130012512207,robot_devices,44.844398498535156
lerobot\src\lerobot\robots\openarm_follower\config_openarm_follower.py,14.100764274597168,0.5883671045303345,0.5387967228889465,50.28833770751953,1.3288280963897705,robot_devices,50.28833770751953
lerobot\src\lerobot\robots\hope_jr\hope_jr_hand.py,64.10021209716797,0.9379148483276367,4.239075183868408,60.263492584228516,5.037108421325684,configs,64.10021209716797
lerobot\src\lerobot\envs\robomme.py,1.2859944105148315,2.5928306579589844,3.653320550918579,2.764078140258789,4.416513442993164,utilities,4.416513442993164
lerobot\src\lerobot\async_inference\robot_client.py,20.513690948486328,62.18830490112305,6.380987644195557,105.97350311279297,8.3016996383667,robot_devices,105.97350311279297
lerobot\tests\policies\pi0_pi05\test_pi05.py,21.760059356689453,3.35031795501709,79.08592987060547,31.074766159057617,3.2200796604156494,policies,79.08592987060547
lerobot\src\lerobot\utils\robot_utils.py,0.0,0.6394578814506531,0.46000003814697266,48.32862854003906,0.4969903528690338,robot_devices,48.32862854003906
lerobot\src\lerobot\motors\dynamixel\__init__.py,0.0,0.0,0.0,6.000463485717773,0.0,robot_devices,6.000463485717773
lerobot\tests\policies\test_gaussian_actor_config.py,23.199077606201172,4.19727897644043,70.4208755493164,29.045793533325195,4.471753120422363,policies,70.4208755493164
lerobot\tests\policies\lingbot_va\test_modules.py,6.164295673370361,5.8030853271484375,70.4648208618164,29.182292938232422,7.652792930603027,policies,70.4648208618164
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,12.634734153747559,2.9546918869018555,71.40234375,12.119138717651367,6.423534870147705,policies,71.40234375
lerobot\src\lerobot\utils\io_utils.py,1.5958518981933594,0.0,2.9803595542907715,3.247107744216919,6.237669467926025,utilities,6.237669467926025
lerobot\tests\policies\groot\test_groot_train_random_crop.py,13.75696849822998,3.455866813659668,64.88867950439453,33.11344909667969,5.804208278656006,policies,64.88867950439453
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,23.290096282958984,6.3947649002075195,64.46568298339844,62.760284423828125,8.452665328979492,policies,64.46568298339844
lerobot\src\lerobot\motors\robstride\robstride.py,2.9095818996429443,3.260948896408081,6.656547546386719,18.861392974853516,10.526530265808105,robot_devices,18.861392974853516
lerobot\examples\omx\record_grab.py,7.624650478363037,2.001866102218628,3.391496419906616,52.95399856567383,6.859284400939941,robot_devices,52.95399856567383
lerobot\src\lerobot\configs\policies.py,68.68848419189453,4.264646053314209,73.70523834228516,77.5248794555664,6.76273775100708,robot_devices,77.5248794555664
lerobot\tests\processor\test_migration_detection.py,78.59310150146484,3.8378632068634033,16.232202529907227,2.637542963027954,2.9805068969726562,configs,78.59310150146484
lerobot\tests\policies\test_gaussian_actor_policy.py,25.104095458984375,5.8229756355285645,55.84467315673828,7.231555938720703,7.477428436279297,policies,55.84467315673828
lerobot\tests\fixtures\files.py,1.484419822692871,2.6346657276153564,0.5113744735717773,0.40931496024131775,5.756364822387695,utilities,5.756364822387695
lerobot\tests\policies\pi0_pi05\test_pi0.py,21.613933563232422,3.4074814319610596,75.4636001586914,31.704984664916992,2.4601612091064453,policies,75.4636001586914
lerobot\src\lerobot\async_inference\__init__.py,0.0,0.0,0.0,3.316499710083008,2.489370346069336,robot_devices,3.316499710083008
lerobot\tests\conftest.py,4.34962797164917,2.65956449508667,5.270983695983887,28.976964950561523,6.371211051940918,robot_devices,28.976964950561523
lerobot\tests\policies\vla_jepa\conftest.py,19.65499496459961,1.9553086757659912,69.00227355957031,32.732818603515625,1.6656912565231323,policies,69.00227355957031
lerobot\src\lerobot\robots\so_follower\so_follower.py,63.74933624267578,3.140721082687378,5.178191661834717,61.57212829589844,8.880387306213379,configs,63.74933624267578
lerobot\src\lerobot\robots\openarm_follower\__init__.py,0.0,0.7372015118598938,0.0,46.60734558105469,0.0,robot_devices,46.60734558105469
lerobot\tests\cameras\test_realsense.py,18.759626388549805,3.0513525009155273,2.2950286865234375,34.863250732421875,3.8435986042022705,robot_devices,34.863250732421875
lerobot\tests\datasets\test_quantiles_dataset_integration.py,0.8868234157562256,1.2939412593841553,2.378115177154541,7.955147743225098,5.581809043884277,robot_devices,7.955147743225098
lerobot\tests\policies\test_relative_actions.py,1.6700193881988525,1.9193123579025269,62.692996978759766,3.553981304168701,2.3624203205108643,policies,62.692996978759766
lerobot\src\lerobot\teleoperators\homunculus\joints_translation.py,0.0,0.0,2.1355957984924316,2.7136268615722656,0.0,robot_devices,2.7136268615722656
lerobot\src\lerobot\teleoperators\keyboard\teleop_keyboard.py,19.502185821533203,46.437843322753906,2.365463972091675,49.17416763305664,4.859987735748291,robot_devices,49.17416763305664
lerobot\src\lerobot\policies\xvla\action_hub.py,1.0032038688659668,0.0,62.82432556152344,4.839857578277588,2.882631540298462,policies,62.82432556152344
lerobot\tests\utils\test_hub.py,18.23383331298828,3.462562084197998,4.874886512756348,3.045363426208496,8.707310676574707,configs,18.23383331298828
