file_path,dns,general,http_general,httpserver,sampling,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\coro\test\HttpWtUpstreamTests.cpp,1.000406265258789,7.939396381378174,50.995948791503906,6.154052734375,3.554761642590165E-4,5.529870986938477,62.43307113647461,134.77452087402344,transport,134.77452087402344
proxygen\proxygen\lib\http\codec\test\CodecUtilTests.cpp,21.019208908081055,3.180867910385132,48.9207763671875,4.260101795196533,3.8847228279337287E-4,2.846017599105835,18.863178253173828,1.203386664390564,http_general,48.9207763671875
proxygen\proxygen\lib\http\structuredheaders\StructuredFields.h,14.843382835388184,3.4290225505828857,46.41017532348633,3.809612274169922,3.837344120256603E-4,1.9643021821975708,14.041873931884766,0.29542654752731323,http_general,46.41017532348633
proxygen\proxygen\httpserver\samples\hq\HQClient.cpp,35.124393463134766,9.54932689666748,49.99468231201172,82.70337677001953,1.585546851158142,11.893571853637695,15.429697036743164,87.62739562988281,transport,87.62739562988281
proxygen\proxygen\lib\http\HTTPMethod.h,1.0005381107330322,1.279516339302063,49.022769927978516,3.9216043949127197,4.708440392278135E-4,1.40572190284729,1.4189767837524414,0.41903916001319885,http_general,49.022769927978516
proxygen\proxygen\httpclient\samples\curl\CurlClient.h,1.000579833984375,1.507799506187439,45.128177642822266,4.534617900848389,5.074056680314243E-4,1.0352267026901245,49.98151397705078,5.074056680314243E-4,ssl,49.98151397705078
proxygen\proxygen\lib\http\coro\HTTPEvents.h,1.000502347946167,3.753492593765259,48.49494171142578,3.393906593322754,4.395389696583152E-4,2.482363700866699,1.147550106048584,4.374000072479248,http_general,48.49494171142578
proxygen\proxygen\lib\http\observer\HTTPTransactionObserverContainer.h,1.0005360841751099,1.2776213884353638,48.9479866027832,3.9197959899902344,4.6910656965337694E-4,1.3994992971420288,0.20786425471305847,0.41619762778282166,http_general,48.9479866027832
proxygen\proxygen\lib\pools\generators\ServerListGenerator.h,2.416757822036743,0.9624257683753967,0.3253602385520935,6.116244792938232,4.110300214961171E-4,1.7277752161026,0.0,4.110300214961171E-4,httpserver,6.116244792938232
proxygen\proxygen\lib\http\coro\filters\VisitorFilter.h,1.0005336999893188,2.177952289581299,49.397518157958984,3.550110340118408,4.669527115765959E-4,1.7609641551971436,1.2061161994934082,0.412699431180954,http_general,49.397518157958984
proxygen\proxygen\httpclient\samples\curl\CurlClient.cpp,1.0005203485488892,3.3244130611419678,59.30696487426758,5.535134792327881,4.552803002297878E-4,2.3031771183013916,82.85851287841797,1.5338096618652344,ssl,82.85851287841797
proxygen\proxygen\lib\http\codec\HTTPChecks.h,1.0005381107330322,4.239208221435547,49.663360595703125,3.5585620403289795,4.708440392278135E-4,3.29598069190979,17.257722854614258,0.41903916001319885,http_general,49.663360595703125
proxygen\proxygen\lib\http\SynchronizedLruQuicPskCache.cpp,17.746135711669922,2.855475902557373,47.94527816772461,4.856937885284424,4.30517626227811E-4,1.923051357269287,30.06687355041504,9.80056381225586,http_general,47.94527816772461
proxygen\proxygen\httpserver\samples\push\PushStats.h,1.0005030632019043,1.000440239906311,38.00043869018555,106.24298858642578,4.4020771747455E-4,1.0,1.0,4.4020771747455E-4,httpserver,106.24298858642578
