Project,TFIDF_Avg_Precision,TFIDF_Avg_Recall,TFIDF_F1,LLMProb_Avg_Precision,LLMProb_Avg_Recall,LLMProb_F1,LLMAssign_Avg_Precision,LLMAssign_Avg_Recall,LLMAssign_F1,LLMAssign-IPRAG_Avg_Precision,LLMAssign-IPRAG_Avg_Recall,LLMAssign-IPRAG_F1,SAMCodeTLR_Avg_Precision,SAMCodeTLR_Avg_Recall,SAMCodeTLR_F1
bigbluebutton,0.5582,0.8312,0.6679,0.4857,0.8878,0.6279,0.6368,0.8666,0.7341,0.5967,0.8862,0.7132,0.0,0.0,0.0
jabref,0.5181,0.7293,0.6058,0.4945,0.9946,0.6606,0.5125,0.9968,0.6769,0.5573,0.9953,0.7145,0.0,0.0,0.0
mediastore,0.8472,0.5138,0.6397,0.7832,1.0,0.8784,0.7706,1.0,0.8704,0.8,1.0,0.8889,0.0,0.0,0.0
teammates,0.8068,0.7329,0.7681,0.6331,0.9484,0.7593,0.6842,0.7497,0.7155,0.9084,0.9992,0.9516,0.0,0.0,0.0
teastore,0.8928,0.9954,0.9413,0.7534,1.0,0.8594,0.884,1.0,0.9384,0.9861,1.0,0.993,0.0,0.0,0.0
