file_path,backtest,contrib,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,5.209280490875244,58.2281494140625,14.135622024536133,9.404363632202148,11.692094802856445,84.27680969238281,7.443924903869629,10.269105911254883,20.656591415405273,strategy,84.27680969238281
qlib\qlib\rl\reward.py,7.501636505126953,3.331927537918091,0.9302036166191101,90.44818115234375,0.0,1.7544368505477905,0.0,4.374569416046143,12.335664749145508,rl,90.44818115234375
qlib\qlib\contrib\model\pytorch_lstm.py,5.9763689041137695,68.81784057617188,92.09252166748047,40.57832717895508,43.0426139831543,22.767309188842773,91.82560729980469,73.66437530517578,52.24893569946289,model,92.09252166748047
qlib\qlib\workflow\task\collect.py,7.547471523284912,11.329771041870117,13.841636657714844,9.291739463806152,22.0656795501709,14.29072093963623,10.870989799499512,17.296924591064453,149.8252410888672,workflow,149.8252410888672
qlib\qlib\rl\utils\log.py,3.8546106815338135,13.142729759216309,11.675311088562012,70.02484893798828,22.39508628845215,13.598203659057617,11.341714859008789,67.73275756835938,39.38736343383789,rl,70.02484893798828
qlib\qlib\backtest\report.py,63.78797912597656,19.73284149169922,25.245969772338867,23.977510452270508,36.244537353515625,25.171167373657227,51.6737060546875,28.662355422973633,47.01210403442383,backtest,63.78797912597656
qlib\qlib\contrib\data\__init__.py,0.0,57.72470474243164,0.0,0.0,4.169467926025391,0.0,4.169467926025391,5.788233757019043,6.9994587898254395,contrib,57.72470474243164
qlib\qlib\rl\order_execution\simulator_simple.py,108.04438018798828,11.560873985290527,7.363094329833984,71.49897003173828,39.2017936706543,4.963461399078369,11.822301864624023,21.804140090942383,32.917598724365234,backtest,108.04438018798828
qlib\qlib\data\cache.py,15.313411712646484,24.798999786376953,45.82780075073242,87.26254272460938,77.17684936523438,27.243253707885742,33.80643844604492,39.8505744934082,70.21028137207031,rl,87.26254272460938
qlib\qlib\contrib\report\data\ana.py,2.3314242362976074,57.25823974609375,8.188371658325195,5.26024866104126,36.0008544921875,10.07159423828125,11.183786392211914,12.320185661315918,16.49695587158203,contrib,57.25823974609375
