file_path,backtest,contrib,data,model,rl,run,tests,utils,workflow,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,5.061618328094482,10.129331588745117,84.76569366455078,19.104354858398438,6.011909008026123,15.494851112365723,111.45012664794922,20.25400733947754,17.716108322143555,tests,111.45012664794922
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,6.344006061553955,62.1429557800293,16.35146141052246,19.69598388671875,9.516940116882324,11.432086944580078,7.20217227935791,12.268616676330566,14.151299476623535,contrib,62.1429557800293
qlib\qlib\rl\reward.py,10.12188720703125,4.197549819946289,1.0585135221481323,2.8111016750335693,85.2225112915039,1.0585135221481323,1.0012303590774536,5.278863906860352,12.273388862609863,rl,85.2225112915039
qlib\tests\ops\test_special_ops.py,5.855324745178223,9.852654457092285,78.96724700927734,11.074769973754883,3.2708191871643066,8.42357063293457,114.24658966064453,15.69226360321045,13.251052856445312,tests,114.24658966064453
qlib\qlib\contrib\model\pytorch_lstm.py,10.410177230834961,68.34700775146484,79.63524627685547,117.91879272460938,37.12358093261719,45.13248062133789,81.82073974609375,81.30776977539062,36.0506477355957,model,117.91879272460938
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,12.275127410888672,34.71286392211914,78.4659194946289,86.63296508789062,9.599295616149902,13.11514663696289,19.3800048828125,26.520187377929688,114.14944458007812,workflow,114.14944458007812
qlib\qlib\workflow\task\collect.py,13.950053215026855,13.38400936126709,15.95287799835205,23.20973014831543,8.974994659423828,16.953819274902344,11.842667579650879,20.0701961517334,122.32179260253906,workflow,122.32179260253906
qlib\qlib\rl\utils\log.py,6.472015380859375,11.955982208251953,48.844566345214844,16.570201873779297,65.52288055419922,22.053701400756836,12.670302391052246,72.97289276123047,30.012474060058594,utils,72.97289276123047
qlib\qlib\backtest\report.py,72.97623443603516,22.265596389770508,99.62197875976562,37.47712326049805,22.102279663085938,38.65704345703125,46.80617904663086,28.542343139648438,38.89231872558594,data,99.62197875976562
qlib\qlib\contrib\data\__init__.py,0.06451363861560822,63.07750701904297,58.698143005371094,2.398397922515869,1.001301884651184,4.06226110458374,4.999049186706543,6.7972517013549805,3.730980396270752,contrib,63.07750701904297
