file_path,backtest,contrib,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\model\pytorch_add.py,4.847519874572754,65.2842788696289,107.06758880615234,37.71380615234375,66.33782196044922,24.37101173400879,77.05953216552734,67.34668731689453,72.54742431640625,model,107.06758880615234
qlib\qlib\contrib\model\pytorch_tabnet.py,12.649341583251953,64.01344299316406,97.04573059082031,39.60309982299805,42.12492370605469,25.293739318847656,84.58831024169922,72.28221130371094,55.729679107666016,model,97.04573059082031
qlib\qlib\contrib\model\__init__.py,2.085648536682129,60.04320526123047,85.12554931640625,1.769075870513916,16.030467987060547,7.420422077178955,2.3001549243927,6.5112786293029785,15.363485336303711,model,85.12554931640625
qlib\qlib\utils\index_data.py,4.354100227355957,14.150134086608887,5.13441801071167,5.213676929473877,50.43742752075195,6.646049499511719,21.328989028930664,74.14814758300781,27.949846267700195,utils,74.14814758300781
qlib\qlib\data\ops.py,9.73611068725586,26.047510147094727,20.078542709350586,180.44705200195312,57.27374267578125,23.634511947631836,36.008399963378906,18.560684204101562,44.68513488769531,rl,180.44705200195312
qlib\qlib\data\storage\__init__.py,0.4663867950439453,2.8238255977630615,0.0,0.0,4.160780906677246,0.0,5.160780906677246,4.210752487182617,10.415253639221191,workflow,10.415253639221191
qlib\qlib\utils\serial.py,5.337789058685303,10.454839706420898,5.325010776519775,28.148418426513672,2.5057241916656494,9.30531120300293,5.599910259246826,72.85144805908203,12.343646049499512,utils,72.85144805908203
qlib\qlib\rl\utils\env_wrapper.py,1.89320969581604,12.511185646057129,15.358672142028809,85.9976806640625,59.44679260253906,9.319869995117188,6.830270767211914,85.32151794433594,18.67402458190918,rl,85.9976806640625
qlib\qlib\model\riskmodel\shrink.py,2.407864570617676,6.84135103225708,53.439579010009766,5.479406356811523,18.491968154907227,6.799017906188965,9.640390396118164,9.361900329589844,18.030187606811523,model,53.439579010009766
qlib\qlib\rl\trainer\trainer.py,7.520981788635254,13.247184753417969,15.514665603637695,79.99109649658203,76.88465118408203,17.62708854675293,50.66252517700195,18.58194923400879,45.24110794067383,rl,79.99109649658203
qlib\qlib\contrib\report\__init__.py,14.835598945617676,60.72219467163086,64.07256317138672,4.157607078552246,7.715994834899902,3.8814239501953125,1.363356590270996,4.104698657989502,23.020328521728516,model,64.07256317138672
qlib\qlib\data\pit.py,0.9059677720069885,12.011421203613281,16.128660202026367,7.925398349761963,29.755542755126953,12.10533618927002,14.7215576171875,12.831215858459473,18.926410675048828,run,29.755542755126953
qlib\qlib\contrib\model\pytorch_gats_ts.py,5.726037979125977,68.22380828857422,101.20199584960938,69.3727798461914,54.208980560302734,24.283845901489258,82.94721221923828,73.13330841064453,72.07209777832031,model,101.20199584960938
qlib\qlib\rl\data\base.py,0.0,7.535872936248779,4.054570198059082,86.58802795410156,13.024039268493652,1.4392708539962769,5.898874282836914,12.878724098205566,15.520914077758789,rl,86.58802795410156
qlib\qlib\rl\trainer\callbacks.py,6.470485210418701,18.858882904052734,83.21466827392578,79.26421356201172,20.439088821411133,14.174603462219238,82.69123840332031,18.472728729248047,64.74241638183594,model,83.21466827392578
qlib\qlib\rl\aux_info.py,7.772327423095703,3.511399745941162,0.0,87.69795227050781,7.3281168937683105,2.757160186767578,0.0,3.7595415115356445,7.699906349182129,rl,87.69795227050781
qlib\qlib\contrib\model\pytorch_gru_ts.py,5.749975204467773,70.46678924560547,92.02839660644531,98.80113220214844,50.744110107421875,22.255462646484375,81.19052124023438,75.7706069946289,61.87281036376953,rl,98.80113220214844
qlib\qlib\data\dataset\processor.py,6.840548038482666,12.692060470581055,17.615345001220703,10.425562858581543,35.11186599731445,12.845499038696289,25.62370491027832,23.302946090698242,41.12295913696289,workflow,41.12295913696289
