file_path,dns,general,http_general,httpserver,pools,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\coro\test\HttpWtUpstreamTests.cpp,1.0003547668457031,7.238122463226318,49.24345016479492,5.90061092376709,2.2950706481933594,5.008665561676025,54.13605880737305,127.49484252929688,transport,127.49484252929688
proxygen\proxygen\lib\http\codec\test\CodecUtilTests.cpp,19.683677673339844,3.0473086833953857,47.643619537353516,4.147735118865967,1.3241256475448608,2.745002031326294,17.896467208862305,1.022567629814148,http_general,47.643619537353516
proxygen\proxygen\lib\http\structuredheaders\StructuredFields.h,13.631132125854492,3.3663482666015625,45.7088508605957,3.771923780441284,7.355020523071289,1.918735146522522,13.240426063537598,0.2695678770542145,http_general,45.7088508605957
proxygen\proxygen\httpserver\samples\hq\HQClient.cpp,29.43082618713379,8.983231544494629,47.98063278198242,73.62844848632812,5.398566246032715,10.806673049926758,12.839492797851562,78.92813110351562,transport,78.92813110351562
proxygen\proxygen\lib\http\HTTPMethod.h,1.0005000829696655,1.2451765537261963,47.66762924194336,3.8083248138427734,1.3184092044830322,1.3583117723464966,1.244524359703064,0.36754611134529114,http_general,47.66762924194336
proxygen\proxygen\httpclient\samples\curl\CurlClient.h,1.000575065612793,1.4202982187271118,44.49349594116211,4.328976631164551,3.8283474445343018,1.034913182258606,48.3218879699707,5.031353211961687E-4,ssl,48.3218879699707
proxygen\proxygen\lib\http\coro\HTTPEvents.h,1.0004793405532837,3.7011075019836426,47.51779556274414,3.3474600315093994,1.0,2.432023525238037,1.1301403045654297,4.093916893005371,http_general,47.51779556274414
proxygen\proxygen\lib\http\observer\HTTPTransactionObserverContainer.h,1.0004979372024536,1.243361234664917,47.59598922729492,3.808525323867798,2.3222384452819824,1.350163221359253,0.18219411373138428,0.36482393741607666,http_general,47.59598922729492
proxygen\proxygen\lib\pools\generators\ServerListGenerator.h,2.3698010444641113,0.9519398808479309,0.3175782561302185,6.012960910797119,132.94320678710938,1.6942484378814697,0.0,3.974069841206074E-4,pools,132.94320678710938
proxygen\proxygen\lib\http\coro\filters\VisitorFilter.h,1.000528335571289,2.1681787967681885,49.19700622558594,3.540097951889038,2.032014846801758,1.7521549463272095,1.20236337184906,0.40518906712532043,http_general,49.19700622558594
proxygen\proxygen\httpclient\samples\curl\CurlClient.cpp,1.0004855394363403,3.0726327896118164,58.004547119140625,5.273244380950928,5.861429214477539,2.150510311126709,78.83602142333984,1.3855215311050415,ssl,78.83602142333984
proxygen\proxygen\lib\http\codec\HTTPChecks.h,1.0005000829696655,3.9750332832336426,48.229461669921875,3.489915609359741,1.0,3.1366498470306396,16.027767181396484,0.36754611134529114,http_general,48.229461669921875
proxygen\proxygen\lib\http\SynchronizedLruQuicPskCache.cpp,17.303150177001953,2.8273978233337402,47.68219757080078,4.840150356292725,2.3764355182647705,1.8993570804595947,29.525991439819336,9.72849178314209,http_general,47.68219757080078
proxygen\proxygen\httpserver\samples\push\PushStats.h,1.0004432201385498,1.0003877878189087,38.000389099121094,98.0064697265625,1.0,1.0,1.0,3.878445422742516E-4,httpserver,98.0064697265625
proxygen\proxygen\lib\utils\ZlibStreamDecompressor.h,19.900732040405273,0.7792147994041443,0.2600168287754059,1.0004178285598755,1.855986475944519,0.2916345000267029,0.0,4.1787014924921095E-4,dns,19.900732040405273
proxygen\proxygen\lib\http\codec\compress\experimental\simulator\HPACKScheme.h,2.5531094074249268,4.437742710113525,47.92689895629883,8.880203247070312,3.8631813526153564,3.5125274658203125,0.1583857536315918,40.36383056640625,http_general,47.92689895629883
proxygen\proxygen\lib\http\codec\ResetsRateLimitFilter.h,1.000494360923767,2.9286553859710693,47.75096130371094,3.480189085006714,1.0,2.758777618408203,1.1799087524414062,0.36024999618530273,http_general,47.75096130371094
proxygen\proxygen\lib\http\codec\compress\QPACKStaticHeaderTable.h,1.0005072355270386,2.97128963470459,48.198707580566406,3.502230167388916,1.0,2.766495704650879,0.1881699115037918,0.37678366899490356,http_general,48.198707580566406
proxygen\proxygen\lib\stats\PeriodicStats.h,1.0004501342773438,0.7067872285842896,0.23585833609104156,1.0003938674926758,1.0,0.2703073024749756,0.0,3.938997979275882E-4,dns,1.0004501342773438
proxygen\proxygen\lib\http\codec\HeaderDecodeInfo.h,1.0004855394363403,4.104039669036865,48.76787185668945,3.820807695388794,1.3552136421203613,3.0562775135040283,17.02155303955078,0.3493017852306366,http_general,48.76787185668945
proxygen\proxygen\httpclient\samples\websocket\main.cpp,2.4081368446350098,2.879462718963623,51.17362594604492,7.3280029296875,2.7066149711608887,6.274206638336182,28.840999603271484,1.8548697233200073,http_general,51.17362594604492
proxygen\proxygen\lib\http\codec\compress\HPACKHeaderName.h,1.0005193948745728,6.651613235473633,51.03314971923828,4.344988822937012,1.393079161643982,3.968200445175171,0.2234039306640625,0.44726237654685974,http_general,51.03314971923828
proxygen\proxygen\lib\http\session\SimpleController.h,1.0004925727844238,1.238814115524292,49.539058685302734,4.787337303161621,1.3101401329040527,1.3477888107299805,14.609268188476562,0.3580057621002197,http_general,49.539058685302734
proxygen\proxygen\lib\utils\AsyncTimeoutSet.h,1.0004665851593018,4.0831344085745513E-4,4.0831344085745513E-4,1.0004082918167114,1.0,0.034671708941459656,2.320577621459961,4.0831344085745513E-4,ssl,2.320577621459961
proxygen\proxygen\lib\utils\test\PerfectIndexMapTest.cpp,1.0004006624221802,4.594059467315674,50.30573654174805,3.993431806564331,1.4011690616607666,3.228842258453369,16.896095275878906,0.4442846179008484,http_general,50.30573654174805
proxygen\proxygen\lib\http\connpool\SessionHolder.h,1.0004634857177734,2.447284698486328,49.22747802734375,3.430748701095581,2.0,1.6188725233078003,13.284116744995117,0.32316288352012634,http_general,49.22747802734375
proxygen\proxygen\lib\pools\generators\FileServerListGenerator.h,1.0004775524139404,1.2724876403808594,0.6559807658195496,2.4069576263427734,222.832763671875,0.3426607847213745,1.176546573638916,4.1787014924921095E-4,pools,222.832763671875
proxygen\proxygen\lib\http\codec\compress\test\HPACKCodecTests.cpp,32.5453987121582,6.170168876647949,45.24452590942383,8.98060131072998,6.28341817855835,3.5457074642181396,1.6511539220809937,40.189849853515625,http_general,45.24452590942383
proxygen\proxygen\httpserver\RequestHandler.h,1.0005223751068115,1.2763718366622925,38.000457763671875,95.61913299560547,2.2351927757263184,1.306004524230957,1.0,4.5712795690633357E-4,httpserver,95.61913299560547
proxygen\proxygen\lib\http\webtransport\WtEgressContainer.cpp,1.0005098581314087,5.781753063201904,48.22254180908203,3.4107260704040527,1.0,1.781512975692749,0.15385501086711884,1.308156132698059,http_general,48.22254180908203
proxygen\proxygen\lib\http\codec\HTTP2Constants.cpp,1.000473141670227,3.104948043823242,57.82724380493164,4.329502105712891,1.397864580154419,2.9707143306732178,12.956774711608887,0.8252121210098267,http_general,57.82724380493164
proxygen\proxygen\lib\http\coro\filters\MutateFilter.cpp,1.0005123615264893,3.220062255859375,48.984718322753906,3.5112557411193848,1.0,3.431434392929077,1.191552758216858,0.3835538327693939,http_general,48.984718322753906
