file_path,app,backends,bin,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
celery\celery\backends\gcs.py,61.927730560302734,117.14461517333984,47.48102951049805,6.805226802825928,4.951200485229492,2.0298871994018555,3.5158779621124268,10.761221885681152,3.822319746017456,10.046701431274414,backends,117.14461517333984
celery\celery\worker\pidbox.py,58.19367980957031,5.826026916503906,17.845598220825195,46.7617073059082,108.85973358154297,0.552058219909668,7.516899108886719,5.234003067016602,3.707195997238159,63.98213577270508,events,108.85973358154297
celery\celery\app\defaults.py,69.07543182373047,63.693119049072266,63.00717544555664,40.58720779418945,102.981201171875,2.4619479179382324,16.36831283569336,117.33454132080078,10.60450553894043,87.96910095214844,security,117.33454132080078
celery\celery\security\key.py,5.300131797790527,41.36716842651367,7.441422462463379,3.006330966949463,0.0,0.0,0.0,124.97217559814453,3.3827645778656006,0.0,security,124.97217559814453
celery\celery\utils\debug.py,44.605628967285156,2.1780872344970703,27.18166160583496,1.212246298789978,6.499056339263916,0.0,2.8131794929504395,0.4011942148208618,97.10344696044922,2.0611393451690674,utils,97.10344696044922
celery\celery\worker\heartbeat.py,7.100806713104248,2.442318916320801,18.21168327331543,1.2636345624923706,77.4073257446289,0.5601869225502014,4.355148792266846,0.0,2.9978420734405518,74.1021957397461,events,77.4073257446289
celery\celery\concurrency\base.py,70.647216796875,11.456864356994629,32.69102478027344,4.672239303588867,36.64088439941406,2.581085205078125,12.511031150817871,5.852163791656494,7.955920696258545,52.08291244506836,app,70.647216796875
celery\celery\app\control.py,77.4089584350586,12.811129570007324,52.018001556396484,56.24030303955078,81.25183868408203,1.929360270500183,53.55818557739258,5.747505187988281,5.200150012969971,20.32234001159668,events,81.25183868408203
celery\celery\utils\term.py,14.659186363220215,6.603936672210693,17.551254272460938,4.0436859130859375,0.42194196581840515,0.42194196581840515,0.42194196581840515,2.520355463027954,67.91236877441406,1.9285752773284912,utils,67.91236877441406
celery\celery\events\event.py,6.274906635284424,5.95634651184082,7.962674617767334,1.4579685926437378,121.54417419433594,0.0,2.2484233379364014,4.051103115081787,3.1860101222991943,2.3284854888916016,events,121.54417419433594
celery\celery\concurrency\eventlet.py,61.66971206665039,6.93947172164917,39.46104049682617,4.180476188659668,7.284041404724121,2.535210609436035,11.64777660369873,7.009398460388184,8.402759552001953,10.588618278503418,app,61.66971206665039
celery\celery\backends\cosmosdbsql.py,46.809539794921875,100.12757110595703,19.763643264770508,1.584242582321167,2.3884222507476807,0.5785092115402222,1.9223823547363281,2.601865291595459,1.6796133518218994,2.5250842571258545,backends,100.12757110595703
celery\celery\backends\base.py,80.57469940185547,120.69212341308594,58.37824249267578,12.477899551391602,16.913911819458008,7.317751884460449,39.50984573364258,55.28697967529297,11.484214782714844,68.64879608154297,backends,120.69212341308594
celery\celery\apps\multi.py,72.77635192871094,24.6486873626709,79.17316436767578,6.743303298950195,10.11799430847168,1.112074613571167,26.81690216064453,2.6892952919006348,34.10622787475586,75.73249816894531,bin,79.17316436767578
celery\celery\bin\multi.py,19.051284790039062,3.194463014602661,118.45929718017578,4.2007527351379395,10.94655990600586,1.5888495445251465,6.161922931671143,1.799919843673706,36.376285552978516,4.233413219451904,bin,118.45929718017578
celery\celery\_state.py,84.53431701660156,7.005484104156494,25.560733795166016,4.3561177253723145,7.150908946990967,107.95231628417969,56.43016052246094,4.698093891143799,20.120634078979492,74.16703796386719,fixups,107.95231628417969
celery\celery\worker\autoscale.py,8.608654022216797,4.074873924255371,36.57522964477539,2.2599339485168457,30.894506454467773,0.0,8.374910354614258,5.9915385246276855,0.30922138690948486,78.65676879882812,worker,78.65676879882812
celery\celery\worker\consumer\tasks.py,64.9679946899414,13.207416534423828,27.39006996154785,7.852649688720703,6.530256748199463,0.38962888717651367,11.088399887084961,6.913064002990723,0.46368277072906494,101.88182067871094,worker,101.88182067871094
celery\celery\bin\migrate.py,10.688395500183105,5.4378581047058105,89.25433349609375,14.746872901916504,4.9479217529296875,0.0,9.350942611694336,9.49451732635498,26.231674194335938,23.22490882873535,bin,89.25433349609375
celery\celery\concurrency\solo.py,43.17328643798828,1.3934681415557861,8.497716903686523,2.0081539154052734,1.7252943515777588,0.0,5.905698776245117,1.3934681415557861,1.0,64.89753723144531,worker,64.89753723144531
celery\celery\bin\base.py,70.42058563232422,12.94105052947998,85.27296447753906,6.831587791442871,4.131196022033691,0.0,30.385662078857422,8.686119079589844,5.695528030395508,36.448001861572266,bin,85.27296447753906
celery\celery\worker\consumer\mingle.py,66.72582244873047,8.867660522460938,18.969844818115234,32.44181823730469,109.69403076171875,0.4162016212940216,5.070069313049316,5.044497966766357,4.4877448081970215,66.79609680175781,events,109.69403076171875
celery\celery\utils\iso8601.py,0.0,0.0,10.86153507232666,0.0,0.3590792715549469,0.0,0.0,0.0,73.35643768310547,0.3590792715549469,utils,73.35643768310547
celery\celery\backends\rpc.py,88.71609497070312,127.90821075439453,73.6559066772461,8.781001091003418,81.07405853271484,1.5238096714019775,9.868034362792969,14.644732475280762,5.951976776123047,17.799386978149414,backends,127.90821075439453
celery\celery\bin\celery.py,76.19586944580078,56.555198669433594,117.3758773803711,35.718345642089844,88.7696304321289,9.403450012207031,66.5561294555664,9.390713691711426,9.875234603881836,116.47795104980469,bin,117.3758773803711
celery\celery\worker\state.py,55.327598571777344,5.482630729675293,40.31232833862305,8.679669380187988,12.303976058959961,0.5838756561279297,36.955322265625,4.969615936279297,8.785955429077148,81.43377685546875,worker,81.43377685546875
celery\celery\loaders\__init__.py,58.04463577270508,0.4493766725063324,5.523091793060303,1.8410305976867676,1.8410305976867676,0.0,165.34466552734375,1.8410305976867676,2.0956432819366455,1.8410305976867676,loaders,165.34466552734375
celery\celery\loaders\default.py,7.862527847290039,2.616950273513794,8.891566276550293,4.307293891906738,4.775310516357422,5.770569801330566,152.81561279296875,5.563119888305664,4.307293891906738,24.17446517944336,loaders,152.81561279296875
celery\celery\utils\saferepr.py,48.8107795715332,2.8651123046875,70.41687774658203,5.463497638702393,1.6080358028411865,3.0764636993408203,1.6097145080566406,1.2242448329925537,62.47954559326172,5.346026420593262,bin,70.41687774658203
