Project,precision_TFIDF,precision_LLMProb,precision_LLMAssign,precision_LLMAssign-IPRAG,recall_TFIDF,recall_LLMProb,recall_LLMAssign,recall_LLMAssign-IPRAG,f1_TFIDF,f1_LLMProb,f1_LLMAssign,f1_LLMAssign-IPRAG
bigbluebutton,0.8571,0.7829,0.871,0.8404,0.3677,0.3315,0.6017,0.4401,0.5146,0.4658,0.7117,0.5777
jabref,0.6406,0.9924,0.9995,1.0,0.8571,0.7805,0.8175,0.862,0.7332,0.8738,0.8994,0.9259
mediastore,0.3814,0.8462,1.0,1.0,0.9375,0.4583,0.1875,0.4167,0.5422,0.5946,0.3158,0.5882
teammates,0.8176,0.7971,0.7594,0.9987,0.9846,0.196,0.4798,0.9216,0.8933,0.3146,0.5881,0.9586
teastore,0.9725,1.0,1.0,1.0,0.8413,0.7937,0.8889,0.9841,0.9021,0.885,0.9412,0.992
