Project,TFIDF_Avg_Precision,TFIDF_Avg_Recall,TFIDF_F1,LLMProb_Avg_Precision,LLMProb_Avg_Recall,LLMProb_F1,LLMAssign_Avg_Precision,LLMAssign_Avg_Recall,LLMAssign_F1,LLMAssign-IPRAG_Avg_Precision,LLMAssign-IPRAG_Avg_Recall,LLMAssign-IPRAG_F1,SAMCodeTLR_Avg_Precision,SAMCodeTLR_Avg_Recall,SAMCodeTLR_F1
bigbluebutton,0.6972,0.8378,0.7611,0.6533,0.8464,0.7374,0.7291,0.8464,0.7834,0.6927,0.8335,0.7566,0.0,0.0,0.0
jabref,0.6885,0.6122,0.6481,0.7769,0.99,0.8706,0.8044,0.9921,0.8884,0.8139,0.9733,0.8865,0.0,0.0,0.0
mediastore,0.8535,0.5357,0.6582,0.8758,0.9798,0.9249,0.8277,1.0,0.9057,0.8725,1.0,0.9319,0.0,0.0,0.0
teammates,0.8233,0.7607,0.7908,0.7344,0.9677,0.8351,0.6799,0.7793,0.7262,0.9659,0.9983,0.9818,0.0,0.0,0.0
teastore,0.9111,0.9782,0.9435,0.8898,1.0,0.9417,0.9388,1.0,0.9684,0.9897,1.0,0.9948,0.0,0.0,0.0
