Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
bigbluebutton,0.7851,0.2646,0.3958,0.7886,0.2702,0.4025,0.7920,0.2758,0.4091,0.7920,0.2758,0.4091,0.7920,0.2758,0.4091,0.7923,0.2869,0.4213,0.8058,0.3120,0.4498,0.7829,0.3315,0.4658,0.6290,0.6518,0.6402
jabref,0.9984,0.7218,0.8379,0.9985,0.7367,0.8479,0.9985,0.7464,0.8543,0.9985,0.7532,0.8587,0.9985,0.7532,0.8587,0.9975,0.7558,0.8600,0.9961,0.7651,0.8655,0.9924,0.7805,0.8738,0.9321,0.8773,0.9039
mediastore,1.0000,0.0625,0.1176,1.0000,0.0833,0.1538,1.0000,0.0833,0.1538,1.0000,0.0833,0.1538,1.0000,0.1042,0.1887,1.0000,0.1250,0.2222,1.0000,0.3333,0.5000,0.8462,0.4583,0.5946,0.7097,0.9167,0.8000
teammates,0.9908,0.1283,0.2271,0.9912,0.1342,0.2364,0.9914,0.1366,0.2401,0.9915,0.1378,0.2419,0.9831,0.1378,0.2417,0.9603,0.1437,0.2500,0.9067,0.1615,0.2742,0.7971,0.1960,0.3146,0.4304,0.4038,0.4167
teastore,1.0000,0.7460,0.8545,1.0000,0.7778,0.8750,1.0000,0.7778,0.8750,1.0000,0.7778,0.8750,1.0000,0.7778,0.8750,1.0000,0.7778,0.8750,1.0000,0.7778,0.8750,1.0000,0.7937,0.8850,0.9640,0.8492,0.9030
