Project,Prec@10,Reca@10,F1@10,Prec@20,Reca@20,F1@20,Prec@30,Reca@30,F1@30,Prec@40,Reca@40,F1@40,Prec@50,Reca@50,F1@50,Prec@60,Reca@60,F1@60,Prec@70,Reca@70,F1@70,Prec@80,Reca@80,F1@80,Prec@90,Reca@90,F1@90
bigbluebutton,0.6468,0.8530,0.7358,0.6468,0.8530,0.7358,0.6468,0.8530,0.7358,0.6468,0.8530,0.7358,0.6468,0.8530,0.7358,0.6498,0.8530,0.7377,0.6525,0.8530,0.7394,0.6533,0.8464,0.7375,0.6851,0.6908,0.6879
jabref,0.7605,0.9913,0.8607,0.7605,0.9913,0.8607,0.7605,0.9913,0.8607,0.7605,0.9913,0.8607,0.7605,0.9913,0.8607,0.7623,0.9913,0.8619,0.7679,0.9908,0.8652,0.7769,0.9900,0.8706,0.8437,0.9494,0.8934
mediastore,0.8088,1.0000,0.8943,0.8088,1.0000,0.8943,0.8088,1.0000,0.8943,0.8088,1.0000,0.8943,0.8128,1.0000,0.8967,0.8166,1.0000,0.8990,0.8531,1.0000,0.9207,0.8758,0.9798,0.9248,0.9762,0.9046,0.9390
teammates,0.7201,0.9790,0.8298,0.7201,0.9790,0.8298,0.7201,0.9790,0.8298,0.7201,0.9790,0.8298,0.7201,0.9786,0.8296,0.7213,0.9778,0.8302,0.7254,0.9753,0.8320,0.7343,0.9677,0.8350,0.7558,0.7867,0.7709
teastore,0.8832,1.0000,0.9380,0.8832,1.0000,0.9380,0.8832,1.0000,0.9380,0.8832,1.0000,0.9380,0.8832,1.0000,0.9380,0.8832,1.0000,0.9380,0.8832,1.0000,0.9380,0.8898,1.0000,0.9417,0.9157,0.9845,0.9489
