file_path,backtest,contrib,data,model,rl,run,strategy,tests,utils,best_module,best_likelihood
qlib\qlib\contrib\eva\alpha.py,0.25745469331741333,59.568023681640625,71.6090316772461,11.842596054077148,4.669781684875488,20.103961944580078,7.734642028808594,8.296673774719238,14.938675880432129,data,71.6090316772461
qlib\qlib\contrib\model\pytorch_add.py,4.847519874572754,64.6548843383789,105.91967010498047,107.125244140625,37.71380615234375,66.33782196044922,24.322290420532227,77.05953216552734,67.28941345214844,model,107.125244140625
qlib\qlib\contrib\model\pytorch_tabnet.py,12.649341583251953,63.715484619140625,92.70655822753906,96.00226593017578,39.60309982299805,42.12492370605469,25.293739318847656,84.58831024169922,73.02812194824219,model,96.00226593017578
qlib\qlib\contrib\model\__init__.py,2.085648536682129,60.04320526123047,9.246365547180176,85.12554931640625,1.769075870513916,16.030467987060547,7.420422077178955,2.3001549243927,6.5112786293029785,model,85.12554931640625
qlib\qlib\utils\index_data.py,4.354100227355957,14.150134086608887,98.67154693603516,5.13441801071167,5.213676929473877,50.43742752075195,6.646049499511719,21.328989028930664,74.14814758300781,data,98.67154693603516
qlib\qlib\data\ops.py,9.73611068725586,25.71980857849121,72.78689575195312,20.078542709350586,180.44705200195312,57.27374267578125,23.227466583251953,36.008399963378906,18.943422317504883,rl,180.44705200195312
qlib\qlib\data\storage\__init__.py,0.4663867950439453,2.8238255977630615,70.00314331054688,0.0,0.0,4.160780906677246,0.0,5.160780906677246,4.210752487182617,data,70.00314331054688
qlib\qlib\utils\serial.py,5.337789058685303,10.454839706420898,15.69420051574707,5.325010776519775,28.148418426513672,2.5057241916656494,9.30531120300293,5.599910259246826,72.85144805908203,utils,72.85144805908203
qlib\qlib\rl\utils\env_wrapper.py,1.89320969581604,12.223572731018066,2.5626120567321777,16.205432891845703,85.9976806640625,59.44679260253906,8.889015197753906,6.830270767211914,85.32151794433594,rl,85.9976806640625
qlib\qlib\model\riskmodel\shrink.py,2.407864570617676,6.264337062835693,24.29505157470703,53.439579010009766,5.479406356811523,18.491968154907227,6.467499256134033,9.640390396118164,9.361900329589844,model,53.439579010009766
qlib\qlib\rl\trainer\trainer.py,7.520981788635254,13.247184753417969,24.04381561279297,15.720441818237305,79.99109649658203,76.88465118408203,17.62708854675293,50.66252517700195,18.159406661987305,rl,79.99109649658203
