file_path,dns,http_general,httpserver,pools,sampling,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\coro\test\HttpWtUpstreamTests.cpp,1.000332236289978,48.52541732788086,5.807228088378906,2.260979175567627,2.9074487974867225E-4,4.799330711364746,50.76335906982422,124.54290008544922,transport,124.54290008544922
proxygen\proxygen\lib\http\codec\test\CodecUtilTests.cpp,19.217304229736328,47.230812072753906,4.109982967376709,1.3140652179718018,3.3100121072493494E-4,2.7133588790893555,17.558753967285156,0.9671902656555176,http_general,47.230812072753906
proxygen\proxygen\lib\http\structuredheaders\StructuredFields.h,12.97097396850586,45.32611846923828,3.751150369644165,7.203516006469727,3.4946700907312334E-4,1.893052101135254,12.781157493591309,0.2554853558540344,http_general,45.32611846923828
proxygen\proxygen\httpserver\samples\hq\HQClient.cpp,27.57525634765625,47.3329963684082,72.19776916503906,5.192502975463867,1.5462194681167603,10.438973426818848,12.02274227142334,76.2058334350586,transport,76.2058334350586
proxygen\proxygen\lib\http\HTTPMethod.h,1.0004980564117432,47.600425720214844,3.8027069568634033,1.3161957263946533,4.358328296802938E-4,1.355953335762024,1.2358728647232056,0.3649923801422119,http_general,47.600425720214844
proxygen\proxygen\httpclient\samples\curl\CurlClient.h,1.0005735158920288,44.34059524536133,4.279809474945068,3.746779441833496,5.018680822104216E-4,1.034820318222046,47.89335250854492,5.018680822104216E-4,ssl,47.89335250854492
proxygen\proxygen\lib\http\coro\HTTPEvents.h,1.000455379486084,46.636417388916016,3.306133985519409,1.0,3.984920622315258E-4,2.3832149505615234,1.1146507263183594,3.8447251319885254,http_general,46.636417388916016
proxygen\proxygen\lib\http\observer\HTTPTransactionObserverContainer.h,1.0004955530166626,47.51664352416992,3.801713466644287,2.319446325302124,4.336329293437302E-4,1.347267746925354,0.18068751692771912,0.3618086576461792,http_general,47.51664352416992
proxygen\proxygen\lib\pools\generators\ServerListGenerator.h,2.341794967651367,0.3128657639026642,5.951359272003174,130.00462341308594,3.8928177673369646E-4,1.6738086938858032,0.0,3.8928177673369646E-4,pools,130.00462341308594
proxygen\proxygen\lib\http\coro\filters\VisitorFilter.h,1.0004913806915283,47.894569396972656,3.475161075592041,1.9078893661499023,4.299128777347505E-4,1.693550944328308,1.178024172782898,0.3564782440662384,http_general,47.894569396972656
proxygen\proxygen\httpclient\samples\curl\CurlClient.cpp,1.0004756450653076,57.63894271850586,5.205828666687012,5.728708744049072,4.161402757745236E-4,2.111030101776123,77.7088623046875,1.345109462738037,ssl,77.7088623046875
proxygen\proxygen\lib\http\codec\HTTPChecks.h,1.0004980564117432,48.15835189819336,3.48651123046875,1.0,4.358328296802938E-4,3.1287481784820557,15.96302318572998,0.3649923801422119,http_general,48.15835189819336
proxygen\proxygen\lib\http\SynchronizedLruQuicPskCache.cpp,17.036008834838867,47.5235481262207,4.829961776733398,2.373842477798462,4.1971122846007347E-4,1.8850646018981934,29.197004318237305,9.68398666381836,http_general,47.5235481262207
proxygen\proxygen\httpserver\samples\push\PushStats.h,1.0004416704177856,38.00038528442383,97.78359985351562,1.0,3.864276804961264E-4,1.0,1.0,3.864276804961264E-4,httpserver,97.78359985351562
proxygen\proxygen\lib\utils\ZlibStreamDecompressor.h,19.67125701904297,0.25474682450294495,1.0004128217697144,1.8455939292907715,4.127967404201627E-4,0.28615379333496094,0.0,4.127967404201627E-4,dns,19.67125701904297
proxygen\proxygen\lib\http\codec\compress\experimental\simulator\HPACKScheme.h,2.536379814147949,47.62485885620117,8.802689552307129,3.843116283416748,3.9335587644018233E-4,3.47377347946167,0.15351098775863647,40.321861267089844,http_general,47.62485885620117
proxygen\proxygen\lib\http\codec\ResetsRateLimitFilter.h,1.0004913806915283,47.64882278442383,3.475161075592041,1.0,4.299128777347505E-4,2.7508294582366943,1.178024172782898,0.3564782440662384,http_general,47.64882278442383
proxygen\proxygen\lib\http\codec\compress\QPACKStaticHeaderTable.h,1.0005065202713013,48.173675537109375,3.500998020172119,1.0,4.4322083704173565E-4,2.7646145820617676,0.1877080649137497,0.3758593499660492,http_general,48.173675537109375
proxygen\proxygen\lib\stats\PeriodicStats.h,1.0004403591156006,0.2276211977005005,1.0003852844238281,1.0,3.852912341244519E-4,0.26199638843536377,0.0,3.852912341244519E-4,dns,1.0004403591156006
proxygen\proxygen\lib\http\codec\HeaderDecodeInfo.h,1.0004810094833374,48.61638259887695,3.8101956844329834,1.351915717124939,4.208862083032727E-4,3.0420360565185547,16.932798385620117,0.3438151478767395,http_general,48.61638259887695
proxygen\proxygen\httpclient\samples\websocket\main.cpp,2.393320322036743,51.090476989746094,7.274778366088867,2.686509132385254,1.8345296382904053,6.220676898956299,28.360116958618164,1.837458610534668,http_general,51.090476989746094
proxygen\proxygen\lib\http\codec\compress\HPACKHeaderName.h,1.0005133152008057,50.88460922241211,4.3268938064575195,1.3896703720092773,4.4919527135789394E-4,3.925523042678833,0.22117850184440613,0.4428061842918396,http_general,50.88460922241211
proxygen\proxygen\lib\http\session\SimpleController.h,1.0004892349243164,49.41729736328125,4.778243064880371,1.3065568208694458,4.280767170712352E-4,1.34391450881958,14.452030181884766,0.35387155413627625,http_general,49.41729736328125
proxygen\proxygen\lib\utils\AsyncTimeoutSet.h,1.0004591941833496,4.017653700429946E-4,1.0004017353057861,1.0,4.017653700429946E-4,0.03459065034985542,2.2858238220214844,4.017653700429946E-4,ssl,2.2858238220214844
proxygen\proxygen\lib\utils\test\PerfectIndexMapTest.cpp,1.000385046005249,50.137786865234375,3.982254981994629,1.397776484489441,3.369357727933675E-4,3.2048747539520264,16.674285888671875,0.4384430944919586,http_general,50.137786865234375
proxygen\proxygen\lib\http\connpool\SessionHolder.h,1.00042724609375,48.11247253417969,3.377758264541626,2.0,3.7379577406682074E-4,1.559083342552185,11.772419929504395,0.28341221809387207,http_general,48.11247253417969
proxygen\proxygen\lib\pools\generators\FileServerListGenerator.h,1.0004717111587524,0.6503199934959412,2.4055042266845703,219.80491638183594,4.127967404201627E-4,0.3388349413871765,1.1526851654052734,4.127967404201627E-4,pools,219.80491638183594
proxygen\proxygen\lib\http\codec\compress\test\HPACKCodecTests.cpp,31.05892562866211,44.726924896240234,8.857377052307129,6.152169704437256,0.2542330324649811,3.4799997806549072,1.62056303024292,40.1192626953125,http_general,44.726924896240234
proxygen\proxygen\httpserver\RequestHandler.h,1.0005202293395996,38.00045394897461,95.0364990234375,2.2227025032043457,4.5523347216658294E-4,1.3030376434326172,1.0,4.5523347216658294E-4,httpserver,95.0364990234375
proxygen\proxygen\lib\http\webtransport\WtEgressContainer.cpp,1.000503420829773,47.87364959716797,3.3963828086853027,1.0,1.7192264795303345,1.7634735107421875,0.14847838878631592,1.297397255897522,http_general,47.87364959716797
proxygen\proxygen\lib\http\codec\HTTP2Constants.cpp,1.0004665851593018,57.566532135009766,4.314605712890625,1.3957545757293701,4.083123058080673E-4,2.9542059898376465,12.665596008300781,0.8138862252235413,http_general,57.566532135009766
proxygen\proxygen\lib\http\coro\filters\MutateFilter.cpp,1.0004743337631226,47.69975280761719,3.44767689704895,1.0,4.150761233177036E-4,3.263314723968506,1.1677231788635254,0.3358613848686218,http_general,47.69975280761719
proxygen\proxygen\lib\http\codec\compress\test\HPACKBenchmark.cpp,1.0004972219467163,58.06562805175781,5.043304443359375,1.0,4.350351227913052E-4,3.387411117553711,1.3740395307540894,1.5457923412322998,http_general,58.06562805175781
proxygen\proxygen\lib\http\coro\HTTPStreamSourceHolder.h,1.0004692077636719,47.43048095703125,3.4395413398742676,1.0,4.105422704014927E-4,1.9145413637161255,1.1646740436553955,0.32975858449935913,http_general,47.43048095703125
proxygen\proxygen\lib\pools\generators\ServerListGenerator.cpp,2.245591402053833,4.244510200805962E-4,5.739658355712891,138.5007781982422,0.45442068576812744,1.1134130954742432,0.0,4.244510200805962E-4,pools,138.5007781982422
proxygen\proxygen\lib\http\session\test\HTTPSessionTest.h,1.000561237335205,50.13186264038086,2.40985369682312,1.0,4.910341231152415E-4,1.3079650402069092,1.1535110473632812,39.30751419067383,http_general,50.13186264038086
proxygen\proxygen\lib\http\coro\filters\RateLimitFilter.cpp,15.165376663208008,46.47732162475586,3.4029300212860107,1.0,3.8928177673369646E-4,2.0324463844299316,1.1509528160095215,0.3022947907447815,http_general,46.47732162475586
proxygen\proxygen\lib\http\coro\filters\StatsFilterUtil.cpp,1.0005285739898682,51.203731536865234,39.311336517333984,1.0,4.624600987881422E-4,3.6785502433776855,1.1588966846466064,0.31825584173202515,http_general,51.203731536865234
proxygen\proxygen\external\http_parser\http_parser.h,4.590416431427002,56.09349822998047,5.4261908531188965,2.7755074501037598,2.1785993576049805,11.336564064025879,23.886276245117188,4.011435508728027,http_general,56.09349822998047
proxygen\proxygen\lib\http\codec\compress\experimental\simulator\CompressionUtils.h,1.0005017518997192,48.005218505859375,3.8129286766052246,1.320223093032837,4.3901451863348484E-4,2.784020185470581,14.051718711853027,0.36963891983032227,http_general,48.005218505859375
proxygen\proxygen\lib\http\codec\HTTP2Framer.cpp,15.03869342803955,55.61910629272461,3.8674910068511963,3.080833673477173,1.0216763019561768,3.554936647415161,10.569722175598145,2.148411989212036,http_general,55.61910629272461
proxygen\proxygen\lib\http\structuredheaders\test\StructuredHeadersBufferTest.cpp,24.919511795043945,42.22180938720703,3.627652406692505,3.691357135772705,2.513221697881818E-4,1.2115422487258911,18.18831443786621,0.16056367754936218,http_general,42.22180938720703
proxygen\proxygen\lib\utils\SafePathUtils.cpp,30.200546264648438,0.34474945068359375,1.748623251914978,1.4120755195617676,3.197379410266876E-4,2.870521306991577,0.0,0.8300083875656128,dns,30.200546264648438
proxygen\proxygen\lib\utils\SafePathUtils.h,1.000483751296997,4.2325607500970364E-4,1.4197977781295776,1.4193745851516724,4.2325607500970364E-4,1.3818247318267822,0.0,4.2325607500970364E-4,httpserver,1.4197977781295776
proxygen\proxygen\httpserver\RequestHandlerAdaptor.cpp,1.0004229545593262,53.18156051635742,83.34952545166016,1.7106186151504517,3.7011486710980535E-4,3.499671459197998,17.65915298461914,39.3571662902832,httpserver,83.34952545166016
proxygen\proxygen\lib\http\coro\client\HTTPClient.h,1.0003421306610107,46.988895416259766,4.6791672706604,3.327332019805908,2.9936444479972124E-4,4.34365177154541,1.1017696857452393,3.20383882522583,http_general,46.988895416259766
proxygen\proxygen\lib\http\coro\HTTPError.h,1.0004652738571167,191.9466094970703,4.473022937774658,1.3552086353302002,4.0712501504458487E-4,5.023899078369141,19.20302391052246,101.0546646118164,http_general,191.9466094970703
proxygen\proxygen\httpserver\filters\CompressionFilter.h,1.0004315376281738,48.136138916015625,85.45535278320312,1.2493877410888672,3.7755060475319624E-4,2.2400450706481934,33.18928909301758,0.36434122920036316,httpserver,85.45535278320312
proxygen\proxygen\lib\stats\test\PeriodicStatsTest.cpp,1.000449538230896,3.9335587644018233E-4,1.0003933906555176,1.0,3.9335587644018233E-4,0.034116849303245544,0.0,3.9335587644018233E-4,dns,1.000449538230896
proxygen\proxygen\lib\transport\test\AsyncUDPSocketFactoryTest.cpp,1.0004769563674927,4.1738079744391143E-4,1.0004173517227173,1.0,4.1738079744391143E-4,0.0,0.0,93.61708068847656,transport,93.61708068847656
proxygen\proxygen\lib\stats\PeriodicStatsDataBase.h,1.000494122505188,4.3238577200099826E-4,1.0004323720932007,1.0,4.3238577200099826E-4,0.033896367996931076,0.0,4.3238577200099826E-4,dns,1.000494122505188
proxygen\proxygen\lib\stats\BaseStats.h,1.0004148483276367,0.3255067765712738,3.2652957439422607,1.3034871816635132,3.629663842730224E-4,0.35950967669487,0.0,3.629663842730224E-4,httpserver,3.2652957439422607
proxygen\proxygen\lib\http\coro\filters\test\Status1xxFilterTest.cpp,1.0005217790603638,47.50096893310547,3.439587354660034,1.839806079864502,4.565819981507957E-4,2.0009515285491943,12.534960746765137,0.32980459928512573,http_general,47.50096893310547
proxygen\proxygen\lib\http\session\test\ByteEventTrackerMocks.h,1.0005279779434204,49.90950393676758,3.493985652923584,1.0,4.6199493226595223E-4,1.3290157318115234,0.1850714087486267,0.37060481309890747,http_general,49.90950393676758
proxygen\proxygen\lib\http\coro\filters\test\MutateFilterTest.cpp,1.0004358291625977,46.461143493652344,4.708823204040527,43.461238861083984,3.813816583715379E-4,2.352712869644165,17.003887176513672,0.2925490438938141,http_general,46.461143493652344
proxygen\proxygen\lib\http\coro\client\ProxygenCertVerifier.h,1.0004850625991821,47.909767150878906,3.853733777999878,1.3888475894927979,4.244510200805962E-4,1.923822283744812,0.17417320609092712,0.3487708568572998,http_general,47.909767150878906
proxygen\proxygen\lib\transport\PersistentQuicTokenCache.h,1.0004948377609253,4.330084484536201E-4,1.411149501800537,1.4107165336608887,4.330084484536201E-4,0.034129150211811066,0.0,105.76374816894531,transport,105.76374816894531
proxygen\proxygen\lib\http\codec\HTTPCodecPrinter.cpp,13.317920684814453,51.80906295776367,4.217625141143799,1.7072865962982178,3.5608879989013076E-4,4.805960178375244,26.9992618560791,0.3828428387641907,http_general,51.80906295776367
proxygen\proxygen\lib\http\session\HTTPSessionAcceptor.h,1.0004615783691406,50.004852294921875,4.7059526443481445,4.168614864349365,4.0392420487478375E-4,2.5644888877868652,13.202215194702148,39.32101058959961,http_general,50.004852294921875
proxygen\proxygen\lib\http\codec\QPACKDecoderCodec.h,1.0004717111587524,59.01859664916992,4.254570007324219,1.2882782220840454,0.5190457701683044,3.8423500061035156,0.42521199584007263,2.9569544792175293,http_general,59.01859664916992
