file_path,contrib,data,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,57.719947814941406,17.65452003479004,14.135622024536133,9.404363632202148,10.937054634094238,84.27680969238281,7.443924903869629,10.269105911254883,20.656591415405273,strategy,84.27680969238281
qlib\qlib\rl\reward.py,3.331927537918091,1.3281861543655396,0.9302036166191101,90.44818115234375,0.0,1.7544368505477905,0.0,4.374569416046143,12.335664749145508,rl,90.44818115234375
qlib\qlib\contrib\model\pytorch_lstm.py,68.44855499267578,93.65068054199219,92.09252166748047,40.57832717895508,43.0426139831543,22.189857482910156,91.82560729980469,73.66437530517578,52.24893569946289,data,93.65068054199219
qlib\qlib\workflow\task\collect.py,11.329771041870117,15.218853950500488,13.841636657714844,9.291739463806152,22.911334991455078,14.29072093963623,10.870989799499512,17.296924591064453,148.91787719726562,workflow,148.91787719726562
qlib\qlib\rl\utils\log.py,13.142729759216309,54.83986282348633,11.675311088562012,70.02484893798828,22.39508628845215,13.570147514343262,11.341714859008789,67.73275756835938,40.143890380859375,rl,70.02484893798828
qlib\qlib\backtest\report.py,18.519214630126953,109.15628814697266,25.521162033081055,23.977510452270508,36.00973129272461,25.171167373657227,51.6737060546875,28.662355422973633,46.2559700012207,data,109.15628814697266
qlib\qlib\contrib\data\__init__.py,57.72470474243164,66.71148681640625,0.0,0.0,4.169467926025391,0.0,4.169467926025391,5.788233757019043,6.9994587898254395,data,66.71148681640625
qlib\qlib\rl\order_execution\simulator_simple.py,11.560873985290527,94.0515365600586,7.363094329833984,71.49897003173828,39.2017936706543,4.929234981536865,11.822301864624023,21.804140090942383,32.917598724365234,data,94.0515365600586
qlib\qlib\data\cache.py,24.22666358947754,128.68997192382812,45.099464416503906,87.26254272460938,76.91398620605469,26.74213981628418,33.80643844604492,39.8505744934082,69.2026596069336,data,128.68997192382812
qlib\qlib\contrib\report\data\ana.py,56.60975646972656,75.63168334960938,8.188371658325195,5.26024866104126,35.50220489501953,9.687042236328125,11.183786392211914,12.320185661315918,16.49695587158203,data,75.63168334960938
qlib\qlib\contrib\data\processor.py,56.281089782714844,79.08021545410156,3.142029285430908,4.457415580749512,22.234302520751953,6.4318389892578125,11.911191940307617,10.783697128295898,19.615047454833984,data,79.08021545410156
qlib\qlib\rl\strategy\__init__.py,5.010282516479492,0.0,0.0,89.49335479736328,0.0,96.38172149658203,0.0,5.010282516479492,5.260105609893799,strategy,96.38172149658203
qlib\qlib\rl\data\pickle_styled.py,12.812820434570312,109.68868255615234,8.538671493530273,71.52220153808594,29.74378776550293,4.8069353103637695,13.458649635314941,23.163402557373047,43.900943756103516,data,109.68868255615234
qlib\qlib\model\riskmodel\base.py,17.850982666015625,57.52703857421875,66.05780029296875,5.019756317138672,26.9829158782959,8.418625831604004,10.550019264221191,17.268142700195312,44.50958251953125,model,66.05780029296875
qlib\qlib\contrib\torch.py,56.81856155395508,72.42817687988281,1.3683840036392212,0.0,4.494837284088135,0.0,5.419328689575195,6.296151161193848,8.728026390075684,data,72.42817687988281
qlib\qlib\backtest\account.py,14.94125747680664,66.51304626464844,30.51956558227539,16.356367111206055,29.543262481689453,25.14244270324707,15.360760688781738,14.962770462036133,48.56912612915039,data,66.51304626464844
