file_path,configs,datasets,environments,robot_devices,utilities,best_module,best_likelihood
lerobot\src\lerobot\cameras\opencv\__init__.py,0.0,0.0,0.0,5.616353988647461,0.0,robot_devices,5.616353988647461
lerobot\examples\lekiwi\replay.py,15.485657691955566,35.59468460083008,0.8271817564964294,44.844398498535156,1.522130012512207,robot_devices,44.844398498535156
lerobot\src\lerobot\robots\openarm_follower\config_openarm_follower.py,14.100764274597168,3.8374783992767334,0.5883671045303345,50.28833770751953,1.3288280963897705,robot_devices,50.28833770751953
lerobot\src\lerobot\robots\hope_jr\hope_jr_hand.py,64.10021209716797,1.6008477210998535,0.9379148483276367,60.263492584228516,5.037108421325684,configs,64.10021209716797
lerobot\src\lerobot\envs\robomme.py,1.2859944105148315,38.35301208496094,2.5928306579589844,2.764078140258789,4.416513442993164,datasets,38.35301208496094
lerobot\src\lerobot\async_inference\robot_client.py,20.513690948486328,5.498353481292725,62.18830490112305,105.97350311279297,8.3016996383667,robot_devices,105.97350311279297
lerobot\tests\policies\pi0_pi05\test_pi05.py,21.760059356689453,36.55895233154297,3.35031795501709,31.074766159057617,3.2200796604156494,datasets,36.55895233154297
lerobot\src\lerobot\utils\robot_utils.py,0.0,0.0,0.6394578814506531,48.32862854003906,0.4969903528690338,robot_devices,48.32862854003906
lerobot\src\lerobot\motors\dynamixel\__init__.py,0.0,0.0,0.0,6.000463485717773,0.0,robot_devices,6.000463485717773
lerobot\tests\policies\test_gaussian_actor_config.py,23.199077606201172,40.11016845703125,4.19727897644043,29.045793533325195,4.471753120422363,datasets,40.11016845703125
lerobot\tests\policies\lingbot_va\test_modules.py,6.164295673370361,7.278950214385986,5.8030853271484375,29.182292938232422,7.652792930603027,robot_devices,29.182292938232422
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,12.634734153747559,33.39216995239258,2.9546918869018555,12.119138717651367,6.423534870147705,datasets,33.39216995239258
lerobot\src\lerobot\utils\io_utils.py,1.5958518981933594,11.14503288269043,0.0,3.247107744216919,6.237669467926025,datasets,11.14503288269043
lerobot\tests\policies\groot\test_groot_train_random_crop.py,13.75696849822998,6.174788475036621,3.455866813659668,33.11344909667969,5.804208278656006,robot_devices,33.11344909667969
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,23.290096282958984,44.4397087097168,6.3947649002075195,62.760284423828125,8.452665328979492,robot_devices,62.760284423828125
lerobot\src\lerobot\motors\robstride\robstride.py,2.9095818996429443,5.801760196685791,3.260948896408081,18.861392974853516,10.526530265808105,robot_devices,18.861392974853516
lerobot\examples\omx\record_grab.py,7.624650478363037,50.11210250854492,2.001866102218628,52.95399856567383,6.859284400939941,robot_devices,52.95399856567383
lerobot\src\lerobot\configs\policies.py,68.68848419189453,8.722712516784668,4.264646053314209,77.5248794555664,6.76273775100708,robot_devices,77.5248794555664
lerobot\tests\processor\test_migration_detection.py,78.59310150146484,13.066352844238281,3.8378632068634033,2.637542963027954,2.9805068969726562,configs,78.59310150146484
lerobot\tests\policies\test_gaussian_actor_policy.py,25.104095458984375,79.25786590576172,5.8229756355285645,7.231555938720703,7.477428436279297,datasets,79.25786590576172
lerobot\tests\fixtures\files.py,1.484419822692871,106.09136962890625,2.6346657276153564,0.40931496024131775,5.756364822387695,datasets,106.09136962890625
lerobot\tests\policies\pi0_pi05\test_pi0.py,21.613933563232422,37.79609298706055,3.4074814319610596,31.704984664916992,2.4601612091064453,datasets,37.79609298706055
lerobot\src\lerobot\async_inference\__init__.py,0.0,0.0,0.0,3.316499710083008,2.489370346069336,robot_devices,3.316499710083008
