file_path,cli,prompts,resources,server,tools,utilities,best_module,best_likelihood
fastmcp\tests\server\middleware\test_error_handling.py,56.05130386352539,4.8269195556640625,105.5135726928711,58.820308685302734,91.37654876708984,30.826780319213867,resources,105.5135726928711
fastmcp\logo.py,0.0,0.0,0.5969640612602234,0.0,1.0404187440872192,1.5580670833587646,utilities,1.5580670833587646
fastmcp\fastmcp_slim\fastmcp\experimental\transforms\__init__.py,11.97654914855957,0.0,0.7929264903068542,1.2202987670898438,0.0,1.4833753108978271,cli,11.97654914855957
fastmcp\tests\server\tasks\test_sync_function_task_disabled.py,17.119779586791992,55.60319900512695,52.3055305480957,51.78810119628906,31.071321487426758,9.05311393737793,prompts,55.60319900512695
fastmcp\tests\server\test_transport.py,17.76249885559082,2.8164408206939697,3.116044044494629,47.6551513671875,4.267356872558594,5.876548767089844,server,47.6551513671875
fastmcp\tests\utilities\test_version_check.py,14.373512268066406,3.335773229598999,23.40338897705078,2.166921615600586,2.4566869735717773,111.13064575195312,utilities,111.13064575195312
fastmcp\fastmcp_slim\fastmcp\cli\install\mcp_json.py,74.91736602783203,5.897981643676758,10.857945442199707,57.619136810302734,26.195560455322266,16.55682945251465,cli,74.91736602783203
fastmcp\examples\auth\google_oauth\server.py,41.00228500366211,2.046196699142456,1.6327929496765137,53.687652587890625,21.095584869384766,5.0305681228637695,server,53.687652587890625
fastmcp\tests\client\transports\test_transports.py,65.02735900878906,3.4114818572998047,15.622363090515137,51.011837005615234,18.61745834350586,24.095155715942383,cli,65.02735900878906
fastmcp\fastmcp_slim\fastmcp\cli\__init__.py,83.9004898071289,0.0,2.1549360752105713,1.2192836999893188,0.30751001834869385,10.880926132202148,cli,83.9004898071289
fastmcp\tests\server\tasks\test_snapshot_restore.py,54.129032135009766,3.0846104621887207,13.913783073425293,51.1171989440918,43.08461380004883,9.61542797088623,cli,54.129032135009766
fastmcp\scripts\auto_close_needs_mre.py,51.65755081176758,1.843997597694397,20.513866424560547,8.392763137817383,14.302698135375977,12.676919937133789,cli,51.65755081176758
fastmcp\fastmcp_slim\fastmcp\server\transforms\__init__.py,34.770668029785156,144.3917999267578,127.59870910644531,56.83573913574219,86.8966293334961,9.517131805419922,prompts,144.3917999267578
fastmcp\examples\apps\form\form_server.py,6.744266986846924,2.4355618953704834,8.606569290161133,53.25711441040039,5.353890895843506,12.002707481384277,server,53.25711441040039
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\debug.py,46.44844436645508,0.5326157808303833,3.7849090099334717,48.8020133972168,15.68769645690918,6.714671611785889,server,48.8020133972168
fastmcp\tests\cli\test_cursor.py,122.31620788574219,6.328308582305908,24.187803268432617,57.26029586791992,7.774174213409424,12.745321273803711,cli,122.31620788574219
fastmcp\fastmcp_slim\fastmcp\server\providers\openapi\components.py,64.90455627441406,12.955597877502441,62.44236373901367,51.181007385253906,19.761024475097656,28.15802001953125,cli,64.90455627441406
fastmcp\tests\resources\test_resource_template.py,37.475059509277344,15.346709251403809,121.27201843261719,7.220005035400391,9.975448608398438,22.532014846801758,resources,121.27201843261719
fastmcp\tests\utilities\test_inspect.py,54.68146514892578,154.85169982910156,148.6403045654297,66.9952621459961,125.47584533691406,82.9838638305664,prompts,154.85169982910156
fastmcp\tests\server\providers\openapi\test_server.py,66.76354217529297,5.528171539306641,11.633938789367676,64.30571746826172,91.6773910522461,33.75279998779297,tools,91.6773910522461
fastmcp\fastmcp_slim\fastmcp\cli\client.py,88.07251739501953,138.5924835205078,141.86227416992188,73.00773620605469,102.59394836425781,27.190597534179688,resources,141.86227416992188
fastmcp\tests\utilities\json_schema_type\test_advanced.py,3.588756799697876,6.398697376251221,13.549466133117676,1.307532548904419,4.843117713928223,73.2704849243164,utilities,73.2704849243164
fastmcp\fastmcp_slim\fastmcp\apps\generative.py,38.7760009765625,113.41612243652344,162.32345581054688,11.588238716125488,94.24818420410156,23.09459114074707,resources,162.32345581054688
fastmcp\examples\auth\aws_oauth\client.py,47.65601348876953,1.937394142150879,8.00377082824707,52.71760940551758,93.63806915283203,7.36337947845459,tools,93.63806915283203
fastmcp\tests\server\middleware\test_tool_injection.py,55.19381332397461,6.8568339347839355,7.391550064086914,57.510799407958984,98.58221435546875,18.806943893432617,tools,98.58221435546875
fastmcp\fastmcp_slim\fastmcp\utilities\exceptions.py,49.19526672363281,7.175445079803467,3.9995453357696533,5.747271537780762,3.7370009422302246,94.8047103881836,utilities,94.8047103881836
fastmcp\tests\conftest.py,52.93668746948242,34.651580810546875,123.00032043457031,60.193023681640625,78.8753433227539,30.89879608154297,resources,123.00032043457031
fastmcp\tests\server\tasks\test_task_capabilities.py,67.53588104248047,82.15205383300781,74.66919708251953,57.47844696044922,92.37744140625,26.538719177246094,tools,92.37744140625
fastmcp\tests\server\auth\oauth_proxy\test_tokens.py,87.35096740722656,6.8352789878845215,29.421693801879883,47.41920852661133,10.54830551147461,16.773828506469727,cli,87.35096740722656
fastmcp\examples\namespace_activation\server.py,16.362016677856445,0.0,12.432042121887207,53.173828125,84.1794204711914,8.009421348571777,tools,84.1794204711914
fastmcp\examples\atproto_mcp\src\atproto_mcp\__main__.py,3.320784091949463,1.5333566665649414,0.6400664448738098,1.5333566665649414,1.5333566665649414,1.5333566665649414,cli,3.320784091949463
fastmcp\fastmcp_slim\fastmcp\utilities\openapi\models.py,12.645805358886719,3.9995601177215576,5.905939102172852,3.1746673583984375,16.254215240478516,99.5069580078125,utilities,99.5069580078125
fastmcp\tests\tools\test_tool_timeout.py,21.172780990600586,2.058720111846924,7.78098726272583,13.090424537658691,98.35118103027344,18.054712295532227,tools,98.35118103027344
fastmcp\fastmcp_slim\fastmcp\server\sampling\sampling_tool.py,23.401731491088867,3.6735143661499023,7.439417839050293,49.99761199951172,99.093505859375,15.257436752319336,tools,99.093505859375
fastmcp\fastmcp_slim\fastmcp\server\middleware\ping.py,22.728227615356445,0.0,4.436230659484863,47.64107131958008,3.726572036743164,10.626524925231934,server,47.64107131958008
fastmcp\tests\utilities\test_inspect_icons.py,28.91533851623535,131.1132049560547,135.72406005859375,60.842891693115234,90.31490325927734,78.86689758300781,resources,135.72406005859375
fastmcp\fastmcp_slim\fastmcp\server\providers\local_provider\decorators\resources.py,31.941556930541992,4.436638832092285,131.6188507080078,57.22367858886719,16.670555114746094,25.842933654785156,resources,131.6188507080078
