file_path,cli,prompts,resources,server,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,21.84615707397461,6.959669589996338,43.42228698730469,58.31653594970703,15.645007133483887,91.79801177978516,utilities,91.79801177978516
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,58.55496597290039,4.869851589202881,62.260711669921875,54.90410614013672,27.232200622558594,18.30708885192871,resources,62.260711669921875
fastmcp\tests\deprecated\test_elicitation.py,59.453338623046875,5.0875563621521,9.25475788116455,4.079404354095459,27.0237979888916,8.916646003723145,cli,59.453338623046875
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,99.60982513427734,5.205587863922119,26.670103073120117,60.752071380615234,13.976438522338867,94.25837707519531,cli,99.60982513427734
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,56.260704040527344,3.146998882293701,50.77168655395508,62.38697052001953,3.9561688899993896,24.798866271972656,server,62.38697052001953
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,91.84477996826172,0.6704112887382507,2.330933094024658,53.31412124633789,2.7521350383758545,13.810938835144043,cli,91.84477996826172
fastmcp\examples\testing_demo\server.py,7.060125350952148,53.170928955078125,42.20341873168945,54.036006927490234,25.081941604614258,9.091181755065918,server,54.036006927490234
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,51.80028533935547,135.65036010742188,128.26255798339844,55.79258728027344,98.32249450683594,29.352922439575195,prompts,135.65036010742188
fastmcp\examples\desktop.py,4.157894611358643,3.558180809020996,41.15869140625,4.498457431793213,19.54037857055664,5.048407554626465,resources,41.15869140625
fastmcp\tests\cli\test_mcp_server_config_integration.py,96.17664337158203,6.485250473022461,61.74600601196289,58.393253326416016,25.315095901489258,27.702465057373047,cli,96.17664337158203
fastmcp\tests\server\middleware\test_rate_limiting.py,63.84751892089844,2.8532729148864746,11.530570030212402,60.56401062011719,31.824058532714844,9.034575462341309,cli,63.84751892089844
fastmcp\tests\tools\tool_transform\test_args.py,65.16674041748047,6.36820650100708,18.9274959564209,7.693415641784668,129.8006134033203,18.59710693359375,tools,129.8006134033203
