file_path,app,bin,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
celery\celery\backends\gcs.py,71.38655853271484,55.49534606933594,12.833595275878906,13.976727485656738,12.836663246154785,11.835987091064453,13.257852554321289,13.86909008026123,15.78510856628418,16.841114044189453,app,71.38655853271484
celery\celery\worker\pidbox.py,59.827579498291016,26.19659996032715,10.163275718688965,47.539825439453125,118.16568756103516,0.552058219909668,8.038344383239746,5.234003067016602,11.72574234008789,67.16402435302734,events,118.16568756103516
celery\celery\app\defaults.py,82.3157730102539,68.04472351074219,75.7081069946289,46.09508514404297,116.22296142578125,8.892844200134277,19.970714569091797,125.41402435302734,24.19289779663086,94.78497314453125,security,125.41402435302734
celery\celery\security\key.py,7.338258743286133,10.781031608581543,4.1720499992370605,7.136137962341309,1.82967209815979,1.82967209815979,2.0422842502593994,136.50819396972656,8.596750259399414,2.0381269454956055,security,136.50819396972656
celery\celery\utils\debug.py,50.02914810180664,29.74285125732422,4.164325714111328,3.7438344955444336,10.157899856567383,3.4851572513580322,4.961176872253418,2.0132174491882324,100.63896179199219,4.319177627563477,utils,100.63896179199219
celery\celery\worker\heartbeat.py,9.398591041564941,18.988597869873047,4.269890785217285,2.2619082927703857,86.28483581542969,1.4906573295593262,7.181243896484375,0.93047034740448,8.851877212524414,79.20819854736328,events,86.28483581542969
celery\celery\concurrency\base.py,79.68209075927734,35.94279098510742,115.12794494628906,8.569518089294434,44.095054626464844,5.916847229003906,16.235580444335938,6.82818078994751,19.729228973388672,60.0322380065918,concurrency,115.12794494628906
celery\celery\app\control.py,82.60881042480469,64.88237762451172,20.330408096313477,62.093204498291016,89.20930480957031,3.7986371517181396,56.963844299316406,7.9047417640686035,19.21229362487793,23.76187515258789,events,89.20930480957031
celery\celery\utils\term.py,22.04047203063965,21.716880798339844,10.571850776672363,10.55870532989502,3.257631540298462,4.979636192321777,2.598630666732788,5.133505344390869,74.3951187133789,3.6644399166107178,utils,74.3951187133789
celery\celery\events\event.py,9.437105178833008,9.117109298706055,2.8080878257751465,3.482919692993164,130.0001983642578,3.0000667572021484,3.2407259941101074,5.043405532836914,7.664914608001709,3.482919692993164,events,130.0001983642578
celery\celery\concurrency\eventlet.py,72.50994110107422,43.069366455078125,113.11235809326172,8.400826454162598,11.09254264831543,6.4893670082092285,14.016975402832031,7.795542240142822,18.587039947509766,13.189851760864258,concurrency,113.11235809326172
celery\celery\backends\cosmosdbsql.py,49.181968688964844,22.24602508544922,2.2243151664733887,3.360703229904175,2.909080743789673,1.1551109552383423,4.634026050567627,2.601865291595459,6.259680271148682,2.8478024005889893,app,49.181968688964844
celery\celery\backends\base.py,93.63169860839844,66.3542709350586,22.59781265258789,25.356840133666992,26.3793888092041,13.384873390197754,43.68868637084961,62.107093811035156,30.194725036621094,81.13064575195312,app,93.63169860839844
celery\celery\apps\multi.py,79.27979278564453,87.52734375,4.911771774291992,9.208625793457031,12.1265287399292,4.555972099304199,27.774932861328125,3.9213857650756836,41.4366340637207,80.41029357910156,bin,87.52734375
celery\celery\bin\multi.py,30.152524948120117,137.63604736328125,8.110523223876953,11.06651782989502,16.648571014404297,9.33084774017334,10.89449691772461,5.015708923339844,46.51136779785156,10.523937225341797,bin,137.63604736328125
celery\celery\_state.py,91.24756622314453,28.882919311523438,8.436386108398438,6.308557987213135,11.32690143585205,112.40819549560547,60.03505325317383,5.650534152984619,28.523134231567383,80.07923889160156,fixups,112.40819549560547
celery\celery\worker\autoscale.py,9.112048149108887,39.44832992553711,125.87220001220703,2.7407000064849854,36.75161361694336,0.0,10.23519229888916,5.9915385246276855,4.925130367279053,83.10140228271484,concurrency,125.87220001220703
celery\celery\worker\consumer\tasks.py,68.00899505615234,29.182056427001953,92.9405288696289,10.695331573486328,8.958895683288574,2.2826876640319824,11.306753158569336,8.806122779846191,6.843443870544434,108.95716094970703,worker,108.95716094970703
