file_path,dns,general,http_general,httpserver,pools,sampling,services,transport,best_module,best_likelihood
proxygen\proxygen\httpserver\SignalHandler.h,2.5187597274780273,1.0004405975341797,38.00044250488281,114.45143127441406,3.8219075202941895,4.4062285451218486E-4,1.0267800092697144,4.4062285451218486E-4,httpserver,114.45143127441406
proxygen\proxygen\lib\stats\ResourceData.h,1.0003716945648193,0.883842408657074,0.2402712106704712,1.000325322151184,1.0,3.2527209259569645E-4,1.2715903520584106,3.2527209259569645E-4,services,1.2715903520584106
proxygen\proxygen\lib\transport\test\H3DatagramAsyncSocketTest.cpp,7.031133651733398,8.556185722351074,45.98600387573242,4.3294830322265625,2.141901969909668,1.5849988460540771,9.137224197387695,86.38221740722656,transport,86.38221740722656
proxygen\proxygen\lib\http\codec\test\HQFramerTest.h,1.0005676746368408,4.251419544219971,46.038719177246094,4.372076034545898,1.8882732391357422,4.966683336533606E-4,3.079594373703003,5.421225547790527,http_general,46.038719177246094
proxygen\proxygen\lib\http\coro\filters\test\VisitorFilterTest.cpp,1.0004148483276367,4.025218963623047,46.067508697509766,4.6643385887146,1.3034871816635132,3.629663842730224E-4,2.5502305030822754,0.27072930335998535,http_general,46.067508697509766
proxygen\proxygen\httpserver\samples\proxy\ProxyStats.h,1.0004416704177856,1.0003864765167236,38.00038528442383,97.78359985351562,3.5522589683532715,3.864276804961264E-4,1.0,3.864276804961264E-4,httpserver,97.78359985351562
proxygen\proxygen\lib\http\codec\HQUnidirectionalCodec.h,1.0005155801773071,3.5402016639709473,47.855369567871094,3.424175500869751,1.0,4.511020961217582E-4,2.9240710735321045,1.318244457244873,http_general,47.855369567871094
proxygen\proxygen\lib\http\coro\server\HTTPServer.h,19.44083595275879,8.386727333068848,50.829261779785156,121.15899658203125,8.693660736083984,106.04450988769531,7.290949821472168,48.99026870727539,httpserver,121.15899658203125
proxygen\proxygen\lib\http\codec\HTTPParallelCodec.h,2.0004496574401855,4.79241943359375,47.32024383544922,4.614141941070557,3.31543231010437,1.0003933906555176,2.6571335792541504,41.30741500854492,http_general,47.32024383544922
proxygen\proxygen\lib\http\HTTPConnectorWithFizz.h,1.0004850625991821,2.159614086151123,47.48665237426758,3.8197827339172363,1.3548963069915771,4.244510200805962E-4,1.6566842794418335,0.3487708568572998,http_general,47.48665237426758
proxygen\proxygen\lib\utils\TestUtils.h,15.65368938446045,2.77667498588562,1.6348114013671875,2.7038214206695557,43.12233352661133,3.2397365430369973E-4,0.5382426977157593,3.2397365430369973E-4,pools,43.12233352661133
proxygen\proxygen\lib\http\codec\compress\HPACKEncodeBuffer.h,1.0004591941833496,3.5401523113250732,46.85531997680664,4.37504768371582,2.3845086097717285,4.017653700429946E-4,2.921776294708252,0.3181951344013214,http_general,46.85531997680664
