file_path,backtest,data,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,5.061618328094482,85.60941314697266,20.320926666259766,6.011909008026123,15.494851112365723,10.757989883422852,111.45012664794922,20.25400733947754,18.16933250427246,tests,111.45012664794922
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,6.344006061553955,16.35146141052246,19.52018165588379,9.116342544555664,11.031488418579102,86.11144256591797,6.801574230194092,12.268616676330566,14.151299476623535,strategy,86.11144256591797
qlib\qlib\rl\reward.py,10.12188720703125,1.0585135221481323,2.8111016750335693,85.2225112915039,1.0585135221481323,4.9287333488464355,1.0012303590774536,5.278863906860352,12.273388862609863,rl,85.2225112915039
qlib\tests\ops\test_special_ops.py,5.855324745178223,79.88224029541016,11.615545272827148,3.2708191871643066,8.42357063293457,10.935629844665527,114.24658966064453,15.69226360321045,13.251052856445312,tests,114.24658966064453
qlib\qlib\contrib\model\pytorch_lstm.py,10.410177230834961,79.63524627685547,117.39735412597656,37.12358093261719,45.13248062133789,27.148038864135742,81.82073974609375,81.30776977539062,36.240928649902344,model,117.39735412597656
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,12.275127410888672,78.4659194946289,88.29647064208984,10.211515426635742,12.577322959899902,16.47916603088379,19.992223739624023,26.520187377929688,113.61161804199219,workflow,113.61161804199219
qlib\qlib\workflow\task\collect.py,13.950053215026855,15.95287799835205,23.455583572387695,8.974994659423828,16.681419372558594,18.03875732421875,11.842667579650879,20.0701961517334,122.77171325683594,workflow,122.77171325683594
qlib\qlib\rl\utils\log.py,6.472015380859375,48.844566345214844,16.45549774169922,65.52288055419922,21.540571212768555,18.280109405517578,12.670302391052246,72.97289276123047,30.012474060058594,utils,72.97289276123047
qlib\qlib\backtest\report.py,72.97623443603516,99.62197875976562,37.82366180419922,22.102279663085938,38.45539474487305,40.98847579956055,46.80617904663086,28.457948684692383,38.76412582397461,data,99.62197875976562
qlib\qlib\contrib\data\__init__.py,0.06451363861560822,58.698143005371094,2.398397922515869,1.001301884651184,4.06226110458374,2.398397922515869,4.999049186706543,6.7972517013549805,3.730980396270752,data,58.698143005371094
qlib\qlib\rl\order_execution\simulator_simple.py,114.87700653076172,83.20952606201172,13.450825691223145,69.707763671875,40.94491195678711,13.39133071899414,13.042801856994629,25.06479263305664,27.238840103149414,backtest,114.87700653076172
qlib\examples\data_demo\data_mem_resuse_demo.py,8.776079177856445,82.39839172363281,21.91996192932129,6.962350845336914,10.68659782409668,12.215396881103516,16.111644744873047,20.6502742767334,120.97537231445312,workflow,120.97537231445312
qlib\qlib\data\cache.py,19.396944046020508,115.91080474853516,60.038734436035156,79.89983367919922,76.14008331298828,32.653289794921875,32.402069091796875,39.718231201171875,43.834815979003906,data,115.91080474853516
qlib\qlib\contrib\report\data\ana.py,3.6710970401763916,68.60887145996094,15.901768684387207,2.922945737838745,36.527008056640625,15.325428009033203,10.93920612335205,16.182817459106445,10.693307876586914,data,68.60887145996094
qlib\examples\highfreq\highfreq_processor.py,1.5525885820388794,67.83018493652344,9.424715042114258,2.3893396854400635,5.559876918792725,6.316100120544434,16.90319061279297,12.066851615905762,8.961873054504395,data,67.83018493652344
qlib\qlib\contrib\data\processor.py,1.6992156505584717,68.64310455322266,10.472800254821777,2.722540855407715,22.085792541503906,10.177810668945312,10.724820137023926,13.623019218444824,11.782201766967773,data,68.64310455322266
qlib\qlib\rl\strategy\__init__.py,2.6915533542633057,0.06443000584840775,1.0657309293746948,84.35688781738281,0.06443000584840775,100.89641571044922,1.0013008117675781,5.94570779800415,8.947101593017578,strategy,100.89641571044922
qlib\scripts\get_data.py,4.465599060058594,63.676841735839844,10.595674514770508,4.958858966827393,13.326986312866211,6.83971643447876,8.95145320892334,13.233268737792969,7.790106773376465,data,63.676841735839844
qlib\qlib\rl\data\pickle_styled.py,107.68804168701172,96.001953125,14.85821533203125,70.2528305053711,28.424236297607422,15.403213500976562,14.117415428161621,26.443199157714844,33.69284439086914,backtest,107.68804168701172
qlib\tests\misc\test_sepdf.py,1.2500728368759155,57.722774505615234,7.656698703765869,1.5675376653671265,4.960833549499512,4.390134811401367,108.3846435546875,14.14575481414795,8.293794631958008,tests,108.3846435546875
qlib\qlib\model\riskmodel\base.py,7.023838996887207,57.72773361206055,79.7164306640625,4.579771995544434,26.753582000732422,11.725768089294434,11.471152305603027,19.16071128845215,24.67791748046875,model,79.7164306640625
qlib\tests\rl\test_finite_env.py,5.004547119140625,54.709144592285156,12.30485725402832,64.66605377197266,29.43595314025879,9.385263442993164,106.45791625976562,12.82640552520752,23.749582290649414,tests,106.45791625976562
qlib\qlib\contrib\torch.py,0.0,62.752052307128906,2.5941338539123535,1.001240611076355,4.2785491943359375,2.4274237155914307,6.254482746124268,7.223929405212402,5.2436370849609375,data,62.752052307128906
qlib\qlib\backtest\account.py,85.68367767333984,59.63569259643555,37.70912551879883,15.356854438781738,31.83388900756836,30.94422149658203,15.175324440002441,15.355754852294922,33.850101470947266,backtest,85.68367767333984
qlib\qlib\rl\order_execution\interpreter.py,3.8860297203063965,80.96257019042969,11.206060409545898,68.91365051269531,47.447608947753906,7.712672710418701,9.936198234558105,20.249860763549805,18.67064666748047,data,80.96257019042969
qlib\qlib\contrib\model\pytorch_gats.py,11.55321216583252,101.26889038085938,132.52999877929688,37.26697540283203,54.01984405517578,30.729724884033203,81.27940368652344,81.29891967773438,38.75285720825195,model,132.52999877929688
qlib\tests\model\test_general_nn.py,6.013315677642822,80.63741302490234,99.65581512451172,5.563695430755615,21.350378036499023,14.236129760742188,148.35360717773438,22.521364212036133,21.602569580078125,tests,148.35360717773438
qlib\qlib\backtest\utils.py,80.20045471191406,72.40036010742188,8.768311500549316,5.3127617835998535,56.204410552978516,16.653648376464844,15.174514770507812,82.99117279052734,15.01490592956543,utils,82.99117279052734
qlib\qlib\contrib\model\pytorch_adarnn.py,16.799196243286133,108.16029357910156,125.34188842773438,46.727474212646484,60.16722869873047,30.753820419311523,74.60903930664062,88.03838348388672,43.086997985839844,model,125.34188842773438
