file_path,general,http_general,httpserver,pools,sampling,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\HTTPConnectorWithFizz.h,2.195998191833496,47.7757568359375,3.8405041694641113,1.3612565994262695,4.320578882470727E-4,1.6720376014709473,2.6325576305389404,0.35954371094703674,http_general,47.7757568359375
proxygen\proxygen\lib\utils\TestUtils.h,2.8215320110321045,1.6529419422149658,2.7626824378967285,43.881980895996094,3.45650187227875E-4,0.5530905723571777,14.969294548034668,3.45650187227875E-4,pools,43.881980895996094
proxygen\proxygen\lib\http\codec\compress\HPACKEncodeBuffer.h,3.8254129886627197,48.430572509765625,4.619625568389893,2.4939534664154053,4.4248750782571733E-4,3.0818841457366943,0.18716298043727875,0.3747684359550476,http_general,48.430572509765625
proxygen\proxygen\lib\http\codec\CapsuleCodec.h,4.084214687347412,54.83721160888672,3.5169906616210938,1.9878445863723755,4.5116583351045847E-4,3.202916145324707,0.19370228052139282,103.88028717041016,transport,103.88028717041016
proxygen\proxygen\lib\http\StatusTypeEnum.h,4.202676773071289,58.186798095703125,8.138622283935547,85.08988952636719,3.8312605465762317E-4,12.702313423156738,5.97572135925293,4.47471809387207,pools,85.08988952636719
proxygen\proxygen\lib\http\HQConnector.cpp,4.838352680206299,50.38393783569336,3.6768040657043457,1.2665776014328003,4.270050267223269E-4,5.914074897766113,2.5867919921875,44.66234588623047,http_general,50.38393783569336
proxygen\proxygen\lib\http\coro\filters\Logger.h,5.610379695892334,54.012969970703125,4.609829902648926,1.4019190073013306,178.11231994628906,3.3160176277160645,1.1522189378738403,39.30486297607422,sampling,178.11231994628906
proxygen\proxygen\lib\http\codec\compress\QPACKStaticHeaderTable.cpp,10.388861656188965,58.35240936279297,3.993353843688965,4.954248428344727,3.624837875366211,3.391937017440796,22.3670711517334,8.48840618133545,http_general,58.35240936279297
proxygen\proxygen\lib\http\coro\filters\test\CompressionFilterTests.cpp,6.046945095062256,56.17285919189453,5.508844375610352,35.412818908691406,4.0385909960605204E-4,4.455774307250977,35.43575668334961,0.41973480582237244,http_general,56.17285919189453
proxygen\proxygen\lib\http\coro\util\CancellableBaton.h,2.112215518951416,47.80293655395508,3.4701156616210938,1.0,4.272432124707848E-4,1.696331262588501,0.1761331409215927,0.3526935279369354,http_general,47.80293655395508
proxygen\proxygen\lib\http\coro\server\ScopedHTTPServer.h,3.1650049686431885,48.91825485229492,120.62969970703125,5.398197174072266,4.4765399070456624E-4,6.164099216461182,1.1910325288772583,0.382512629032135,httpserver,120.62969970703125
proxygen\proxygen\lib\sampling\Sampling.cpp,0.2647571861743927,4.2566205956973135E-4,1.304032325744629,2.196180582046509,194.9215087890625,0.02957482635974884,0.0,4.2566205956973135E-4,sampling,194.9215087890625
proxygen\proxygen\lib\utils\HTTPTime.h,1.0004444122314453,38.00044250488281,2.3275434970855713,1.327099084854126,4.4436840107664466E-4,1.027180790901184,0.0,4.4436840107664466E-4,http_general,38.00044250488281
proxygen\proxygen\lib\http\stats\HeaderCodecStats.h,1.5489531755447388,47.336090087890625,2.7806103229522705,1.3074896335601807,4.2883612331934273E-4,1.3497955799102783,0.1772594451904297,0.3549477159976959,http_general,47.336090087890625
proxygen\proxygen\lib\http\webtransport\HTTPWebTransport.h,3.2414262294769287,54.840755462646484,2.890704870223999,2.4083101749420166,1.000457525253296,1.3558541536331177,18.51298713684082,2.361910581588745,http_general,54.840755462646484
proxygen\proxygen\lib\http\codec\compress\HPACKHeader.h,5.221606254577637,48.1257438659668,3.857631206512451,2.535266876220703,4.2609532829374075E-4,3.5511841773986816,0.1753252148628235,0.35107651352882385,http_general,48.1257438659668
proxygen\proxygen\lib\http\codec\HTTPCodecPrinter.h,4.503647327423096,51.59773635864258,3.524315357208252,1.0,4.5473326463252306E-4,3.5039706230163574,14.953572273254395,0.3933502435684204,http_general,51.59773635864258
proxygen\proxygen\lib\http\codec\webtransport\test\WebTransportCapsuleCodecTest.cpp,4.120408058166504,45.090919494628906,3.24176025390625,1.9381517171859741,2.752067521214485E-4,3.1013729572296143,0.09055688977241516,1.1813889741897583,http_general,45.090919494628906
proxygen\proxygen\lib\http\test\HTTPMessageTest.cpp,8.876426696777344,65.12202453613281,9.173262596130371,4.789766311645508,1.8787482986226678E-4,9.779423713684082,47.1995849609375,1.3355964422225952,http_general,65.12202453613281
proxygen\proxygen\lib\http\coro\filters\Status1xxFilter.h,2.1815831661224365,49.71737289428711,3.566450357437134,1.0,4.744277393911034E-4,1.7365655899047852,1.2122410535812378,0.42495644092559814,http_general,49.71737289428711
proxygen\proxygen\lib\http\coro\transport\HTTPConnectAsyncTransport.cpp,4.768980503082275,46.795047760009766,3.392779588699341,1.7504301071166992,3.8312605465762317E-4,3.6818649768829346,12.200935363769531,98.87286376953125,transport,98.87286376953125
proxygen\proxygen\lib\utils\test\ZlibTests.cpp,1.3527594804763794,0.3335017263889313,1.0003461837768555,2.115172863006592,3.4622190287336707E-4,0.3673757314682007,0.0,3.4622190287336707E-4,pools,2.115172863006592
proxygen\proxygen\httpserver\samples\echo\EchoHandler.cpp,2.5910542011260986,38.303253173828125,101.97005462646484,3.471386194229126,4.5653816778212786E-4,1.7347265481948853,1.0,4.5653816778212786E-4,httpserver,101.97005462646484
proxygen\proxygen\lib\services\AcceptorConfiguration.h,4.909731864929199,40.00043487548828,5.3165154457092285,2.316079616546631,4.3574071605689824E-4,147.935302734375,0.0,4.3574071605689824E-4,services,147.935302734375
proxygen\proxygen\lib\http\coro\filters\test\DecompressionFilterTest.cpp,3.689265012741089,51.181724548339844,4.99377965927124,3.457033157348633,3.768904134631157E-4,2.6465957164764404,35.324581146240234,0.47265100479125977,http_general,51.181724548339844
proxygen\proxygen\lib\http\codec\compress\HPACKCodec.cpp,10.514076232910156,58.782466888427734,3.9919538497924805,1.3555138111114502,2.4301791191101074,3.9425113201141357,19.339616775512695,39.47743606567383,http_general,58.782466888427734
proxygen\proxygen\lib\http\coro\filters\DecompressionFilterFactory.cpp,2.1413447856903076,49.446048736572266,5.513699531555176,2.0,4.686288011725992E-4,1.7480943202972412,1.2074753046035767,0.415419340133667,http_general,49.446048736572266
proxygen\proxygen\lib\http\connpool\SessionHolder.cpp,6.586770534515381,48.494056701660156,6.627157211303711,5.22506856918335,1.4727230072021484,6.8277692794799805,34.77560806274414,105.50606536865234,transport,105.50606536865234
