file_path,contrib,data,model,rl,run,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,51.67576599121094,13.566570281982422,12.686607360839844,6.973977088928223,9.742197036743164,78.79630279541016,4.313005447387695,3.314352512359619,18.156654357910156,strategy,78.79630279541016
qlib\qlib\rl\reward.py,0.0,1.3281861543655396,0.9302036166191101,83.30564880371094,0.0,1.7544368505477905,0.0,0.5366533398628235,7.017887592315674,rl,83.30564880371094
qlib\qlib\contrib\model\pytorch_lstm.py,54.717464447021484,84.3814697265625,86.62641906738281,32.955387115478516,40.787353515625,20.322053909301758,81.65070343017578,62.12674331665039,44.56764602661133,model,86.62641906738281
qlib\qlib\workflow\task\collect.py,4.170142650604248,12.017854690551758,11.425832748413086,5.671524524688721,18.574113845825195,12.03252124786377,5.235419273376465,7.293567180633545,134.62110900878906,workflow,134.62110900878906
qlib\qlib\rl\utils\log.py,5.249903202056885,49.80669021606445,11.353303909301758,63.068302154541016,18.86243438720703,12.709833145141602,6.848855495452881,60.54221725463867,29.846723556518555,rl,63.068302154541016
qlib\qlib\backtest\report.py,4.7270965576171875,95.8411636352539,19.846019744873047,17.20953369140625,28.02642059326172,16.986684799194336,38.58441925048828,10.530680656433105,31.770095825195312,data,95.8411636352539
qlib\qlib\contrib\data\__init__.py,56.2845344543457,61.15219497680664,0.0,0.0,4.169467926025391,0.0,2.7796452045440674,2.7796452045440674,5.559290409088135,data,61.15219497680664
qlib\qlib\rl\order_execution\simulator_simple.py,2.6907801628112793,86.48575592041016,6.801759719848633,64.91233825683594,35.80815505981445,3.4162437915802,7.497010707855225,9.845653533935547,23.735164642333984,data,86.48575592041016
qlib\qlib\data\cache.py,9.918867111206055,110.84102630615234,38.49003601074219,74.6707534790039,65.77403259277344,19.90180778503418,18.810251235961914,18.108814239501953,54.42872619628906,data,110.84102630615234
qlib\qlib\contrib\report\data\ana.py,51.22075653076172,67.7949447631836,6.68966817855835,2.083038330078125,32.45071029663086,5.8647565841674805,6.343046188354492,5.8065595626831055,13.139291763305664,data,67.7949447631836
qlib\qlib\contrib\data\processor.py,50.63884735107422,72.02139282226562,2.2723851203918457,0.7383933663368225,20.308513641357422,3.5658280849456787,7.762184143066406,5.966193199157715,16.671924591064453,data,72.02139282226562
qlib\qlib\rl\strategy\__init__.py,0.0,0.0,0.0,82.42808532714844,0.0,91.1718978881836,0.0,0.0,5.209822654724121,strategy,91.1718978881836
qlib\qlib\rl\data\pickle_styled.py,2.5931570529937744,99.49620056152344,7.090662002563477,63.89078140258789,23.761709213256836,2.603109359741211,6.432531356811523,12.167869567871094,33.71790313720703,data,99.49620056152344
qlib\qlib\model\riskmodel\base.py,7.576584815979004,51.65198516845703,61.671775817871094,3.2363712787628174,24.30547332763672,6.6352410316467285,5.554548263549805,10.037250518798828,34.93748474121094,model,61.671775817871094
qlib\qlib\contrib\torch.py,55.320281982421875,66.43505859375,0.13175293803215027,0.0,4.494837284088135,0.0,3.45880389213562,3.2744948863983154,7.229747295379639,data,66.43505859375
qlib\qlib\backtest\account.py,5.40245246887207,60.63352966308594,29.086776733398438,15.079133033752441,26.53183937072754,20.935453414916992,9.806205749511719,9.049861907958984,37.783695220947266,data,60.63352966308594
qlib\qlib\rl\order_execution\interpreter.py,3.767803192138672,84.27477264404297,6.711926460266113,67.7069091796875,44.990718841552734,2.89141845703125,6.592538356781006,10.000177383422852,29.40677261352539,data,84.27477264404297
qlib\qlib\contrib\model\pytorch_gats.py,53.549930572509766,108.3218002319336,97.29804229736328,32.10462188720703,48.505043029785156,22.787410736083984,79.73278045654297,61.30506134033203,56.081642150878906,data,108.3218002319336
qlib\qlib\backtest\utils.py,5.462255001068115,75.35972595214844,3.535085916519165,4.603855609893799,52.72486877441406,6.742547512054443,8.35507869720459,70.72393798828125,15.984603881835938,data,75.35972595214844
qlib\qlib\contrib\model\pytorch_adarnn.py,50.93362045288086,113.21329498291016,90.66738891601562,41.74454116821289,60.81304168701172,19.141151428222656,68.42924499511719,61.995628356933594,51.668601989746094,data,113.21329498291016
qlib\qlib\rl\simulator.py,0.0,0.4297906458377838,0.0,80.77442932128906,0.0,0.2035588026046753,0.0,0.24814198911190033,2.255434036254883,rl,80.77442932128906
