file_path,backtest,contrib,data,model,rl,run,tests,utils,workflow,best_module,best_likelihood
qlib\qlib\contrib\data\highfreq_provider.py,105.30794525146484,63.86906433105469,112.08216857910156,26.647098541259766,32.2296257019043,22.56886100769043,156.60052490234375,29.837175369262695,46.36172866821289,tests,156.60052490234375
qlib\qlib\rl\trainer\api.py,89.31236267089844,7.903841018676758,4.638275146484375,3.7141880989074707,88.44343566894531,0.4672587513923645,39.625118255615234,6.3307366371154785,21.337772369384766,backtest,89.31236267089844
qlib\qlib\utils\paral.py,2.6953556537628174,14.426040649414062,69.78730773925781,10.716647148132324,7.822940826416016,82.81156921386719,28.08832550048828,76.42496490478516,36.60206604003906,run,82.81156921386719
qlib\qlib\contrib\model\pytorch_krnn.py,5.968809127807617,67.59506225585938,91.98571014404297,93.75421142578125,38.52299880981445,87.66651153564453,85.31124877929688,70.88760375976562,56.073177337646484,model,93.75421142578125
qlib\qlib\backtest\position.py,69.68280792236328,9.943023681640625,15.8596830368042,22.522441864013672,10.641417503356934,18.375595092773438,13.368785858154297,13.372303009033203,37.494956970214844,backtest,69.68280792236328
qlib\qlib\cli\data.py,3.0184521675109863,4.74725341796875,68.76214599609375,3.820105791091919,4.162832260131836,6.895241737365723,7.182114601135254,9.544724464416504,9.574934005737305,data,68.76214599609375
qlib\qlib\contrib\model\pytorch_tra.py,11.031417846679688,75.40242004394531,102.96407318115234,113.81712341308594,49.39825439453125,79.00581359863281,89.3045654296875,30.422754287719727,80.17123413085938,model,113.81712341308594
qlib\qlib\tests\__init__.py,7.26917839050293,18.058658599853516,116.80381774902344,29.150503158569336,26.746328353881836,28.38437843322754,105.69246673583984,32.543399810791016,33.344818115234375,data,116.80381774902344
qlib\qlib\data\dataset\handler.py,5.367807388305664,20.31505584716797,120.61502075195312,26.88098907470703,13.19525146484375,104.2815933227539,16.92893409729004,24.568592071533203,65.00375366210938,data,120.61502075195312
qlib\qlib\contrib\online\operator.py,20.327207565307617,69.95085144042969,123.39752960205078,81.233642578125,21.211328506469727,69.59134674072266,24.501331329345703,27.090774536132812,96.30005645751953,data,123.39752960205078
qlib\qlib\model\interpret\__init__.py,0.477340966463089,2.4823684692382812,0.0,59.9123649597168,0.35800570249557495,0.35800570249557495,0.35800570249557495,2.0050275325775146,6.5110673904418945,model,59.9123649597168
qlib\qlib\contrib\model\pytorch_transformer_ts.py,6.432546138763428,69.34642028808594,107.31383514404297,96.30775451660156,71.68579864501953,24.884658813476562,82.38733673095703,75.02932739257812,61.0930290222168,data,107.31383514404297
qlib\qlib\rl\utils\data_queue.py,0.9481182098388672,14.725639343261719,74.59159851074219,19.45101547241211,82.38406372070312,67.95222473144531,11.366694450378418,91.82565307617188,36.05121994018555,utils,91.82565307617188
qlib\qlib\contrib\model\tcn.py,0.8035886287689209,59.403541564941406,73.61614990234375,71.53648376464844,1.9225248098373413,30.745206832885742,8.13398551940918,10.938817024230957,20.11424446105957,data,73.61614990234375
qlib\qlib\data\filter.py,4.3437089920043945,8.08999252319336,72.32381439208984,7.554135799407959,33.64879608154297,21.209579467773438,12.938024520874023,15.525513648986816,15.306632041931152,data,72.32381439208984
qlib\qlib\contrib\rolling\ddgda.py,6.0845947265625,70.19176483154297,123.59725189208984,91.87883758544922,54.46609878540039,67.90716552734375,77.6106185913086,53.43754959106445,84.1186752319336,data,123.59725189208984
qlib\qlib\model\riskmodel\poet.py,12.695133209228516,5.894153594970703,24.285154342651367,59.82529067993164,3.268157958984375,13.385710716247559,4.711576461791992,9.8241605758667,15.222235679626465,model,59.82529067993164
qlib\qlib\contrib\model\pytorch_hist.py,7.807281970977783,67.11041259765625,94.32730865478516,100.99664306640625,51.41991424560547,47.2768669128418,87.57402801513672,73.16877746582031,68.04779815673828,model,100.99664306640625
qlib\qlib\tests\data.py,11.026806831359863,17.88971519470215,96.48779296875,20.947877883911133,84.7000961303711,17.544286727905273,86.64830017089844,22.543176651000977,31.48323631286621,data,96.48779296875
qlib\qlib\contrib\meta\data_selection\net.py,4.105066299438477,62.52107238769531,87.6717300415039,17.642255783081055,4.613947868347168,9.764004707336426,50.306060791015625,17.954593658447266,25.159698486328125,data,87.6717300415039
qlib\qlib\contrib\model\double_ensemble.py,10.414505958557129,66.75402069091797,84.58828735351562,105.18852996826172,25.49492645263672,37.37263107299805,75.33942413330078,19.093645095825195,63.873008728027344,model,105.18852996826172
qlib\qlib\contrib\strategy\__init__.py,2.581273317337036,57.20808792114258,0.0,0.0,0.0,0.0,0.0,4.190165996551514,5.2120890617370605,contrib,57.20808792114258
qlib\qlib\contrib\meta\data_selection\__init__.py,0.0,57.98366165161133,75.89327239990234,0.0,0.0,4.7433295249938965,4.7433295249938965,6.358260631561279,7.955582618713379,data,75.89327239990234
qlib\qlib\model\meta\task.py,0.8164368271827698,8.35348129272461,64.42025756835938,83.53648376464844,0.704501211643219,4.92850399017334,45.42162322998047,10.575210571289062,41.58320999145508,model,83.53648376464844
qlib\qlib\backtest\high_performance_ds.py,74.73825073242188,17.323091506958008,83.06424713134766,23.1781005859375,11.469804763793945,39.20286178588867,32.65709686279297,26.99424171447754,63.792930603027344,data,83.06424713134766
qlib\qlib\contrib\__init__.py,0.0,54.969966888427734,0.0,0.0,0.0,0.0,0.0,1.61953866481781,0.050408437848091125,contrib,54.969966888427734
qlib\qlib\workflow\record_temp.py,136.036865234375,77.57798767089844,123.12611389160156,90.19186401367188,25.00679588317871,98.4339828491211,33.21089172363281,38.21878433227539,198.2781524658203,workflow,198.2781524658203
qlib\qlib\model\meta\__init__.py,0.476153165102005,2.867532253265381,9.332462310791016,59.855350494384766,0.35711485147476196,0.9403937458992004,0.9403937458992004,2.5858054161071777,7.474462032318115,model,59.855350494384766
qlib\qlib\data\storage\storage.py,3.086794376373291,8.92888355255127,76.50750732421875,15.567728042602539,22.183015823364258,21.483747482299805,36.74346160888672,12.618539810180664,22.30000114440918,data,76.50750732421875
qlib\qlib\workflow\task\utils.py,8.072416305541992,20.356746673583984,80.72175598144531,22.687034606933594,24.049619674682617,39.466407775878906,56.50525665283203,83.9476089477539,147.27008056640625,workflow,147.27008056640625
qlib\qlib\model\trainer.py,9.434553146362305,28.88011360168457,55.46628189086914,106.26950073242188,21.52077293395996,86.37242126464844,44.78764724731445,22.055389404296875,175.0377960205078,workflow,175.0377960205078
