file_path,cli,client,prompts,server,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,34.0336799621582,20.79466438293457,15.928729057312012,68.82706451416016,21.0181827545166,112.88197326660156,utilities,112.88197326660156
fastmcp\tests\deprecated\test_elicitation.py,67.57647705078125,70.47758483886719,5.674664497375488,4.256505012512207,35.081417083740234,13.03023624420166,client,70.47758483886719
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,71.73605346679688,69.17350006103516,10.427437782287598,59.17165756225586,36.101802825927734,30.277555465698242,cli,71.73605346679688
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,121.7898178100586,36.39468002319336,12.859827041625977,73.8408203125,21.6241397857666,119.9164047241211,cli,121.7898178100586
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,71.9515380859375,73.37581634521484,5.935149669647217,71.36854553222656,9.005209922790527,42.15631103515625,client,73.37581634521484
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,100.71623229980469,67.6438217163086,0.7091559171676636,57.956390380859375,2.869551658630371,23.153047561645508,cli,100.71623229980469
fastmcp\examples\testing_demo\server.py,15.2532958984375,21.056591033935547,63.42853927612305,59.40446853637695,33.19437789916992,16.49622344970703,prompts,63.42853927612305
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,73.21211242675781,14.59385871887207,165.9423828125,66.51403045654297,117.32479858398438,46.605228424072266,prompts,165.9423828125
fastmcp\examples\desktop.py,9.616493225097656,9.999174118041992,5.038886070251465,5.618824005126953,29.683528900146484,7.656580924987793,tools,29.683528900146484
fastmcp\tests\cli\test_mcp_server_config_integration.py,129.07777404785156,77.0589828491211,10.02210521697998,67.53436279296875,37.308509826660156,41.94466781616211,cli,129.07777404785156
