file_path,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\IndependentMultimodal.cpp,11.84040355682373,11.3281831741333,6.732457160949707,7.421425819396973,16.801788330078125,7.421425819396973,4.2613677978515625,5.402278423309326,3.188882827758789,7.421425819396973,5.409806251525879,7.879268169403076,7.649284362792969,13.847814559936523,PBAS,16.801788330078125
bgslibrary\bgslibrary\algorithms\T2F\T2FMRF.cpp,13.570667266845703,55.99582290649414,6.845088958740234,10.128204345703125,30.008867263793945,6.954355716705322,249.6951904296875,5.23408842086792,15.282203674316406,6.954355716705322,142.28555297851562,7.467933177947998,77.71623992919922,14.809976577758789,T2F,249.6951904296875
bgslibrary\bgslibrary\algorithms\lb\BGModelSom.h,7.817317008972168,31.440305709838867,2.3213694095611572,1.1512327194213867,8.769035339355469,1.1512327194213867,21.09198570251465,3.368645429611206,1.1512327194213867,1.1512327194213867,1.3901368379592896,3.6318717002868652,104.11754608154297,3.79013991355896,lb,104.11754608154297
bgslibrary\bgslibrary\algorithms\LBAdaptiveSOM.cpp,11.5562162399292,31.289512634277344,6.618314743041992,7.302562713623047,15.675565719604492,7.302562713623047,4.184202671051025,5.349278450012207,17.364891052246094,7.302562713623047,5.32546329498291,7.766895771026611,96.41588592529297,15.662397384643555,lb,96.41588592529297
bgslibrary\bgslibrary\algorithms\LBP_MRF.h,0.40456700325012207,157.40562438964844,48.15370559692383,6.8467936515808105,29.560985565185547,4.000095844268799,26.838834762573242,3.373924732208252,1.1533985137939453,4.000095844268799,1.3410698175430298,3.667041540145874,73.98016357421875,11.699566841125488,LBP_MRF,157.40562438964844
bgslibrary\bgslibrary\algorithms\TwoPoints.cpp,6.270825386047363,12.327360153198242,6.809815883636475,5.596164703369141,19.661497116088867,2.4721028804779053,3.305122137069702,150.34120178222656,2.4721028804779053,2.4721028804779053,6.223519802093506,5.064253330230713,5.974937915802002,15.058472633361816,TwoPoints,150.34120178222656
bgslibrary\gui\mfc\src\targetver.h,0.0,10.890373229980469,0.0,0.0,0.0,0.0,0.3025103509426117,0.0,0.0,0.0,0.0,0.0,1.1165200471878052,0.0,LBP_MRF,10.890373229980469
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,0.0,0.0,2.2757039070129395,102.22234344482422,0.0,1.129742980003357,0.0,3.3162620067596436,1.129742980003357,1.129742980003357,1.129742980003357,3.405446767807007,1.145960807800293,3.405446767807007,MultiLayer,102.22234344482422
bgslibrary\bgslibrary\algorithms\LBSP\LBSP_.cpp,15.680394172668457,52.288719177246094,106.99323272705078,1.084235668182373,1.7368264198303223,1.4512373208999634,25.2183837890625,3.5723347663879395,18.166086196899414,1.4512373208999634,2.3263072967529297,3.5661706924438477,40.87245559692383,13.913041114807129,LBSP,106.99323272705078
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.h,4.0,42.35647964477539,111.37037658691406,3.145087242126465,4.244239330291748,5.572788238525391,2.182194948196411,4.713473796844482,18.940153121948242,3.5048954486846924,3.327282428741455,5.635592937469482,78.14217376708984,12.334465980529785,LBSP,111.37037658691406
