file_path,app,backends,bin,concurrency,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
celery\celery\backends\gcs.py,71.56427764892578,131.91688537597656,55.08530807495117,11.645968437194824,12.836663246154785,12.013711929321289,13.257852554321289,13.86909008026123,15.696465492248535,16.841114044189453,backends,131.91688537597656
celery\celery\worker\pidbox.py,59.24477005004883,8.32097339630127,27.381868362426758,9.189720153808594,118.16568756103516,0.552058219909668,8.038344383239746,5.234003067016602,11.72574234008789,67.16402435302734,events,118.16568756103516
celery\celery\app\defaults.py,82.79901123046875,81.44489288330078,67.47063446044922,74.31788635253906,116.22296142578125,8.892844200134277,19.970714569091797,125.41402435302734,25.0578670501709,95.25379180908203,security,125.41402435302734
celery\celery\security\key.py,7.338258743286133,45.55112838745117,10.781031608581543,4.1720499992370605,1.82967209815979,1.82967209815979,2.0422842502593994,136.50819396972656,8.596750259399414,2.0381269454956055,security,136.50819396972656
celery\celery\utils\debug.py,50.02914810180664,2.9151291847229004,30.52423858642578,4.164325714111328,10.157899856567383,4.142686367034912,4.961176872253418,2.0132174491882324,100.35647583007812,4.319177627563477,utils,100.35647583007812
celery\celery\worker\heartbeat.py,9.398591041564941,3.4405927658081055,20.22755241394043,4.269890785217285,86.28483581542969,1.4906573295593262,7.181243896484375,0.93047034740448,8.851877212524414,79.20819854736328,events,86.28483581542969
celery\celery\concurrency\base.py,79.07760620117188,19.333026885986328,35.94279098510742,113.76023864746094,44.095054626464844,5.916847229003906,16.235580444335938,6.82818078994751,20.543994903564453,60.0322380065918,concurrency,113.76023864746094
celery\celery\app\control.py,82.60881042480469,22.60738754272461,65.31270599365234,18.892431259155273,89.20930480957031,3.7986371517181396,56.963844299316406,7.9047417640686035,19.989574432373047,23.76187515258789,events,89.20930480957031
celery\celery\utils\term.py,22.54328155517578,10.238551139831543,22.98728370666504,10.471299171447754,3.257631540298462,5.357087135314941,2.598630666732788,5.133505344390869,74.3951187133789,4.16724967956543,utils,74.3951187133789
celery\celery\events\event.py,9.437105178833008,6.118477821350098,9.117109298706055,2.8080878257751465,130.0001983642578,3.0000667572021484,3.2407259941101074,5.043405532836914,8.808788299560547,3.482919692993164,events,130.0001983642578
celery\celery\concurrency\eventlet.py,72.50994110107422,9.98042106628418,43.44722366333008,111.48078155517578,11.09254264831543,6.4893670082092285,14.016975402832031,7.795542240142822,18.804611206054688,13.189851760864258,concurrency,111.48078155517578
celery\celery\backends\cosmosdbsql.py,49.181968688964844,108.48867797851562,22.24602508544922,2.2243151664733887,2.909080743789673,1.1551109552383423,4.634026050567627,2.601865291595459,7.459325313568115,2.8478024005889893,backends,108.48867797851562
celery\celery\backends\base.py,93.90421295166016,142.92576599121094,66.93096923828125,22.576435089111328,26.3793888092041,13.830471992492676,43.68868637084961,62.107093811035156,30.450693130493164,81.13064575195312,backends,142.92576599121094
celery\celery\apps\multi.py,79.27979278564453,31.658296585083008,88.24711608886719,4.871160507202148,12.1265287399292,4.555972099304199,27.774932861328125,3.9213857650756836,41.4366340637207,80.41029357910156,bin,88.24711608886719
celery\celery\bin\multi.py,30.458541870117188,9.365582466125488,140.3510284423828,8.06053638458252,16.648571014404297,10.26552677154541,10.89449691772461,5.015708923339844,47.83852767944336,10.523937225341797,bin,140.3510284423828
celery\celery\_state.py,91.24756622314453,11.684538841247559,29.27532386779785,8.436386108398438,11.32690143585205,112.95372009277344,60.03505325317383,5.650534152984619,28.523134231567383,80.07923889160156,fixups,112.95372009277344
celery\celery\worker\autoscale.py,9.112048149108887,6.107466220855713,39.308441162109375,124.31385803222656,36.75161361694336,0.0,10.23519229888916,5.9915385246276855,4.925130367279053,83.10140228271484,concurrency,124.31385803222656
celery\celery\worker\consumer\tasks.py,67.61793518066406,16.34024429321289,28.494903564453125,91.90619659423828,8.958895683288574,2.2826876640319824,11.306753158569336,8.806122779846191,6.843443870544434,108.95716094970703,worker,108.95716094970703
celery\celery\bin\migrate.py,14.112651824951172,8.913987159729004,100.36554718017578,6.422305107116699,9.39465045928955,3.3601748943328857,11.33120059967041,11.27869701385498,30.52305030822754,28.073442459106445,bin,100.36554718017578
celery\celery\concurrency\solo.py,44.088592529296875,3.425823450088501,10.032236099243164,109.82728576660156,2.276648998260498,0.5513545870780945,6.7106032371521,1.9448227882385254,5.322981357574463,70.51163482666016,concurrency,109.82728576660156
celery\celery\bin\base.py,80.67182922363281,17.657873153686523,103.62377166748047,7.932236671447754,11.458404541015625,8.768400192260742,36.52814483642578,14.00444507598877,19.063983917236328,42.98159408569336,bin,103.62377166748047
celery\celery\worker\consumer\mingle.py,67.98822021484375,9.026874542236328,22.634580612182617,7.450814723968506,119.80197143554688,1.5969688892364502,5.7141242027282715,5.6885528564453125,11.920005798339844,70.44644927978516,events,119.80197143554688
celery\celery\utils\iso8601.py,1.27012038230896,1.1981470584869385,10.764204025268555,0.0,0.7181585431098938,0.0,0.283733606338501,0.0,73.73269653320312,0.45160335302352905,utils,73.73269653320312
celery\celery\backends\rpc.py,93.27716064453125,143.48741149902344,78.16554260253906,19.15001106262207,88.603759765625,2.1269538402557373,11.610546112060547,15.65027904510498,17.449237823486328,20.716001510620117,backends,143.48741149902344
celery\celery\bin\celery.py,92.78980255126953,65.20635223388672,141.45333862304688,15.890901565551758,97.67464447021484,19.837295532226562,71.72900390625,12.145263671875,34.28811264038086,125.44734191894531,bin,141.45333862304688
celery\celery\loaders\__init__.py,59.95915985107422,0.5228716731071472,5.98798131942749,0.0,1.8410305976867676,1.8410305976867676,165.34466552734375,1.8410305976867676,8.411837577819824,1.9145255088806152,loaders,165.34466552734375
celery\celery\worker\state.py,62.97178268432617,12.270744323730469,44.874717712402344,6.797992706298828,23.38225555419922,5.722886562347412,39.593650817871094,6.357919216156006,19.848787307739258,89.12086486816406,worker,89.12086486816406
celery\celery\loaders\default.py,14.920595169067383,4.417448997497559,11.699904441833496,8.704019546508789,5.575809478759766,8.812803268432617,155.62396240234375,7.619444847106934,16.732723236083984,27.30988121032715,loaders,155.62396240234375
celery\celery\utils\saferepr.py,51.496192932128906,3.6836910247802734,70.93289184570312,2.304398775100708,3.5554358959198,4.160346031188965,2.4300575256347656,1.7977598905563354,65.70610046386719,5.842423915863037,bin,70.93289184570312
celery\celery\backends\asynchronous.py,79.2974853515625,124.96157836914062,30.637601852416992,18.009315490722656,176.9816436767578,8.063694953918457,18.372255325317383,11.349562644958496,49.65422058105469,17.7210636138916,events,176.9816436767578
celery\celery\bin\worker.py,84.24085235595703,23.84424591064453,158.0402069091797,118.27166748046875,91.8287124633789,10.642087936401367,25.673999786376953,47.75563049316406,34.14461898803711,159.03964233398438,worker,159.03964233398438
celery\celery\worker\consumer\consumer.py,104.42341613769531,35.11766815185547,64.1927261352539,19.510038375854492,135.6986083984375,13.719086647033691,94.9953384399414,15.086066246032715,26.23973274230957,134.82896423339844,events,135.6986083984375
celery\celery\bin\control.py,65.26557159423828,5.091012954711914,105.7273178100586,5.883465766906738,8.084657669067383,3.071889877319336,4.149907112121582,6.86668586730957,12.175374984741211,12.506462097167969,bin,105.7273178100586
celery\celery\utils\threads.py,55.473594665527344,6.12367582321167,23.6419734954834,8.683876037597656,43.48603820800781,2.581822156906128,7.809175968170166,1.9478715658187866,77.03954315185547,6.815101623535156,utils,77.03954315185547
celery\celery\fixups\__init__.py,0.0756787583231926,0.0756787583231926,0.0756787583231926,0.0,0.0,134.96786499023438,0.0,0.0,0.0756787583231926,0.0756787583231926,fixups,134.96786499023438
celery\celery\utils\time.py,39.448265075683594,15.6055908203125,48.3350944519043,9.079477310180664,9.417593002319336,7.168797492980957,8.570291519165039,6.457016468048096,95.26904296875,10.959460258483887,utils,95.26904296875
celery\celery\contrib\testing\mocks.py,61.388675689697266,6.530002117156982,15.18991756439209,3.831369161605835,0.0,0.0,48.76986312866211,6.640007972717285,5.157378196716309,4.902487754821777,app,61.388675689697266
celery\celery\app\builtins.py,81.9477767944336,67.38862609863281,84.41658020019531,10.597784996032715,6.026881694793701,3.275662422180176,15.081457138061523,12.163840293884277,15.5807466506958,71.6873779296875,bin,84.41658020019531
celery\celery\bin\call.py,59.2031135559082,7.761538505554199,80.98516845703125,4.357328414916992,3.230286121368408,2.6138110160827637,8.296370506286621,4.365504741668701,8.540569305419922,5.948874473571777,bin,80.98516845703125
celery\celery\utils\annotations.py,12.627046585083008,2.350363254547119,7.598615646362305,2.098017692565918,0.0,0.4872618019580841,0.0,0.796056866645813,77.1397933959961,0.06715327501296997,utils,77.1397933959961
celery\celery\backends\azureblockblob.py,48.50204086303711,100.18085479736328,15.892119407653809,1.396061897277832,0.0,2.3086509704589844,3.0118889808654785,2.746622085571289,5.336392879486084,3.499156951904297,backends,100.18085479736328
celery\celery\contrib\django\task.py,44.8198356628418,3.234483003616333,2.5431036949157715,3.234483003616333,0.0,3.2802340984344482,4.851724624633789,1.6172415018081665,2.340266704559326,4.819665908813477,app,44.8198356628418
celery\celery\worker\request.py,88.69220733642578,60.733245849609375,44.34309387207031,16.8399658203125,164.64364624023438,5.285296440124512,80.4759292602539,11.590921401977539,23.292348861694336,97.0821533203125,events,164.64364624023438
celery\celery\contrib\migrate.py,99.61186218261719,17.542043685913086,29.26530647277832,10.500617027282715,15.483240127563477,2.618151903152466,54.58407974243164,17.81598663330078,9.535626411437988,79.35546875,app,99.61186218261719
celery\celery\utils\static\__init__.py,8.043689727783203,0.07378533482551575,16.653257369995117,1.4619604349136353,5.7282538414001465,5.52678108215332,3.9775266647338867,2.9324517250061035,83.56621551513672,3.520540714263916,utils,83.56621551513672
celery\celery\bin\events.py,71.97899627685547,6.182869911193848,95.78943634033203,10.187140464782715,102.10530853271484,5.733780384063721,12.62756633758545,5.609593391418457,19.024078369140625,30.568464279174805,events,102.10530853271484
celery\celery\contrib\testing\app.py,84.68379211425781,59.37881851196289,18.83814239501953,2.072589874267578,10.00132942199707,1.8090838193893433,10.54464340209961,2.3536465167999268,31.559267044067383,99.78734588623047,worker,99.78734588623047
celery\celery\backends\arangodb.py,58.586761474609375,124.8623046875,57.59888458251953,3.9757027626037598,5.482553958892822,3.344837188720703,8.438957214355469,5.881795406341553,8.666770935058594,8.873248100280762,backends,124.8623046875
celery\celery\security\certificate.py,12.266907691955566,41.529869079589844,33.552581787109375,5.48019552230835,1.1060547828674316,1.1060547828674316,1.630204677581787,121.85880279541016,5.785838603973389,2.8109195232391357,security,121.85880279541016
celery\celery\beat.py,88.93177032470703,61.11582565307617,56.32838439941406,15.55151081085205,59.68952560424805,8.438578605651855,17.719396591186523,14.994760513305664,23.60592269897461,26.5810546875,app,88.93177032470703
celery\celery\utils\deprecated.py,6.038352012634277,3.7754976749420166,13.743985176086426,7.399270057678223,3.7753987312316895,2.912597417831421,5.0583367347717285,2.326691150665283,81.79022979736328,5.205291271209717,utils,81.79022979736328
celery\celery\backends\consul.py,9.958268165588379,77.59562683105469,7.080822944641113,6.287558555603027,0.9381216168403625,7.0940704345703125,2.1206557750701904,5.086357116699219,2.7921066284179688,4.547762870788574,backends,77.59562683105469
celery\celery\contrib\testing\worker.py,80.78788757324219,15.690569877624512,56.38239288330078,135.0873260498047,48.74767303466797,6.583982467651367,28.643836975097656,9.281505584716797,23.402589797973633,110.71015167236328,concurrency,135.0873260498047
celery\celery\backends\filesystem.py,66.72040557861328,114.76387023925781,35.5301513671875,6.355962753295898,5.671574592590332,5.706404685974121,7.694774627685547,6.3675689697265625,14.031561851501465,7.458251476287842,backends,114.76387023925781
celery\celery\worker\consumer\gossip.py,88.63877868652344,15.458706855773926,56.960289001464844,14.394474029541016,138.16055297851562,2.997687816619873,77.51239776611328,14.258838653564453,16.750959396362305,125.15824127197266,events,138.16055297851562
celery\celery\app\utils.py,98.01641845703125,71.60999298095703,81.18148803710938,13.30295467376709,86.49776458740234,9.301000595092773,67.29046630859375,14.976073265075684,85.5629653930664,39.49004364013672,app,98.01641845703125
celery\celery\utils\nodenames.py,11.890645980834961,6.532154560089111,37.111717224121094,0.6422091722488403,3.4996118545532227,1.5961806774139404,4.182500839233398,6.4849724769592285,79.93318939208984,74.83847045898438,utils,79.93318939208984
celery\celery\backends\redis.py,84.95063018798828,136.93307495117188,81.26467895507812,15.729151725769043,67.55110931396484,4.45350456237793,12.71796989440918,22.51628875732422,19.054052352905273,20.312063217163086,backends,136.93307495117188
celery\celery\bootsteps.py,59.93341064453125,10.448752403259277,52.45436477661133,12.084417343139648,40.09596633911133,5.618406295776367,12.887514114379883,4.833457946777344,20.569074630737305,89.9002914428711,worker,89.9002914428711
celery\celery\contrib\testing\tasks.py,8.567317008972168,3.9245080947875977,12.381997108459473,4.450573921203613,1.747532606124878,1.747532606124878,7.6342949867248535,3.7097866535186768,4.472043037414551,8.782037734985352,bin,12.381997108459473
celery\celery\events\dumper.py,76.9529037475586,6.553994178771973,32.77862548828125,7.867920875549316,136.45504760742188,5.16696310043335,15.025833129882812,4.343596935272217,18.081785202026367,78.99160766601562,events,136.45504760742188
celery\celery\utils\timer2.py,53.75659942626953,6.147852897644043,37.611839294433594,8.699613571166992,40.641204833984375,1.6893393993377686,7.190943241119385,2.1586475372314453,78.24176025390625,6.7264180183410645,utils,78.24176025390625
celery\celery\bin\__init__.py,0.0756787583231926,0.0756787583231926,59.85304260253906,0.0,0.0,0.0,0.23156413435935974,0.0,0.30724290013313293,0.0756787583231926,bin,59.85304260253906
celery\celery\worker\consumer\control.py,55.03875732421875,5.762429237365723,21.98494529724121,7.442318916320801,4.357097148895264,0.5733442902565002,8.966440200805664,3.718319892883301,3.693359851837158,83.09253692626953,worker,83.09253692626953
celery\celery\bin\list.py,65.17150115966797,4.8054704666137695,82.48702239990234,2.0,2.035804271697998,1.0,5.247366905212402,5.189554214477539,4.971569538116455,4.590785503387451,bin,82.48702239990234
celery\celery\worker\consumer\connection.py,5.7041168212890625,1.0149891376495361,9.209914207458496,0.32548636198043823,3.144502878189087,0.4843285083770752,4.836374282836914,0.0,2.5308637619018555,86.15850067138672,worker,86.15850067138672
celery\celery\states.py,7.030370712280273,5.415567398071289,19.089967727661133,4.510934352874756,10.27600383758545,0.7543070316314697,2.1824865341186523,0.5899651050567627,1.456411361694336,4.767178535461426,bin,19.089967727661133
celery\celery\concurrency\__init__.py,7.986546993255615,8.698412895202637,15.98495101928711,135.7350311279297,40.733055114746094,1.9310038089752197,7.643580436706543,4.693090915679932,8.366822242736816,73.63367462158203,concurrency,135.7350311279297
celery\celery\utils\imports.py,77.34156036376953,10.000565528869629,53.00031280517578,15.618634223937988,5.893129348754883,9.140114784240723,18.323755264282227,6.932675838470459,93.20075225830078,14.449614524841309,utils,93.20075225830078
celery\celery\apps\__init__.py,44.91427230834961,0.0756787583231926,0.0756787583231926,0.0,0.0,0.0,0.0,0.0,1.3567813634872437,0.0756787583231926,app,44.91427230834961
celery\celery\worker\components.py,70.07402038574219,14.030509948730469,57.636627197265625,135.66993713378906,149.2060546875,4.930814743041992,15.688070297241211,5.746805667877197,25.4827938079834,91.4738540649414,events,149.2060546875
celery\celery\worker\consumer\agent.py,49.65147399902344,0.3530627489089966,5.488770484924316,0.0,5.225676536560059,0.0,1.848881721496582,0.0,3.3366730213165283,73.23226928710938,worker,73.23226928710938
celery\celery\app\base.py,124.24433135986328,133.5581817626953,149.6645965576172,31.31061553955078,105.47949981689453,208.31602478027344,147.39883422851562,109.2309341430664,51.85921096801758,136.59332275390625,fixups,208.31602478027344
celery\celery\loaders\app.py,49.698333740234375,0.2799682915210724,0.0,0.0,0.0,0.0,93.02547454833984,0.0,4.077823162078857,0.0,loaders,93.02547454833984
