file_path,backends,bin,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
celery\celery\backends\gcs.py,131.721923828125,55.63994598388672,12.833595275878906,13.976727485656738,12.836663246154785,12.013711929321289,13.257852554321289,13.86909008026123,16.7745361328125,16.841114044189453,backends,131.721923828125
celery\celery\worker\pidbox.py,8.32097339630127,27.381868362426758,10.163275718688965,47.539825439453125,118.16568756103516,0.552058219909668,8.038344383239746,5.234003067016602,10.432312965393066,67.16402435302734,events,118.16568756103516
celery\celery\app\defaults.py,81.429443359375,68.43785858154297,75.58101654052734,46.232784271240234,116.22296142578125,8.892844200134277,19.970714569091797,125.41402435302734,24.276811599731445,94.78497314453125,security,125.41402435302734
celery\celery\security\key.py,45.55112838745117,10.781031608581543,4.1720499992370605,7.136137962341309,1.82967209815979,1.82967209815979,2.0422842502593994,136.50819396972656,8.596750259399414,2.0381269454956055,security,136.50819396972656
celery\celery\utils\debug.py,2.9151291847229004,31.04775619506836,4.164325714111328,3.7438344955444336,10.157899856567383,4.142686367034912,4.961176872253418,2.0132174491882324,103.2865219116211,4.319177627563477,utils,103.2865219116211
celery\celery\worker\heartbeat.py,3.4405927658081055,20.22755241394043,4.269890785217285,2.2619082927703857,86.28483581542969,1.4906573295593262,7.181243896484375,0.93047034740448,8.851877212524414,79.20819854736328,events,86.28483581542969
celery\celery\concurrency\base.py,18.62065315246582,35.94279098510742,115.12794494628906,8.569518089294434,44.095054626464844,5.916847229003906,16.235580444335938,6.82818078994751,19.729228973388672,60.0322380065918,concurrency,115.12794494628906
celery\celery\app\control.py,23.29490089416504,65.40949249267578,20.330408096313477,62.093204498291016,89.20930480957031,3.7986371517181396,56.963844299316406,7.9047417640686035,19.21229362487793,23.76187515258789,events,89.20930480957031
celery\celery\utils\term.py,8.888781547546387,23.51797103881836,10.471299171447754,10.834775924682617,3.257631540298462,5.357087135314941,2.598630666732788,5.133505344390869,75.91493225097656,3.6644399166107178,utils,75.91493225097656
celery\celery\events\event.py,6.118477821350098,9.117109298706055,2.8080878257751465,3.482919692993164,130.0001983642578,3.0000667572021484,3.2407259941101074,5.043405532836914,7.664914608001709,3.482919692993164,events,130.0001983642578
celery\celery\concurrency\eventlet.py,9.98042106628418,43.069366455078125,113.11235809326172,8.400826454162598,11.09254264831543,5.83811616897583,14.016975402832031,7.795542240142822,19.517419815063477,13.189851760864258,concurrency,113.11235809326172
celery\celery\backends\cosmosdbsql.py,109.42095947265625,22.24602508544922,2.2243151664733887,3.360703229904175,2.909080743789673,1.1551109552383423,4.634026050567627,2.601865291595459,6.259680271148682,2.8478024005889893,backends,109.42095947265625
celery\celery\backends\base.py,142.6844940185547,66.57366943359375,22.576435089111328,25.356840133666992,26.3793888092041,13.830471992492676,43.68868637084961,62.107093811035156,31.025436401367188,81.13064575195312,backends,142.6844940185547
celery\celery\apps\multi.py,31.818748474121094,89.33442687988281,4.871160507202148,9.208625793457031,12.1265287399292,4.555972099304199,27.774932861328125,3.9213857650756836,42.40720748901367,80.41029357910156,bin,89.33442687988281
celery\celery\bin\multi.py,9.428353309631348,142.52615356445312,8.06053638458252,10.160093307495117,16.648571014404297,10.26552677154541,10.89449691772461,5.015708923339844,50.485530853271484,9.617512702941895,bin,142.52615356445312
celery\celery\_state.py,11.684538841247559,29.27532386779785,8.436386108398438,6.308557987213135,11.32690143585205,112.95372009277344,60.03505325317383,5.650534152984619,30.71969223022461,80.07923889160156,fixups,112.95372009277344
celery\celery\worker\autoscale.py,6.107466220855713,39.44832992553711,125.87220001220703,2.7407000064849854,36.75161361694336,0.0,10.23519229888916,5.9915385246276855,4.925130367279053,83.10140228271484,concurrency,125.87220001220703
celery\celery\worker\consumer\tasks.py,16.34024429321289,29.57854652404785,92.86421203613281,10.695331573486328,8.958895683288574,2.2826876640319824,11.306753158569336,8.806122779846191,6.843443870544434,108.95716094970703,worker,108.95716094970703
celery\celery\concurrency\solo.py,3.425823450088501,10.032236099243164,109.82728576660156,2.647041082382202,2.276648998260498,0.5513545870780945,6.7106032371521,1.9448227882385254,5.322981357574463,70.51163482666016,concurrency,109.82728576660156
celery\celery\bin\migrate.py,8.913987159729004,100.85755157470703,6.422305107116699,18.132648468017578,9.39465045928955,3.3601748943328857,11.33120059967041,11.27869701385498,30.52305030822754,28.073442459106445,bin,100.85755157470703
celery\celery\bin\base.py,17.657873153686523,105.18395233154297,7.932236671447754,13.579843521118164,11.458404541015625,9.076951026916504,36.52814483642578,14.00444507598877,21.36749267578125,42.52058792114258,bin,105.18395233154297
celery\celery\worker\consumer\mingle.py,9.026874542236328,22.634580612182617,7.450814723968506,33.80443572998047,119.80197143554688,1.5969688892364502,5.7141242027282715,5.6885528564453125,11.920005798339844,70.44644927978516,events,119.80197143554688
celery\celery\utils\iso8601.py,1.1981470584869385,11.474587440490723,0.0,0.09252408891916275,0.7181585431098938,0.0,0.283733606338501,0.0,73.73269653320312,0.45160335302352905,utils,73.73269653320312
celery\celery\backends\rpc.py,143.48741149902344,78.02605438232422,20.146259307861328,17.740062713623047,88.603759765625,2.1269538402557373,11.610546112060547,15.65027904510498,15.655790328979492,20.716001510620117,backends,143.48741149902344
celery\celery\bin\celery.py,65.20635223388672,141.79962158203125,15.890901565551758,44.0440673828125,97.67464447021484,19.837295532226562,71.72900390625,12.145263671875,36.485782623291016,125.44734191894531,bin,141.79962158203125
celery\celery\worker\state.py,12.270744323730469,45.410160064697266,6.797992706298828,10.7501859664917,23.38225555419922,5.722886562347412,39.593650817871094,6.357919216156006,18.99050521850586,89.12086486816406,worker,89.12086486816406
celery\celery\loaders\__init__.py,0.5228716731071472,5.98798131942749,0.0,1.9145255088806152,1.8410305976867676,1.8410305976867676,165.34466552734375,1.8410305976867676,8.481138229370117,1.9145255088806152,loaders,165.34466552734375
celery\celery\utils\saferepr.py,2.900491714477539,72.64832305908203,2.304398775100708,7.4974284172058105,3.5554358959198,4.160346031188965,2.4300575256347656,1.7977598905563354,66.41399383544922,5.842423915863037,bin,72.64832305908203
