Project,Precision Mean (%),Precision Standard Deviation (%),Recall Mean (%),Recall Standard Deviation (%),F1 Score Mean (%),F1 Score Standard Deviation (%)
bigbluebutton,85.99918599918598,6.702623241438291,98.989898989899,2.939825758016158,91.93639291465378,4.625023057118835
jabref,82.14285714285715,3.6642084003041226,100.0,0.0,90.15151515151516,2.331768982011715
mediastore,90.90909090909092,9.32707592804685,95.0,5.129891760425768,92.85714285714286,7.32841680060824
teammates,82.25,5.646118575690759,87.5,0.0,84.69771241830067,3.0426375497445233
teastore,100.0,0.0,100.0,0.0,100.0,0.0
