Project,Precision Mean (%),Precision Standard Deviation (%),Recall Mean (%),Recall Standard Deviation (%),F1 Score Mean (%),F1 Score Standard Deviation (%)
bigbluebutton,89.2268550163287,6.791079208487731,97.1291866028708,9.11745194765962,92.82338256708967,7.113557848678938
jabref,80.35714285714286,5.288829265706182,100.0,0.0,89.0151515151515,3.3656186236312085
mediastore,90.45454545454547,9.991296778159722,94.5,6.048053188292993,92.38095238095238,8.087125523706531
teammates,87.64619883040936,3.7295032218783906,87.5,0.0,87.53611971104232,1.8332606693730145
teastore,100.0,0.0,100.0,0.0,100.0,0.0
