file_path,configs,datasets,environments,policies,robot_devices,best_module,best_likelihood
lerobot\src\lerobot\cameras\opencv\__init__.py,0.0,0.0,0.0,0.0,6.32790470123291,robot_devices,6.32790470123291
lerobot\examples\lekiwi\replay.py,19.449382781982422,42.095069885253906,3.5595946311950684,1.7874350547790527,47.021148681640625,robot_devices,47.021148681640625
lerobot\src\lerobot\robots\openarm_follower\config_openarm_follower.py,16.564685821533203,9.247241973876953,4.2494215965271,1.4627677202224731,55.340003967285156,robot_devices,55.340003967285156
lerobot\src\lerobot\robots\hope_jr\hope_jr_hand.py,68.73609161376953,7.769728183746338,4.744030952453613,6.76844596862793,68.65934753417969,configs,68.73609161376953
lerobot\src\lerobot\envs\robomme.py,3.8423523902893066,44.99806594848633,5.763610363006592,4.663730621337891,3.303865432739258,datasets,44.99806594848633
lerobot\src\lerobot\async_inference\robot_client.py,29.370206832885742,12.523998260498047,83.48896789550781,20.404319763183594,116.95135498046875,robot_devices,116.95135498046875
lerobot\tests\policies\pi0_pi05\test_pi05.py,28.14798355102539,46.542545318603516,8.230687141418457,95.93939208984375,34.84318923950195,policies,95.93939208984375
lerobot\src\lerobot\utils\robot_utils.py,1.5965495109558105,0.7475162148475647,2.2430355548858643,1.2125720977783203,50.451820373535156,robot_devices,50.451820373535156
lerobot\src\lerobot\motors\dynamixel\__init__.py,0.0,0.0,0.0,0.0,6.763786792755127,robot_devices,6.763786792755127
lerobot\tests\policies\test_gaussian_actor_config.py,29.205257415771484,46.91964340209961,6.66724157333374,86.72661590576172,31.952299118041992,policies,86.72661590576172
lerobot\tests\policies\lingbot_va\test_modules.py,13.303558349609375,15.180315971374512,9.729368209838867,86.63232421875,33.51539993286133,policies,86.63232421875
lerobot\src\lerobot\policies\molmoact2\configuration_molmoact2.py,29.54564094543457,46.945762634277344,10.038719177246094,90.91387939453125,17.20844078063965,policies,90.91387939453125
lerobot\src\lerobot\utils\io_utils.py,2.582063913345337,15.342114448547363,0.0,4.178067207336426,3.499246597290039,datasets,15.342114448547363
lerobot\tests\policies\groot\test_groot_train_random_crop.py,15.61156940460205,9.222817420959473,4.583984375,67.49592590332031,35.96781539916992,policies,67.49592590332031
lerobot\tests\policies\vla_jepa\test_vla_jepa.py,33.971702575683594,55.15947341918945,11.748917579650879,86.08951568603516,69.6262435913086,policies,86.08951568603516
lerobot\src\lerobot\motors\robstride\robstride.py,8.922781944274902,19.367076873779297,9.034334182739258,11.310182571411133,32.52482986450195,robot_devices,32.52482986450195
lerobot\examples\omx\record_grab.py,14.740822792053223,60.95507049560547,6.361290454864502,6.379043102264404,57.0592155456543,datasets,60.95507049560547
lerobot\src\lerobot\configs\policies.py,85.98438262939453,24.562931060791016,11.704442024230957,95.32743835449219,87.47704315185547,policies,95.32743835449219
lerobot\tests\processor\test_migration_detection.py,99.27961730957031,24.474637985229492,8.109729766845703,34.129432678222656,6.13527250289917,configs,99.27961730957031
lerobot\tests\policies\test_gaussian_actor_policy.py,32.88093566894531,92.64301300048828,10.250740051269531,71.21587371826172,8.81025505065918,datasets,92.64301300048828
lerobot\tests\fixtures\files.py,8.760536193847656,119.53755187988281,8.50378704071045,4.318550109863281,3.6263880729675293,datasets,119.53755187988281
lerobot\tests\policies\pi0_pi05\test_pi0.py,27.673555374145508,45.8050651550293,8.061516761779785,90.03228759765625,35.39667510986328,policies,90.03228759765625
lerobot\src\lerobot\async_inference\__init__.py,0.0,0.0,0.0,0.0,3.859591007232666,robot_devices,3.859591007232666
lerobot\tests\conftest.py,11.949129104614258,99.02252197265625,7.347383975982666,18.080074310302734,38.46542739868164,datasets,99.02252197265625
lerobot\tests\policies\vla_jepa\conftest.py,23.977771759033203,13.39741325378418,3.845285415649414,82.49983215332031,35.77569580078125,policies,82.49983215332031
lerobot\src\lerobot\robots\so_follower\so_follower.py,71.00102233886719,11.561470985412598,9.25207233428955,8.935770034790039,71.19021606445312,robot_devices,71.19021606445312
lerobot\src\lerobot\robots\openarm_follower\__init__.py,0.0,0.0,0.7385900616645813,0.0,47.841522216796875,robot_devices,47.841522216796875
lerobot\tests\cameras\test_realsense.py,24.01823616027832,11.07664966583252,4.774640083312988,4.579304218292236,38.94832992553711,robot_devices,38.94832992553711
lerobot\tests\datasets\test_quantiles_dataset_integration.py,4.081427097320557,116.45818328857422,3.344428539276123,3.3518457412719727,11.190895080566406,datasets,116.45818328857422
lerobot\tests\policies\test_relative_actions.py,5.53414249420166,104.63066101074219,6.1524434089660645,73.31521606445312,3.943657398223877,datasets,104.63066101074219
lerobot\src\lerobot\teleoperators\homunculus\joints_translation.py,0.9606388211250305,0.5728321075439453,0.5728321075439453,2.7217516899108887,3.501525402069092,robot_devices,3.501525402069092
lerobot\src\lerobot\teleoperators\keyboard\teleop_keyboard.py,23.479598999023438,9.157093048095703,59.818443298339844,5.644054412841797,58.24479293823242,environments,59.818443298339844
lerobot\src\lerobot\policies\xvla\action_hub.py,6.697621822357178,9.307628631591797,0.6860510110855103,67.74427795410156,5.329823017120361,policies,67.74427795410156
lerobot\tests\utils\test_hub.py,25.30475616455078,10.69487190246582,6.613985061645508,8.500832557678223,5.804750919342041,configs,25.30475616455078
lerobot\tests\policies\pi0_pi05\test_pi0_original_vs_lerobot.py,26.296138763427734,49.01426315307617,5.4564433097839355,90.99593353271484,40.54642105102539,policies,90.99593353271484
lerobot\src\lerobot\robots\koch_follower\config_koch_follower.py,15.688282012939453,6.2971391677856445,3.971247434616089,0.7619050145149231,51.434932708740234,robot_devices,51.434932708740234
lerobot\src\lerobot\annotations\steerable_pipeline\config.py,18.768991470336914,15.594941139221191,6.4515180587768555,9.243712425231934,16.389375686645508,configs,18.768991470336914
lerobot\src\lerobot\teleoperators\rebot_102_leader\rebot_102_leader.py,29.958602905273438,16.020774841308594,9.764702796936035,13.946202278137207,71.48499298095703,robot_devices,71.48499298095703
lerobot\src\lerobot\processor\hil_processor.py,20.583871841430664,15.193770408630371,2.4067647457122803,14.804037094116211,40.70997619628906,robot_devices,40.70997619628906
lerobot\src\lerobot\rl\queue.py,0.0,0.0,0.0,0.2986338138580322,5.6939263343811035,robot_devices,5.6939263343811035
lerobot\src\lerobot\processor\newline_task_processor.py,2.0,7.393469333648682,1.9517481327056885,7.0,3.2646994590759277,datasets,7.393469333648682
lerobot\src\lerobot\policies\molmoact2\__init__.py,0.7402927279472351,0.9386299848556519,0.7402927279472351,73.71380615234375,3.865968942642212,policies,73.71380615234375
lerobot\src\lerobot\annotations\steerable_pipeline\validator.py,7.964386463165283,50.34259796142578,3.878045082092285,5.870556354522705,9.796850204467773,datasets,50.34259796142578
lerobot\src\lerobot\teleoperators\homunculus\config_homunculus.py,13.920244216918945,5.170648574829102,0.0,0.8322020769119263,3.348742961883545,configs,13.920244216918945
lerobot\src\lerobot\cameras\zmq\camera_zmq.py,28.515625,17.464689254760742,7.161499500274658,11.122365951538086,9.730838775634766,configs,28.515625
lerobot\tests\mocks\mock_dynamixel.py,2.1611971855163574,10.144412994384766,4.000146865844727,14.546271324157715,1.583801031112671,policies,14.546271324157715
lerobot\src\lerobot\motors\damiao\__init__.py,0.0,0.0,0.0,0.0,6.776062488555908,robot_devices,6.776062488555908
lerobot\src\lerobot\policies\multi_task_dit\__init__.py,1.4628398418426514,2.568227529525757,1.5849146842956543,73.6196060180664,3.8563129901885986,policies,73.6196060180664
lerobot\tests\cameras\test_opencv.py,34.03072738647461,14.680338859558105,8.24329662322998,8.527649879455566,9.483713150024414,configs,34.03072738647461
lerobot\src\lerobot\policies\evo1\evo1_model.py,22.928409576416016,12.148961067199707,4.437211990356445,78.76107788085938,38.90321731567383,policies,78.76107788085938
lerobot\tests\datasets\test_dataset_metadata.py,25.9945125579834,123.74738311767578,12.852028846740723,6.694088459014893,59.5262565612793,datasets,123.74738311767578
lerobot\tests\processor\test_policy_robot_bridge.py,24.319053649902344,7.891666889190674,9.002181053161621,28.0827579498291,50.810081481933594,robot_devices,50.810081481933594
lerobot\src\lerobot\__version__.py,0.0,0.0,0.0,0.0,3.882906436920166,robot_devices,3.882906436920166
lerobot\examples\lekiwi\evaluate.py,26.579269409179688,56.444339752197266,95.93136596679688,25.786361694335938,86.65364074707031,environments,95.93136596679688
lerobot\src\lerobot\annotations\steerable_pipeline\modules\general_vqa.py,29.563865661621094,45.721866607666016,9.141385078430176,8.144622802734375,13.694842338562012,datasets,45.721866607666016
lerobot\tests\configs\test_plugin_loading.py,70.82245635986328,8.80288314819336,3.8947179317474365,10.623096466064453,1.1131930351257324,configs,70.82245635986328
lerobot\tests\datasets\test_delta_timestamps.py,0.7183334827423096,96.48181915283203,3.856812000274658,3.6092607975006104,5.305661201477051,datasets,96.48181915283203
lerobot\tests\processor\test_gaussian_actor_processor.py,26.663665771484375,25.820173263549805,6.473860263824463,22.811161041259766,35.70658874511719,robot_devices,35.70658874511719
lerobot\src\lerobot\scripts\lerobot_find_port.py,1.680680274963379,2.208549976348877,2.0003714561462402,0.0,33.239654541015625,robot_devices,33.239654541015625
lerobot\tests\policies\rtc\test_modeling_rtc.py,21.24285888671875,4.202928066253662,3.138632297515869,57.93886184692383,22.694421768188477,policies,57.93886184692383
lerobot\src\lerobot\robots\hope_jr\config_hope_jr.py,16.416866302490234,6.3442816734313965,5.024467468261719,1.957627773284912,51.921722412109375,robot_devices,51.921722412109375
lerobot\tests\datasets\test_streaming_video_encoder.py,19.79050064086914,104.05133819580078,2.820200204849243,3.687993288040161,7.789350509643555,datasets,104.05133819580078
lerobot\examples\rtc\eval_dataset.py,46.104148864746094,60.5849609375,19.45445442199707,36.30035400390625,36.65675735473633,datasets,60.5849609375
lerobot\src\lerobot\rollout\inference\factory.py,24.126962661743164,44.01881408691406,7.134830474853516,19.59326934814453,82.85861206054688,robot_devices,82.85861206054688
lerobot\src\lerobot\policies\act\processor_act.py,24.999391555786133,39.6077880859375,3.396491527557373,100.77784729003906,38.19985580444336,policies,100.77784729003906
lerobot\src\lerobot\robots\robot.py,19.738422393798828,3.7712347507476807,2.4334757328033447,2.266634464263916,65.90399169921875,robot_devices,65.90399169921875
lerobot\src\lerobot\rollout\strategies\core.py,29.615171432495117,57.88945388793945,8.660003662109375,22.36290168762207,61.02471160888672,robot_devices,61.02471160888672
lerobot\src\lerobot\policies\groot\modeling_groot.py,37.937355041503906,32.75551986694336,14.13852596282959,103.1875991821289,47.9473991394043,policies,103.1875991821289
