file_path,backtest,contrib,data,model,rl,strategy,tests,utils,workflow,best_module,best_likelihood
qlib\tests\data_mid_layer_tests\test_handler_storage.py,4.608393669128418,9.676106452941895,84.76569366455078,18.756410598754883,6.011909008026123,9.88926887512207,111.45012664794922,20.0081787109375,17.716108322143555,tests,111.45012664794922
qlib\qlib\contrib\strategy\optimizer\enhanced_indexing.py,6.344006061553955,62.54355239868164,16.35146141052246,20.096582412719727,9.516940116882324,86.04724884033203,7.20217227935791,12.268616676330566,14.551898002624512,strategy,86.04724884033203
qlib\qlib\rl\reward.py,10.12188720703125,4.197549819946289,1.0585135221481323,2.8111016750335693,85.2225112915039,4.9287333488464355,1.0012303590774536,5.278863906860352,12.273388862609863,rl,85.2225112915039
qlib\tests\ops\test_special_ops.py,5.855324745178223,9.852654457092285,78.96724700927734,11.890634536743164,3.2708191871643066,11.344441413879395,113.28882598876953,15.436807632446289,13.251052856445312,tests,113.28882598876953
qlib\qlib\contrib\model\pytorch_lstm.py,10.219898223876953,68.15672302246094,79.63524627685547,117.5970230102539,37.12358093261719,26.838754653930664,81.82073974609375,81.30776977539062,36.0506477355957,model,117.5970230102539
qlib\examples\benchmarks_dynamic\baseline\rolling_benchmark.py,12.275127410888672,34.26253128051758,78.4659194946289,87.43153381347656,8.96036148071289,16.723276138305664,18.741071701049805,26.277873992919922,113.69306182861328,workflow,113.69306182861328
qlib\qlib\workflow\task\collect.py,13.950053215026855,13.38400936126709,15.95287799835205,23.20973014831543,9.424919128417969,17.159008026123047,12.292591094970703,20.0701961517334,122.32179260253906,workflow,122.32179260253906
qlib\qlib\rl\utils\log.py,6.472015380859375,11.955982208251953,48.844566345214844,16.570201873779297,65.52288055419922,18.280109405517578,12.670302391052246,72.97289276123047,30.012474060058594,utils,72.97289276123047
qlib\qlib\backtest\report.py,72.97623443603516,22.563499450683594,99.62197875976562,37.13323974609375,22.230472564697266,39.439266204833984,46.93437194824219,28.542343139648438,38.89231872558594,data,99.62197875976562
qlib\qlib\contrib\data\__init__.py,0.06451363861560822,63.07750701904297,58.698143005371094,2.398397922515869,1.001301884651184,2.398397922515869,4.999049186706543,6.7972517013549805,3.730980396270752,contrib,63.07750701904297
qlib\qlib\rl\order_execution\simulator_simple.py,114.87700653076172,12.44221305847168,83.20952606201172,13.695647239685059,69.707763671875,13.39133071899414,13.042801856994629,25.238178253173828,27.238840103149414,backtest,114.87700653076172
qlib\examples\data_demo\data_mem_resuse_demo.py,8.776079177856445,18.264511108398438,82.39839172363281,22.55437660217285,7.471787929534912,12.51402473449707,16.621082305908203,20.420751571655273,121.48480987548828,workflow,121.48480987548828
qlib\qlib\data\cache.py,19.396944046020508,25.795944213867188,115.91080474853516,61.21702194213867,80.86710357666016,32.69907760620117,32.42673873901367,39.778350830078125,44.50357437133789,data,115.91080474853516
qlib\qlib\contrib\report\data\ana.py,3.6710970401763916,58.88019561767578,68.60887145996094,17.30710792541504,3.185295343399048,15.681902885437012,11.201556205749512,16.37561798095703,11.421751976013184,data,68.60887145996094
qlib\examples\highfreq\highfreq_processor.py,1.094295620918274,8.097735404968262,67.83018493652344,8.571989059448242,2.3893396854400635,5.70025634765625,15.879180908203125,12.066851615905762,8.503580093383789,data,67.83018493652344
qlib\qlib\contrib\data\processor.py,1.6992156505584717,57.87910461425781,68.64310455322266,9.984249114990234,2.722540855407715,9.47832202911377,10.724820137023926,13.623019218444824,11.782201766967773,data,68.64310455322266
qlib\qlib\rl\strategy\__init__.py,2.6915533542633057,5.94570779800415,0.06443000584840775,1.0657309293746948,84.35688781738281,100.89641571044922,1.0013008117675781,5.94570779800415,8.947101593017578,strategy,100.89641571044922
qlib\scripts\get_data.py,4.465599060058594,6.4091997146606445,63.676841735839844,8.982649803161621,3.0557069778442383,6.037913799285889,7.048300743103027,12.963732719421387,7.304598331451416,data,63.676841735839844
qlib\qlib\rl\data\pickle_styled.py,107.68804168701172,14.644488334655762,96.001953125,16.407997131347656,71.25147247314453,15.871034622192383,15.11606216430664,26.529094696044922,35.150390625,backtest,107.68804168701172
qlib\tests\misc\test_sepdf.py,1.2500728368759155,6.045920372009277,57.722774505615234,7.368831157684326,1.5675376653671265,4.390134811401367,108.3846435546875,13.857887268066406,8.293794631958008,tests,108.3846435546875
qlib\qlib\model\riskmodel\base.py,7.023838996887207,18.22571563720703,57.72773361206055,81.73062133789062,5.055959224700928,11.928383827209473,11.94734001159668,19.378673553466797,25.154104232788086,model,81.73062133789062
qlib\tests\rl\test_finite_env.py,5.004547119140625,10.111248016357422,53.90409851074219,12.556436538696289,64.66605377197266,9.227444648742676,106.45791625976562,13.019206047058105,23.749582290649414,tests,106.45791625976562
qlib\qlib\contrib\torch.py,0.0,61.64734649658203,62.752052307128906,2.5941338539123535,1.001240611076355,2.4274237155914307,6.254482746124268,7.223929405212402,5.2436370849609375,data,62.752052307128906
qlib\qlib\backtest\account.py,85.68367767333984,13.948619842529297,59.63569259643555,37.006591796875,15.560948371887207,29.28936195373535,15.37941837310791,15.355754852294922,33.26247787475586,backtest,85.68367767333984
qlib\qlib\rl\order_execution\interpreter.py,3.8860297203063965,8.804502487182617,80.96257019042969,12.40660285949707,68.91365051269531,7.712672710418701,9.936198234558105,20.249860763549805,18.67064666748047,data,80.96257019042969
qlib\qlib\contrib\model\pytorch_gats.py,11.38979434967041,67.66429138183594,101.26889038085938,132.97091674804688,37.26697540283203,29.243627548217773,81.27940368652344,81.29891967773438,39.18010711669922,model,132.97091674804688
qlib\tests\model\test_general_nn.py,5.695830821990967,74.86666870117188,79.94834899902344,98.3754653930664,5.563695430755615,13.651727676391602,148.35360717773438,22.247114181518555,21.812658309936523,tests,148.35360717773438
qlib\qlib\backtest\utils.py,80.20045471191406,11.804059028625488,72.40036010742188,9.152264595031738,5.3127617835998535,16.073518753051758,15.174514770507812,82.99117279052734,15.01490592956543,utils,82.99117279052734
qlib\qlib\contrib\model\pytorch_adarnn.py,16.71700096130371,65.5058364868164,107.43798065185547,127.1182861328125,46.935035705566406,29.767229080200195,74.04130554199219,87.89263916015625,43.720794677734375,model,127.1182861328125
qlib\qlib\rl\simulator.py,7.177191257476807,4.758212566375732,1.0620956420898438,2.5507519245147705,82.67732238769531,2.7082715034484863,1.00127375125885,5.015395164489746,8.086847305297852,rl,82.67732238769531
qlib\qlib\contrib\tuner\pipeline.py,110.11360931396484,67.32943725585938,81.81351470947266,31.965709686279297,6.098150730133057,12.535942077636719,35.734535217285156,25.6064395904541,41.08157730102539,backtest,110.11360931396484
qlib\qlib\contrib\model\catboost_model.py,7.5734782218933105,68.23884582519531,72.34944915771484,97.9824447631836,7.966554164886475,16.446901321411133,77.28826904296875,18.959821701049805,29.98464584350586,model,97.9824447631836
qlib\qlib\contrib\eva\alpha.py,2.8593108654022217,60.566314697265625,61.980472564697266,19.402027130126953,4.549408435821533,8.383008003234863,9.236461639404297,18.200342178344727,8.68398380279541,data,61.980472564697266
qlib\scripts\collect_info.py,7.930725574493408,8.274600982666016,20.693830490112305,11.01341438293457,10.222366333007812,8.013835906982422,7.22439432144165,15.098854064941406,8.013835906982422,data,20.693830490112305
