file_path,cli,client,prompts,server,tools,utilities,best_module,best_likelihood
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\sources\filesystem.py,34.34369659423828,21.150121688842773,15.99418830871582,68.413330078125,21.10884666442871,114.14192962646484,utilities,114.14192962646484
fastmcp\tests\deprecated\test_elicitation.py,67.63704681396484,70.5066909790039,5.678955554962158,4.2595720291137695,35.105865478515625,13.615694046020508,client,70.5066909790039
fastmcp\tests\server\tasks\test_resource_task_meta_parameter.py,71.93712615966797,69.2273178100586,10.457733154296875,59.185401916503906,36.16450881958008,30.801464080810547,cli,71.93712615966797
fastmcp\fastmcp_slim\fastmcp\utilities\mcp_server_config\v1\mcp_server_config.py,122.6506576538086,37.438720703125,12.932238578796387,73.73973083496094,21.899141311645508,122.0454330444336,cli,122.6506576538086
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\supabase.py,71.70831298828125,73.51998901367188,5.335458278656006,71.49079895019531,8.402583122253418,42.330257415771484,client,73.51998901367188
fastmcp\fastmcp_slim\fastmcp\_install_hints.py,100.77859497070312,67.67851257324219,0.7099999189376831,57.966819763183594,2.8717191219329834,23.161489486694336,cli,100.77859497070312
fastmcp\examples\testing_demo\server.py,15.384146690368652,21.352947235107422,64.21041870117188,59.7110595703125,33.64270782470703,16.8186092376709,prompts,64.21041870117188
fastmcp\fastmcp_slim\fastmcp\server\transforms\visibility.py,73.68978881835938,14.652626991271973,166.6615447998047,66.77122497558594,117.73672485351562,46.73532485961914,prompts,166.6615447998047
fastmcp\examples\desktop.py,9.775872230529785,10.161538124084473,5.158444404602051,7.309751987457275,30.705760955810547,9.410378456115723,tools,30.705760955810547
fastmcp\tests\cli\test_mcp_server_config_integration.py,130.0461883544922,77.27794647216797,10.080530166625977,66.71087646484375,37.657466888427734,42.260311126708984,cli,130.0461883544922
fastmcp\tests\server\middleware\test_rate_limiting.py,79.9453353881836,78.78641510009766,5.367549896240234,68.8069076538086,44.44917678833008,16.94095802307129,cli,79.9453353881836
fastmcp\tests\tools\tool_transform\test_args.py,77.67349243164062,79.40515899658203,17.54238510131836,13.195075035095215,160.02561950683594,34.03465270996094,tools,160.02561950683594
fastmcp\tests\server\test_dependencies_advanced.py,79.0088119506836,76.00625610351562,65.14030456542969,61.75127029418945,116.43941497802734,30.25618553161621,tools,116.43941497802734
fastmcp\examples\diagnostics\client_with_tracing.py,76.82573699951172,73.18392944335938,157.96202087402344,66.39146423339844,111.50418853759766,32.359161376953125,prompts,157.96202087402344
fastmcp\fastmcp_slim\fastmcp\server\providers\filesystem_discovery.py,46.221336364746094,18.072187423706055,75.42938232421875,65.51525115966797,65.93124389648438,52.92032241821289,prompts,75.42938232421875
fastmcp\examples\atproto_mcp\demo.py,110.58158874511719,92.19193267822266,22.474502563476562,70.16495513916016,111.88653564453125,46.43692398071289,tools,111.88653564453125
fastmcp\fastmcp_slim\fastmcp\cli\cli.py,148.0937042236328,104.1600570678711,104.18867492675781,93.70004272460938,112.54582977294922,77.81730651855469,cli,148.0937042236328
fastmcp\tests\server\test_logging.py,27.42656898498535,15.614900588989258,8.010451316833496,71.5512466430664,10.909647941589355,19.87540626525879,server,71.5512466430664
fastmcp\tests\client\client\test_mode_negotiation.py,63.7812614440918,87.18333435058594,9.523032188415527,63.83637237548828,39.10546112060547,23.722583770751953,client,87.18333435058594
fastmcp\fastmcp_slim\fastmcp\cli\install\claude_code.py,127.326171875,20.87074089050293,13.087702751159668,72.94795227050781,40.34844970703125,27.95189666748047,cli,127.326171875
fastmcp\tests\tools\tool\test_output_schema.py,20.24554443359375,32.29420852661133,14.90925407409668,9.068446159362793,101.19834899902344,29.381927490234375,tools,101.19834899902344
fastmcp\examples\skills\server.py,8.795924186706543,11.148966789245605,6.596556186676025,58.13301467895508,21.252607345581055,11.178200721740723,server,58.13301467895508
fastmcp\tests\server\test_context.py,78.53852844238281,140.325927734375,11.675516128540039,66.75241088867188,45.88633346557617,28.791479110717773,client,140.325927734375
fastmcp\tests\client\telemetry\__init__.py,39.32479476928711,57.9774284362793,0.49722686409950256,0.7959129810333252,0.49722686409950256,5.120707035064697,client,57.9774284362793
fastmcp\docs\apps\demos\hitchhikers.py,105.57157135009766,28.781503677368164,11.795690536499023,24.90891456604004,54.03152084350586,34.070987701416016,cli,105.57157135009766
fastmcp\fastmcp_slim\fastmcp\server\auth\handlers\authorize.py,67.65100860595703,101.26465606689453,13.417603492736816,71.55579376220703,41.166751861572266,35.39815902709961,client,101.26465606689453
fastmcp\tests\utilities\json_schema_type\test_real_world_schemas.py,49.38837814331055,16.05575942993164,19.194387435913086,9.977944374084473,27.114240646362305,127.59446716308594,utilities,127.59446716308594
fastmcp\fastmcp_slim\fastmcp\client\__init__.py,57.19224548339844,61.5539665222168,0.5501078963279724,2.0949814319610596,0.5501078963279724,19.37451934814453,client,61.5539665222168
fastmcp\fastmcp_slim\fastmcp\server\auth\providers\huggingface.py,81.49785614013672,79.72313690185547,4.920164108276367,58.15512466430664,24.00210952758789,26.75277328491211,cli,81.49785614013672
fastmcp\fastmcp_slim\fastmcp\client\transports\stdio.py,90.37053680419922,69.70208740234375,9.175405502319336,64.4163589477539,56.23625564575195,29.505695343017578,cli,90.37053680419922
fastmcp\examples\auth\propelauth_oauth\client.py,59.45245361328125,68.71378326416016,6.649487018585205,59.55915451049805,106.31309509277344,13.261663436889648,tools,106.31309509277344
fastmcp\fastmcp_slim\fastmcp\utilities\versions.py,20.4238224029541,7.140796184539795,4.150882720947266,5.778172969818115,21.505146026611328,105.24066162109375,utilities,105.24066162109375
fastmcp\fastmcp_slim\fastmcp\server\providers\openapi\__init__.py,16.889799118041992,7.11042594909668,1.0,55.618873596191406,2.3267507553100586,19.593320846557617,server,55.618873596191406
fastmcp\fastmcp_slim\fastmcp\cli\install\stdio.py,105.20549011230469,16.959716796875,13.743690490722656,68.68528747558594,39.87657928466797,26.244155883789062,cli,105.20549011230469
fastmcp\fastmcp_slim\fastmcp\utilities\openapi\json_schema_converter.py,16.808629989624023,13.580551147460938,19.7628173828125,8.1625337600708,32.52507781982422,107.43421936035156,utilities,107.43421936035156
fastmcp\tests\resources\test_file_resources.py,22.767269134521484,9.464120864868164,9.062744140625,5.928561687469482,7.4350104331970215,15.240174293518066,cli,22.767269134521484
fastmcp\fastmcp_slim\fastmcp\server\auth\oauth_proxy\__init__.py,15.998515129089355,2.8456296920776367,0.0,54.73482894897461,1.3295562267303467,4.399770259857178,server,54.73482894897461
fastmcp\tests\server\telemetry\test_provider_tracing.py,25.307109832763672,7.662040710449219,58.9863166809082,59.700164794921875,97.62464904785156,21.959863662719727,tools,97.62464904785156
fastmcp\tests\utilities\openapi\test_circular_references.py,21.49958038330078,25.179889678955078,12.493266105651855,61.71163558959961,109.94266510009766,119.55149841308594,utilities,119.55149841308594
fastmcp\tests\server\providers\local_provider_tools\__init__.py,4.768959045410156,4.035188674926758,0.0,54.545387268066406,71.57780456542969,14.957841873168945,tools,71.57780456542969
fastmcp\tests\server\http\test_http_auth_middleware.py,64.52189636230469,84.51073455810547,10.371732711791992,64.0460205078125,8.838581085205078,36.336910247802734,client,84.51073455810547
fastmcp\tests\server\providers\local_provider_tools\test_parameters.py,25.84502410888672,19.554079055786133,7.146971225738525,60.764286041259766,116.49629211425781,25.1988525390625,tools,116.49629211425781
fastmcp\tests\server\http\test_http_middleware.py,56.85598373413086,67.05351257324219,4.23022985458374,58.515869140625,4.043023109436035,10.8993558883667,client,67.05351257324219
fastmcp\fastmcp_slim\fastmcp\server\providers\aggregate.py,38.1905403137207,15.235365867614746,164.22311401367188,63.15534210205078,103.23702239990234,41.467464447021484,prompts,164.22311401367188
fastmcp\tests\utilities\test_components.py,23.656227111816406,21.057008743286133,77.80005645751953,69.09056854248047,50.77045822143555,100.9251708984375,utilities,100.9251708984375
fastmcp\examples\atproto_mcp\src\atproto_mcp\_atproto\_client.py,39.23781204223633,65.74097442626953,3.879702568054199,2.69508695602417,3.9726009368896484,6.685505390167236,client,65.74097442626953
fastmcp\fastmcp_slim\fastmcp\server\auth\oauth_proxy\proxy.py,93.79669189453125,116.44667053222656,20.283401489257812,70.61044311523438,55.65422439575195,56.94755172729492,client,116.44667053222656
fastmcp\fastmcp_slim\fastmcp\server\auth\oauth_proxy\models.py,79.33320617675781,70.40988159179688,3.8062570095062256,59.59662628173828,22.045053482055664,23.352783203125,cli,79.33320617675781
